edge_id,source,relation,target,evidence_book_pages,evidence_pdf_pages,edge_category,provenance,notes
E01,pragmatism,features-as-locus,Agency,275;287,296;308,features-as-locus,exegetical (Burke explicit),"Burke's diagnostic: Pragmatist philosophies generated by featuring of Agency; canonical statement at chapter opening."
E02,mysticism,features-as-locus,Purpose,287;288,308;309,features-as-locus,exegetical (Burke explicit),"Burke's diagnostic: Mysticism features Purpose as motive-locus; mark = unity of individual with cosmic/universal Purpose."
E03,William James,exemplifies,pragmatism-Agency,275;277;283;288,296;298;304;309,interlocutor-engagement,exegetical,"Pragmatism 'a method only'; 'theories thus become instruments'; two-principles-of-truth subsection devoted."
E04,John Dewey,exemplifies,pragmatism-Agency,275;279,296;300,interlocutor-engagement,exegetical,"Instrumentalism; Experience and Nature; Dewey-Mead biologism replaces Emerson/James personalism."
E05,G. H. Mead,exemplifies,pragmatism-Agency,279;280,300;301,interlocutor-engagement,exegetical,"Philosophy of the Act; dialectic-other inclusion in internal-dialogue model. Disambiguated from Margaret Mead per Phase 0/1 advisory."
E06,Charles Peirce,background-anchor-for,pragmatism-Agency,275;277,296;298,interlocutor-engagement,exegetical,"Beliefs as rules for action; James extends Peirce's secular doctrines to religious utility."
E07,P. W. Bridgman,limit-case-of,pragmatism-Agency,279;280;281;284,300;301;302;305,interlocutor-engagement,exegetical,"Operationalism; Logic of Modern Physics; Burke's grammatical critique exposes 'writes about his purpose in eliminating purpose.'"
E08,Aristotle organon,is-incipiently,pragmatism-Agency,275;276,296;297,exegetical-bridge,exegetical,"Logic-as-instrument of human reason; but slave-culture position subordinated agency among four causes."
E09,modern-applied-science,inverts-Aristotle-by-raising,Agency,276,297,internal-grammar,exegetical,"'Non-Aristotelian element in modern science... makes uppermost the very domain of motivation that Aristotle subordinated.' Vocational training as agency-as-ancestor."
E10,Hegel-Vermittlung,anticipates,pragmatism-Agency,281,302,interlocutor-engagement,exegetical,"Ausserung/Vermittlung as utterance/mediation — Hegelian idealism as precursor of pragmatism via mediation."
E11,Marx-economic-conditions,does-not-quite-reach,pragmatism-Agency,281;282,302;303,interlocutor-engagement,exegetical,"'A pronounced sense of form pervading Marx's view of history. It was not pragmatist.'"
E12,Plotinus Enneads I.3,exemplifies,mysticism-Purpose,293;294,314;315,exegetical-bridge,exegetical,"'Our journey is to the Good, to the Primal-Principle.' Upward Way to the First."
E13,Plato Good=One,nears,mysticism-Purpose,293;294,314;315,exegetical-bridge,exegetical,"Platonist Purpose subsection; equating of Good and One brings purpose nearer to mysticism than Aristotle."
E14,Bonaventura,exemplifies,Christian-mystical-Purpose,293,314,interlocutor-engagement,exegetical,"Paired with Plotinus as Neo-Platonist/Christian mystical Purpose anchor."
E15,Thomas-a-Kempis-Imitation,exemplifies,mysticism-of-means,311,332,interlocutor-engagement,exegetical,"'In all things behold the end' — Upward Way as Christian monastic discipline; contemning-of-the-world as means."
E16,Aristotle eudaimonia,is-realistic-synonym-for,Purpose,292;293,313;314,exegetical-bridge,EXEGETICAL (Burke 'Purpose in Aristotle' subsection),"Rhetoric I.5; Nicomachean Ethics I.1; Politics — wholly realistic not mystical; only TOTAL purpose fits mystic prescription."
E17,Aristotle-Poetics-Mitys-statue,illustrates,representative-purposive-design,308,329,interlocutor-engagement,exegetical,"Criminal-as-mock-communion grounded in Aristotle's account of design-appearance in chance events."
E18,Aldous Huxley pacifism,exemplifies,mysticism-of-means,309;310,330;331,interlocutor-engagement,exegetical,"Impure-acts-from-impure-means; only peaceful means yield peace — Burke critiques: all means are necessarily impure."
E19,Spinoza,has-mystical-strain-despite-denying,Universal-Purpose,295,316,interlocutor-engagement,exegetical,"Stress on Oneness/Allness; 'all determination is negation' inversion of negative-theology predicates."
E20,Bergson Creative Evolution,is-semi-pragmatist-semi-mystical,Purpose-via-negative,295;296,316;317,interlocutor-engagement,exegetical,"Negative as function of desire/expectation/interest — Burke dramatistically revises toward 'thou shalt not.'"
E21,Korzybski Upward Way,structurally-mirrors,Plotinian-ascent,293;304;317,314;325;338,interlocutor-engagement,exegetical,"Higher-and-higher levels of generalization; rites of desanctification as first 'mystical' appreciation of powers; Plato 'good' vs Korzybski 'alas!' transcendence parallel."
E22,Freud-repression,is-reciprocal-of,Purpose,316;317,337;338,internal-grammar,exegetical,"'If purpose is the cameo, repression is the intaglio.' Psychoanalysis as secular variant of negative theology."
E23,Kant transcendentalism,is-first-step-toward-historical,Conditions,281,302,interlocutor-engagement,exegetical,"Conditions of experience; unconditioned realm beyond experience as 'condition of conditions.'"
E24,Burke-pentad-five-terms,is-transcendental-not-formal,Kantian,317,338,internal-grammar,exegetical,"'Transcendental rather than formal (and are to this extent Kantian) in being categories which human thought necessarily exemplifies.'"
