source,relation,target,locus,note
bor-sec-10,treats-construct,profound/deep boredom (FCM 3rd form),pp.34-41,Central construct; extended paraphrase of Heidegger's third form as the paper's phenomenological anchor (FE).
bor-sec-10,treats-construct,being-bored-by (1st form),p.34,Defined briefly as the situation-bound contrast form (Gelangweiltwerden von etwas) (FAITHFUL-Quaranta).
bor-sec-10,treats-construct,being-bored-with (2nd form),p.34,Defined briefly as the surface-engaged contrast form (Sichlangweilen bei etwas) (FAITHFUL-Quaranta).
bor-sec-10,treats-construct,temporality of boredom (time-drag),pp.39-41,'Temporal entrancement' reading of Drive My Car's car-drive sequences as aesthetic elicitation of time-drag (FE).
bor-sec-10,treats-construct,monotony/meaninglessness,p.44,"Names contemporary everydayness as 'boresome,' a busyness that turns away from existence's burden (FE)."
bor-sec-10,bridges-to-fcm,fcm-06-third-form,"FCM Sec.29-36, pp.132-159 (esp. 134, 138-141, 147-150, 158)","PRIMARY bridge -- paraphrases third form's definition, telling-refusal, and temporality thesis; does not rehearse FCM's own Gebanntheit/Augenblick apparatus."
bor-sec-10,bridges-to-fcm,fcm-04-first-form,"FCM Sec.19-23, pp.92-105",SECONDARY bridge -- cites first form's 'trapped in inauthentic past/present/future' for contrast (p.34).
bor-sec-10,bridges-to-fcm,fcm-05-second-form,"FCM Sec.24-28, pp.106-131","SECONDARY bridge -- names second form definitionally (Sichlangweilen bei etwas), no extended engagement (p.34)."
bor-sec-10,cites,"Loht, Shawn (INTERLOCUTOR)",pp.31-33,Primary interlocutor -- article explicitly frames itself as engaging/extending Loht's Phenomenology of Film (2017).
bor-sec-10,extends,"Loht, Shawn -- viewing-Dasein argument (READING/CLAIM)","pp.32,36-37",Extends Loht's bidirectional film-disclosedness argument by supplying the FCM boredom analysis Loht only gestures toward (Once Upon a Time in the West aside).
bor-sec-10,qualifies,"Loht, Shawn -- Heideggerian film-philosophy (READING/CLAIM)","pp.41,44","Qualifies enthusiasm for a full 'Heideggerian film-philosophy' with reservations (rigidity, excluded body/ethics)."
bor-sec-10,concedes,embodied film-phenomenology (Sobchack/Barker/Marks) (DEBATE-AXIS),p.43,Concedes the embodied tradition has 'proven more successful and productive' than a rigid single-philosophy Heideggerian approach.
bor-sec-10,cites,"Sinnerbrink, R. (INTERLOCUTOR)",p.37,"Cites Sinnerbrink's 'aesthetics of mood' (Stimmung, 2012) as grounding for the aesthetic-choices argument."
bor-sec-10,cites,"Sorfa, D. (INTERLOCUTOR)",p.43,Cites Sorfa's critique of the embodied tradition's self-referentiality as counterweight.
bor-sec-10,defines,Mitsein (TERM),"pp.31,33,37",Defines Mitsein (being-with) as ontological basis for Loht's shared cinematic world.
bor-sec-10,defines,Stimmung / mood (TERM),p.33,"Defines mood as the ontic manifestation of attunement (Befindlichkeit), disclosive of the world."
bor-sec-10,defines,Grundstimmungen / fundamental moods (TERM),p.34,Distinguishes fundamental moods (authentic attunement to thrownness) from ordinary moods.
bor-sec-10,instances-in-text,Geworfenheit / thrownness (TERM),p.34,Uses thrownness to frame Dasein's burdensome existence disclosed by fundamental moods.
bor-sec-10,instances-in-text,aesthetics of mood (THEME),"pp.31,37",Names the paper's operative method: aesthetic choices arousing moods that disclose a meaningful film world.
bor-sec-10,instances-in-text,Drive My Car (2021) (THEME),pp.37-44,"Sole extended filmic case study demonstrating profound boredom's aesthetic elicitation (dead-time, silence, slowness, repetition)."
bor-sec-10,instances-in-text,two-hands shot (THEME),pp.40-41,"Close reading of a climactic image as cinematic disclosure of being, paralleling Loht's reading of the Rashomon hand-shot."
bor-sec-10,cites-cluster-author,bor-sec-03,p.35 n.2,Footnote pointer ('for a thorough account...') to Elpidorou & Freeman 'Affectivity in Heidegger II' -- not engaged in depth.
bor-sec-10,cites-cluster-author,bor-sec-04,p.35 n.2,"Same footnote pointer, to Elpidorou & Freeman 'Is Profound Boredom Boredom?' -- E&F's skeptical thesis is not engaged."
bor-sec-10,cites-cluster-author,bor-sec-13,p.35 n.2,"Same footnote pointer, to Slaby 'The Other Side of Existence' -- not engaged in depth."
bor-sec-10,cites-cluster-author,bor-sec-11,n/a (index-level),"P/anticipatory-application: index-linking edge, NOT a citation in Quaranta's own reference list -- both units read cinema through Heideggerian boredom; overlap/divergence unverified pending bor-sec-11 build."
bor-sec-10,shifts-debate-axis,profound-boredom-is-boredom vs. distinct-existential-mood (DEBATE-AXIS),n/a,"P/anticipatory-application: Quaranta applies the third form as settled/authoritative without engaging E&F's skeptical position (cf. footnote 2, p.35); sits unreflectively on the Heideggerian side of this cluster debate axis."
bor-sec-10,bridges-to-part-iii,Part III dissertation (bridge),n/a,"P/anticipatory-application: aesthetic-elicitation vocabulary (dead-time, repetition, slowness eliciting profound boredom) offers a qualitative template for coding monotony/dead-time design elements in the dissertation's own VE-boredom analysis, medium difference (film vs. game/VR) notwithstanding."
bor-sec-10,qualifies,boredom-as-regulatory-signal (functional account) (CONSTRUCT),n/a,P/anticipatory-application: the paper's disclosure-ontological framing of profound boredom is in unaddressed tension with functional/regulatory accounts (bor-sec-25/26) treating boredom as an adaptive signal.
bor-sec-10,cites,"Quaranta, C. 2020 (AUTHOR, self-citation)",p.42 (references),Self-citation situating the essay as continuation of the author's own 'A Cinema of Boredom' project.
bor-sec-10,cites,"Misek, R. 2010 'Dead Time' (INTERLOCUTOR)",p.42 (references),Situates the essay within existing boredom-in-cinema scholarship on 'dead time.'
