surface,stimulus,r1_z,r2_z,delta,poolable,poolable_reason
pupil dilation,BOR,-0.69214705718,-0.26730887617,0.42483818101,True,mean of a per-sample value; robust to sampling rate
pupil dilation,CLC,0.397697350002,0.179655031623,-0.218042318378,True,mean of a per-sample value; robust to sampling rate
pupil dilation,INT,0.294449707179,0.0876538445471,-0.206795862632,True,mean of a per-sample value; robust to sampling rate
cognitive load,BOR,-0.18993491217,-0.00772608105419,0.182208831116,True,mean of a vendor index; robust to sampling rate
cognitive load,CLC,0.347801732727,-0.77879119177,-1.1265929245,True,mean of a vendor index; robust to sampling rate
cognitive load,INT,-0.157866820557,0.786517272824,0.944384093381,True,mean of a vendor index; robust to sampling rate
HR,BOR,0.45599093653,-0.478158709406,-0.934149645936,True,mean of a vendor index; robust to sampling rate
HR,CLC,0.0777329371435,-0.333337274065,-0.411070211208,True,mean of a vendor index; robust to sampling rate
HR,INT,-0.533723873674,0.572416628767,1.10614050244,True,mean of a vendor index; robust to sampling rate
eye closure,BOR,0.999078057885,1.05669650614,0.0576184482514,True,time-fraction/mean; robust to sampling rate
eye closure,CLC,-0.625759403789,-0.734981137901,-0.109221734112,True,time-fraction/mean; robust to sampling rate
eye closure,INT,-0.373318654096,-0.321715368236,0.0516032858601,True,time-fraction/mean; robust to sampling rate
gaze deviation variance,BOR,0.38965803919,0.220839730104,-0.168818309086,False,variance of a 5-point rolling median: rate-dependent. Decimating Round 2 from 120 Hz to Round 1's ~3.3 Hz moves it by 0.65-0.84x (mean 0.74)
gaze deviation variance,CLC,-0.428812969622,-0.479963298633,-0.0511503290114,False,variance of a 5-point rolling median: rate-dependent. Decimating Round 2 from 120 Hz to Round 1's ~3.3 Hz moves it by 0.65-0.84x (mean 0.74)
gaze deviation variance,INT,0.0391549304318,0.259123568529,0.219968638097,False,variance of a 5-point rolling median: rate-dependent. Decimating Round 2 from 120 Hz to Round 1's ~3.3 Hz moves it by 0.65-0.84x (mean 0.74)
