source,relation,target,locus,note
ped-sec-07,treats-construct,presence (spatial/physical),p.2230,"Defined per Witmer & Singer (1998, p.225) as the learner's subjective feeling of being in an artificially created place; distinguished from immersion as subjective/learner-focused vs. objective/technology-focused (Table 1) (FAITHFUL-Mayer)."
ped-sec-07,treats-construct,immersion (technological),p.2230,"Objective property of delivery technology, gauged by display/rendering quality; operationalized as a three-level scale (no/low/high immersion) structuring every experiment in the paper (FAITHFUL-Mayer)."
ped-sec-07,treats-construct,cognitive load (extraneous vs germane),p.2230-2231,"CTML's own extraneous/essential/generative processing vocabulary normalized to this construct row; extraneous ~ extraneous load, generative ~ germane processing, essential ~ intrinsic load (FE; mapping P/anticipatory-application)."
ped-sec-07,treats-construct,affect: enjoyment & intrinsic motivation,"p.2230-2231, 2235","Promise route: immersion -> motivation -> generative processing; enjoyment ratings for IVR-with-summarizing vs. without did not differ significantly (FAITHFUL-Mayer, p.2235)."
ped-sec-07,treats-construct,learning outcomes: retention & transfer,"p.2231, 2233","Sole outcome measure across both research programs: post-lesson transfer-test scores reported as Cohen's d (FE)."
ped-sec-07,tests-condition,IVR (HMD),p.2230-2235,"High-immersion condition across all 13 media-comparison and 12 value-added studies (FE)."
ped-sec-07,tests-condition,desktop-3D / non-immersive VR,p.2231-2232,"Low-immersion control/comparator: Design-a-Plant and Labster desktop deliveries (FE)."
ped-sec-07,tests-condition,2D video / slideshow / text,p.2231-2232,"No-immersion control: narrated slideshow (Body VR comparison) and interactive desktop video (Kokoda comparison) (FE)."
ped-sec-07,tests-condition,home vs classroom setting,p.2235,"Value-added study (Table 6 line 12, feeds ped-sec-12) compares IVR delivery at home vs. in school; finds equivalence (FAITHFUL-Mayer)."
ped-sec-07,construct-under-condition,learning outcomes: retention & transfer x IVR (HMD) vs 2D video/slideshow,p.2231-2232,"Negligible-to-negative median Cohen's d across 13 media-comparison experiments; IVR underperforms conventional media in most (FE)."
ped-sec-07,construct-under-condition,cognitive load (extraneous vs germane) x IVR (HMD),p.2232,"Self-reported distraction and biometric (heart-rate/EEG) arousal elevated under high immersion, offered as the mechanism behind null media-comparison results (FAITHFUL-Mayer, citing ped-sec-13)."
ped-sec-07,construct-under-condition,affect: enjoyment & intrinsic motivation x generative-activity value-added condition,p.2235,"Enjoyment ratings unaffected by adding a summarizing prompt to an IVR lesson (FAITHFUL-Mayer)."
ped-sec-07,construct-under-condition,learning outcomes: retention & transfer x home vs classroom setting,p.2235,"Equivalence between home and school delivery of an IVR science simulation (FAITHFUL-Mayer, feeds ped-sec-12)."
ped-sec-07,defines,immersion (TERM),p.2230,"Objective feature of delivery technology, gauged by display/rendering quality (FAITHFUL-Mayer, Table 1)."
ped-sec-07,defines,presence (TERM),p.2230,"Subjective feeling of being in an artificially created place, quoting Witmer & Singer 1998 p.225 (FAITHFUL-Mayer)."
ped-sec-07,defines,promise/pitfall framework (THEORY-MODEL),p.2230-2231,"Table 4: immersion -> motivation -> generative processing (promise) vs. immersion -> arousal/perceptual richness -> extraneous processing (pitfall) (FAITHFUL-Mayer)."
ped-sec-07,cites-cluster-author,ped-sec-02,p.2230,"Presence defined via Witmer & Singer's (1998) formulation, cited directly (FAITHFUL-Mayer)."
ped-sec-07,cites-cluster-author,ped-sec-08,"p.2231-2232, 2233-2234","Body VR media-comparison (Table 5 line 7, Parong & Mayer 2018) and its summarizing value-added companion study (Table 6 line 7) (FE)."
ped-sec-07,cites-cluster-author,ped-sec-10,p.2231-2232,"Labster media-comparison, 'Adding immersive VR...causes more presence but less learning' (Table 5 line 10, Makransky Terkildsen et al. 2019) (FE)."
ped-sec-07,cites-cluster-author,ped-sec-12,p.2235,"Home-vs-classroom value-added study, 'Equivalence of using a desktop VR science simulation at home and in class' (Table 6 line 12) (FE)."
ped-sec-07,cites-cluster-author,ped-sec-13,"p.2231-2232, 2233-2234, 2236","Source of the distraction/biometric-arousal evidence and the second Body VR study (Table 5 line 8, Table 6 line 8); cited here as 'Parong & Mayer 2021a/in press' — the version-of-record year now adopted for ped-sec-13, so dating is consistent (FE; resolved per _synthesis/citation-corrections-2026-07-16.md)."
ped-sec-07,shifts-debate-axis,media-comparison designs are informative <-> methods-not-media / value-added is the valid paradigm,"p.2229, 2235-2236","(P/anticipatory-application) This unit is the cluster's PRIMARY source for the value-added pole: 20 years of media-comparison work yielded no reliable IVR advantage, while value-added work reliably improved IVR's own effectiveness — the paper's own explicit conclusion."
ped-sec-07,shifts-debate-axis,affective route (presence -> enjoyment/motivation -> learning) <-> cognitive-load route (presence -> distraction/extraneous load -> less learning),p.2230-2232,"(P/anticipatory-application) The paper's promise/pitfall table is explicitly dual-path, but its empirical weight (13 null/negative media-comparison experiments plus ped-sec-13's biometric evidence) favors the cognitive-load route as the operative explanation, aligning with ped-sec-13 rather than resolving the axis outright."
ped-sec-07,shifts-debate-axis,more immersion -> more learning <-> immersion adds presence but not learning,p.2231-2232,"(P/anticipatory-application) Negligible-to-negative median effect across 13 experiments, explicitly citing ped-sec-10's 'more presence but less learning' finding, supports the 'not learning' pole."
ped-sec-07,bridges-to-vle,vle-01-deployment-survey,n/a,"(P/anticipatory-application) The paper's no-immersion/low-immersion/high-immersion scale (Table 2) and its 'active vs. passive media' framing parallel vle-01's APP/VID stratum split and its 'YouTube videos only' response option (F7 presence gap)."
ped-sec-07,bridges-to-vle,vle-04-mark-attention-span,n/a,"(P/anticipatory-application) CTML's extraneous/essential/generative processing vocabulary offers a complementary cognitive-load framing alongside Mark's engagement-by-challenge attentional-states quadrant; both concern distraction competing with goal-directed processing for limited capacity, but the two vocabularies should be kept distinct, not merged."
ped-sec-07,bridges-to-part-iii,Part III dissertation (lab=VR vs deployment=2D-PC poles),p.2235,"(P/anticipatory-application) The home-vs-classroom equivalence finding (via ped-sec-12) offers an existing controlled-outcome precedent for the deployment-context comparison Part III's own survey approaches only via self-report."
ped-sec-07,bridges-to-part-iii,Part III dissertation (methods-not-media caution on presence-only survey data),p.2235-2236,"(P/anticipatory-application) The paper's own media-comparison program largely failed to show presence/immersion alone predicts learning outcomes; relevant caution given vle-01's F8 notes the absence of any learning-outcome channel in Part III's survey."
ped-sec-07,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study) dataset,n/a,"Anchor entry not yet built as of Phase 0 2026-07-15; distraction/arousal (heart-rate, EEG) measures discussed here (via ped-sec-13) are the most plausible future grounds-measure link once that entry exists (P/anticipatory-application)."
ped-sec-07,instances-in-text,Design-a-Plant (THEME),p.2231-2232,"Botany game, six media-comparison experiments (Moreno & Mayer 2002, 2004) plus four value-added modality/personalization studies (FAITHFUL-Mayer)."
ped-sec-07,instances-in-text,The Body VR: Journey Inside a Cell (THEME),p.2231-2232,"Human-bloodstream IVR lesson vs. matched slideshow; two media-comparison studies plus summarizing/answering value-added studies (FAITHFUL-Mayer)."
ped-sec-07,instances-in-text,Labster science-lab simulation (THEME),"p.2232, 2234-2235","Interactive science-lab IVR simulation; media-comparison plus enacting, gender-matching, and home-venue value-added studies (FAITHFUL-Mayer)."
ped-sec-07,instances-in-text,Kokoda VR WWII lesson (THEME),p.2232,"WWII-battle IVR history lesson vs. interactive desktop video; media-comparison plus answering-prompt value-added study (FAITHFUL-Mayer)."
ped-sec-07,cites,"Mayer, Richard E. (AUTHOR)",p.2230-2231,"Self-citation to own cognitive theory of multimedia learning (2021, 2022), the review's theoretical foundation (FE)."
ped-sec-07,cites,"Witmer, Bob & Singer, Michael (INTERLOCUTOR)",p.2230,"Source of the presence definition adopted throughout (FAITHFUL-Mayer, quoting 1998 p.225)."
ped-sec-07,cites,"Bandura, Albert (INTERLOCUTOR)",p.2235,"Social-cognitive theory cited to interpret the gender-matching/relatability finding (FAITHFUL-Mayer)."
ped-sec-07,cites,"Kirschner, Paul A. (INTERLOCUTOR)",p.2231,"Cited (Kirschner et al. 2006) against equating physically active media with cognitively active learning (FAITHFUL-Mayer)."
ped-sec-07,cites,"Fiorella, Logan (INTERLOCUTOR)",p.2233-2234,"Source of the generative-learning-activities framework (summarizing, question-answering, enacting) applied to IVR (FAITHFUL-Mayer)."
ped-sec-07,qualifies,learning outcomes: retention & transfer,p.2231,"Qualifies the 'active media = active learning' assumption: it is cognitive activity (essential/generative processing), not behavioral activity, that causes learning (FAITHFUL-Mayer, citing Kirschner et al.; Chi & Wylie ICAP)."
ped-sec-07,concedes,cognitive load (extraneous vs germane),p.2236,"Concedes that reducing IVR's extraneous-processing/distracting aspects while preserving its motivating aspects 'remains an ongoing research challenge,' i.e. unresolved (FE)."
