source,relation,target,locus,note
ped-sec-21,treats-construct,representational fidelity,p.312,"Central organizing construct; operationalized directly as C1 (interface fidelity) and C3 (visualization) (FAITHFUL-Potkonjak, p.312)."
ped-sec-21,treats-construct,agency / interactivity,"p.312-313, 320-321","Operationalized as C2 (dynamic-behavior equivalence), split into operator-training and theory-understanding levels; illustrated via VLR's user-adjustable motor/controller parameters (FE)."
ped-sec-21,treats-construct,social presence / co-presence,"p.312, 321-324","Operationalized as C4 (3D collaborative space); avatar-mediated communication surveyed across six virtual-world platforms (FAITHFUL-Potkonjak)."
ped-sec-21,treats-construct,embodiment / self-representation,"p.316, 321-324","Avatar concept threaded through §5's platform survey (Second Life Residents, realXtend, Open Wonderland) and the Stevens Institute machine-dynamics lab (FE)."
ped-sec-21,treats-construct,immersion (technological),"p.321, 325","Definitional treatment only via Pan et al. (2006)'s VR definition; consumer HMDs noted as a future trend, not a reviewed system (FE)."
ped-sec-21,treats-construct,learning outcomes: procedural / skills,"p.311, 315, 320-321","Implicit outcome target throughout §4 (robot programming, kinematics/dynamics skill acquisition); no outcome measurement reported (FE)."
ped-sec-21,tests-condition,review / meta-analytic aggregate,p.312-320,"The paper's own design: a structured technology survey of ~20 systems scored against the C1-C4 rubric; no primary data collected (FE)."
ped-sec-21,tests-condition,desktop-3D / non-immersive VR,p.313-320,"Nearly all twenty surveyed virtual-lab systems are screen-rendered, non-HMD desktop-3D systems (FE)."
ped-sec-21,construct-under-condition,"representational fidelity x review / meta-analytic aggregate",p.312-320,"C1/C3 criteria scored across 19 systems; VCIMLAB and the Stevens Institute lab cited as strong exemplars (FE)."
ped-sec-21,construct-under-condition,"agency / interactivity x desktop-3D / non-immersive VR","p.312-313, 320-321","C2 lower/higher-level distinction applied to desktop-rendered systems; user-adjustable parameters (VLR) (FE)."
ped-sec-21,construct-under-condition,"social presence / co-presence x desktop-3D / non-immersive VR","p.312, 321-324","C4 criterion realized via avatar-mediated communication in desktop virtual-world platforms (FE)."
ped-sec-21,defines,virtual reality (VR) — Pan et al. definition (TERM),p.321,"Adopts Pan, Cheok, Yang, Zhu & Shi's (2006) definition: computer graphics + display/interface devices producing the effect of immersion in an interactive 3D environment (FAITHFUL-Potkonjak, p.321)."
ped-sec-21,defines,multi-user virtual environment (MUVE) (TERM),"p.321-322","A 3D environment supporting multiple avatar-represented users, exemplified by Second Life (FAITHFUL-Potkonjak)."
