source,relation,target,locus,note
ped-sec-22,treats-construct,immersion (technological),p.2-3,"Operational fulcrum: adopts Slater & Wilbur's (1997) technology-attribute definition purely for study-inclusion purposes (mobile/high-end/enhanced HMDs = immersive; desktop VR/CAVE excluded), while explicitly flagging the rival Witmer & Singer (1998) psychological-state view without adjudicating it (FE, p.2-3)."
ped-sec-22,treats-construct,agency / interactivity,"p.2, 13, 17, 20","Defined via Steuer (1995) as degree of real-time environment modification; operationalized through five of fourteen coded design elements, basic interaction the single most frequent (24%) (FE, p.2, 13, 17, 20)."
ped-sec-22,treats-construct,presence (spatial/physical),p.2,"Defined via Witmer & Singer (1998); named a core VR characteristic alongside immersion/interactivity but not one of the review's four coded frameworks -- background apparatus only (FE, p.2)."
ped-sec-22,treats-construct,learning outcomes: procedural / skills,"p.16, 19-20","Largest learning-content category (33% of 38 articles: firefighting, surgery, assembly tasks); also associated with the largest average design-element footprint per article (FE, p.16, 19-20)."
ped-sec-22,treats-construct,learning outcomes: retention & transfer,p.15-16,"Maps to 'declarative knowledge' (25%); central finding is an evaluation-method gap -- nearly half the articles report no outcome-evaluation method at all (FE, p.15-16)."
ped-sec-22,treats-construct,representational fidelity,"p.13, 22","Coded as the 'realistic surroundings' design element (17%, second-most-common); Discussion explicitly names 'realism' as an ambiguous, non-uniform term (high-fidelity graphics vs. mere recognizability) (FE, p.13, 22)."
ped-sec-22,treats-construct,social presence / co-presence,"p.13, 16, 20","Touched only via the 'interaction with other users' design element (9%) and the communication/collaboration/soft-skills content category (10%); not theorized as its own construct (FE, p.13, 16, 20)."
ped-sec-22,treats-construct,embodiment / self-representation,p.19-20,"Analogical only: a single cited example (Parmar et al.'s VEnvI co-located self-avatar) illustrates the pattern without the review coding embodiment as its own category (FAITHFUL-Radianti, p.19-20)."
ped-sec-22,treats-construct,engagement / flow,"p.3, 5","Secondhand: cites Jensen & Konradsen's finding that HMD users were 'more engaged' and spent 'more time on the learning tasks'; 'flow theory' also appears once among Suh & Prophet's catalogued foundations, not as Radianti's own coded category (FE, p.3, 5)."
ped-sec-22,tests-condition,IVR (HMD),p.7-20,"Entire reviewed corpus (38 articles) is defined by the technology-type inclusion criterion; Radianti's own four-framework coding scheme (research design, method/analysis, learning theory/content, design elements) is applied uniformly to this condition (FE, p.7-20)."
ped-sec-22,tests-condition,desktop-3D / non-immersive VR,"p.2-3, 24","Explicitly excluded from the reviewed corpus by the paper's own inclusion criteria -- a technology-type scoping decision, not an empirical comparison; named as a limitation (FE, p.2-3, 24)."
ped-sec-22,tests-condition,review / meta-analytic aggregate,p.7-11,"The paper's own methodological identity: a systematic mapping study (Kitchenham et al. 2009) aggregating and coding 38 primary studies from an initial pool of 3,219 across 4 databases (FE, p.7-11)."
ped-sec-22,defines,systematic mapping study (TERM),p.7,"After Kitchenham et al. (2009): broader, less hypothesis-driven than a standard systematic review, aimed at charting sub-topics/methods/gaps in an active field (FE, p.7)."
ped-sec-22,instances-in-text,design-element framework (THEORY-MODEL),p.13,"Fourteen categories emergent from the literature, extending Wohlgenannt, Fromm, Stieglitz, Radianti & Majchrzak (2019): realistic surroundings, passive observation, moving around, basic interaction, assembling objects, interaction with other users, role management, screen sharing, user-generated content, instructions, immediate feedback, knowledge test, virtual rewards, making meaningful choices (FE, Table 8, p.13)."
ped-sec-22,instances-in-text,learning content framework (THEORY-MODEL),"p.16, 18-19","Eight categories: analytical/problem-solving; communication/collaboration/soft skills; procedural-practical knowledge; declarative knowledge; learning a language; behavioral impacts; others; not specified (FE, Table 7, p.16, 18-19)."
ped-sec-22,instances-in-text,learning theory framework (THEORY-MODEL),p.15,"Eight categories: behavioral, experiential, generative, operational, game-based, contextual, Jeffries simulation, cone of learning; 68% of articles cite none (FE, Table 6, p.15)."
