source,relation,target,locus,note
ped-sec-28,treats-construct,social presence / co-presence,"p.69, 71-72, 85-86","Central construct; averaged Likert composite adapted from Gunawardena & Zittle's scale; treated as jointly medium- and communicator-determined ('cultured'), not fixed by medium alone (FAITHFUL-Richardson&Swan, p.69)."
ped-sec-28,treats-construct,learning outcomes: retention & transfer,"p.72-74, 85-86","Operationalized narrowly as self-report *perceived* learning, not measured achievement/retention; predicted by social presence at R2=.46 (FAITHFUL-Richardson&Swan, p.74)."
ped-sec-28,treats-construct,affect: enjoyment & intrinsic motivation,"p.72, 77-78, 86","Proxied by a single-item instructor-satisfaction measure; authors flag possible measurement overlap with social presence given item-allocation asymmetry (FE, p.77)."
ped-sec-28,treats-construct,engagement / flow,"p.76, 79","Not separately instrumented; implicated via the qualitative finding that interaction/feedback/others'-perspectives is the most-cited (59%) reason for perceived activity benefit (FAITHFUL-Richardson&Swan, p.76)."
ped-sec-28,defines,social presence (TERM),p.69,"'The degree of salience of the other person in the (mediated) interaction and the consequent salience of the interpersonal relationships,' quoting Short/Williams/Christie 1976 (FAITHFUL-Richardson&Swan, p.69)."
ped-sec-28,defines,culturing of social presence (TERM),p.69,"Gunawardena & Zittle's revision: social presence can be 'cultured' among communicators regardless of the medium's inherent capacity, relocating part of the construct from medium to communicator (FAITHFUL-Richardson&Swan, p.69)."
ped-sec-28,defines,teacher immediacy (TERM),"p.69-70","Wiener & Mehrabian's construct: the psychological distance a communicator puts between self and the object of communication; treated as related to, possibly subsumed by, social presence (FE, p.69-70)."
ped-sec-28,instances-in-text,intact group (design limitation) (TERM),p.80,"Authors' own limitation label for the study's lack of randomization/manipulation/control, characteristic of educational-settings research on pre-existing course cohorts (FAITHFUL-Richardson&Swan, p.80)."
ped-sec-28,instances-in-text,per-activity social-presence/perceived-learning correlation table (READING/CLAIM),"p.74-75","Six course-activity correlations from .83 (class discussions) to .40 (lectures/notes/readings), all p<.01, the paper's most granular empirical result (FAITHFUL-Richardson&Swan, p.74-75)."
ped-sec-28,qualifies,affect: enjoyment & intrinsic motivation,p.77,"Authors' own caveat: the single satisfaction item vs. multiple instructor-inflected social-presence items may mean the social-presence score partly absorbed satisfaction rather than merely correlating with it (FE, p.77)."
ped-sec-28,cites,"Short, Williams & Christie (INTERLOCUTOR)",p.69,"Originators of social-presence theory and its medium-salience definition, the paper's opening theoretical anchor (FE, p.69)."
ped-sec-28,cites,"Gunawardena, Charlotte N. & Zittle, Frank J. (AUTHOR)","p.69, 71, 78-79","Direct instrument source (social-presence scale adapted for SLN) and direct empirical comparator (58% CMC-satisfaction-variance figure) (FAITHFUL-Richardson&Swan, p.69, 78-79)."
ped-sec-28,cites,"Wiener, Morton & Mehrabian, Albert (INTERLOCUTOR)","p.69-70","Originators of the teacher-immediacy construct, reviewed as an adjacent literature (FE, p.69-70)."
ped-sec-28,cites,"Boverie, Patricia et al. (INTERLOCUTOR)","p.78-79","Comparator study: among learning-style, emotional-intelligence, and social-presence predictors of distance-education satisfaction, only social presence was significant (FAITHFUL-Richardson&Swan, p.78-79)."
