source,target,relation,domain,weight,units,evidence
φύσις,κίνησις,is_principle_of,natural_philosophy,1.0,"PHYS-02,PHYS-03","Nature defined as 'a principle or cause of being moved and of being at rest' (192b20-23)"
εἶδος,φύσις,is_meaning_of,ontological,0.95,"PHYS-02","Form is nature more properly than matter; actuality prior to potentiality (193b6-8)"
ὕλη,φύσις,is_meaning_of,ontological,0.85,"PHYS-02","Matter is the first account of nature: the primary underlying substrate (193a28-30)"
εἶδος,ὕλη,is_prior_to,ontological,0.95,"PHYS-01,PHYS-02","Form is prior because actuality is prior to potentiality (193b6-8; 191a12-15)"
στέρησις,εἶδος,contrasts_with,ontological,0.9,"PHYS-01","Privation is the contrary of form; change proceeds from privation to form (190a10-17)"
ὕλη,ὑποκείμενον,is_meaning_of,ontological,0.9,"PHYS-01","The underlying subject identified with matter by analogy: bronze to statue (191a8-12)"
κίνησις,ἐντελέχεια,defined_by,metaphysical,1.0,"PHYS-03","Motion = 'the fulfilment of what is potentially as such' (201a10-11)"
κίνησις,δύναμις,defined_by,metaphysical,1.0,"PHYS-03","Motion is the actuality of the potential qua potential (201a10-11)"
ἐνέργεια,δύναμις,is_prior_to,ontological,0.95,"PHYS-02,PHYS-08","Actuality prior to potentiality in defining nature (193b6-8); mover in actuality (257a1)"
χρόνος,κίνησις,depends_on,ontological,1.0,"PHYS-04,PHYS-08","Time = number of motion (219b1-2); time is an affection of motion (251b11)"
χρόνος,τὸ νῦν,operationalized_by,structural,1.0,"PHYS-04","The now makes time continuous and divisible (220a5)"
χρόνος,πρότερον καὶ ὕστερον,depends_on,structural,0.95,"PHYS-04","Time is number of motion IN RESPECT OF before and after (219b1-2)"
χρόνος,ψυχή,depends_on,ontological,0.8,"PHYS-04","Time qua numbered requires a counter (soul); 223a21-26"
τὸ νῦν,πέρας,instantiates,structural,0.9,"PHYS-04","The now is a limit/boundary of time as point is of line (220a10)"
τὸ ἄπειρον,δύναμις,exists_in_mode_of,ontological,0.95,"PHYS-03","The infinite exists only potentially and by division (206a14-16)"
τὸ ἄπειρον,στέρησις,has_essence_of,ontological,0.9,"PHYS-03","The essence of the infinite is privation (207b35-208a1)"
τὸ ἄπειρον,ὕλη,is_cause_as,ontological,0.9,"PHYS-03","The infinite is a cause in the sense of matter (207b35)"
τόπος,πέρας,defined_by,ontological,1.0,"PHYS-04","Place = innermost motionless boundary of what contains (212a20)"
τόπος,φορά,enables,physical,0.9,"PHYS-04,PHYS-08","Natural places ground natural locomotion; elements carried to proper places"
τέχνη,φύσις,contrasts_with,natural_philosophy,0.9,"PHYS-02","Art: principle in maker; nature: principle in thing itself (192b28-33)"
αἴτιον,φύσις,explains,causal,1.0,"PHYS-02","Four causes structure explanation of natural things (194b16-195b30)"
τὸ οὗ ἕνεκα,αἴτιον,is_species_of,causal,0.95,"PHYS-02","Final cause is one of the four causes (194b32-35)"
φύσις,τὸ οὗ ἕνεκα,operates_through,teleological,0.95,"PHYS-02","Nature is a cause that operates for a purpose (199b32-33)"
τύχη,τὸ οὗ ἕνεκα,depends_on,causal,0.85,"PHYS-02","Chance is parasitic on teleology: incidental cause in sphere of for-the-sake-of (197a5-8)"
τὸ αὐτόματον,τύχη,is_genus_of,causal,0.85,"PHYS-02","Spontaneity is wider than chance (197a36-b1)"
ἀνάγκη ἐξ ὑποθέσεως,ὕλη,is_located_in,modal-causal,0.9,"PHYS-02","Necessity is in the matter (200a14-15)"
ἀνάγκη ἐξ ὑποθέσεως,τὸ οὗ ἕνεκα,depends_on,modal-causal,0.9,"PHYS-02","Matter necessary FOR the end; saw must be iron if we are to saw (200a10-13)"
φορά,κίνησις,is_primary_species_of,ontological,0.95,"PHYS-05,PHYS-08","Locomotion is primary: alteration/growth presuppose it (260a20-261a27)"
κύκλῳ φορά,φορά,is_primary_species_of,kinematic,0.95,"PHYS-08","Circular locomotion is the only continuous infinite locomotion (265b12)"
κύκλῳ φορά,τὸ συνεχές,exemplifies,kinematic,0.9,"PHYS-08","Circular motion alone satisfies continuity: no termini no contraries (265a27-b11)"
τὸ πρῶτον κινοῦν,κίνησις,explains,cosmological,1.0,"PHYS-08","The first mover grounds the eternity of motion (258b11-12)"
τὸ πρῶτον κινοῦν,κύκλῳ φορά,causes,cosmological,0.95,"PHYS-08","The unmoved mover causes continuous circular motion (267a21-267b26)"
τὸ πρῶτον κινοῦν,μέγεθος,lacks,ontological,0.9,"PHYS-08","The first mover is without parts and without magnitude (267b25-26)"
κίνησις,μεταβολή,is_species_of,ontological,0.95,"PHYS-05","Motion is change from subject to subject only; metabole is the wider genus (225b10)"
τὸ συνεχές,ἐφεξῆς,refines,topological,0.9,"PHYS-05","Continuity > contiguity > succession: nested hierarchy (227a10-20)"
γένεσις,ἐναντία,presupposes,ontological,0.9,"PHYS-01","All coming-to-be proceeds between contraries (188a35-b1)"
ἐναντία,κύκλῳ φορά,contrasts_with,kinematic,0.85,"PHYS-08","All change between contraries is intermittent; circular motion has no contraries (264b-265b)"
πρότερον καὶ ὕστερον,μέγεθος,derives_from,structural,0.85,"PHYS-04","Before-and-after in time derives from that in motion which derives from that in magnitude (219a14)"
οὐσία,φύσις,is_subject_of,ontological,0.85,"PHYS-02","Nature is always in a substance (192b33-193a2)"
PHYS-01,PHYS-02,is_presupposed_by,inter-unit,1.0,"PHYS-01,PHYS-02","Book II presupposes Book I's three principles and resolution of Eleatic objections"
PHYS-02,PHYS-03,is_presupposed_by,inter-unit,0.95,"PHYS-02,PHYS-03","Book III presupposes the four-cause doctrine and the definition of nature from Book II"
PHYS-03,PHYS-04,is_presupposed_by,inter-unit,1.0,"PHYS-03,PHYS-04","Time = number of motion; the definition of motion from III.1 is presupposed"
PHYS-05,PHYS-06,is_presupposed_by,inter-unit,1.0,"PHYS-05,PHYS-06","VI.1 recapitulates V.3 definitions of continuity/contiguity/succession"
PHYS-06,PHYS-08,is_presupposed_by,inter-unit,0.95,"PHYS-06,PHYS-08","VIII.8 continuous-circular-motion argument depends on VI divisibility framework"
PHYS-07,PHYS-08,is_presupposed_by,inter-unit,0.95,"PHYS-07,PHYS-08","VIII.4-6 reprove and extend VII.1's everything-moved-by-something thesis"
