source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
C03-FAMILY-RESEMBLANCE,cites,I-WITTGENSTEIN,game-studies,1,8,calleja,Philosophical Investigations 1997 ed. — methodological anchor
C03-FAMILY-RESEMBLANCE,defines,C17-REFUSAL-OF-ESSENTIALISM,game-studies,1,11,calleja,family-resemblance is the methodological alternative to essentialist definition
C17-REFUSAL-OF-ESSENTIALISM,contests,I-JUUL,game-studies,1,11,calleja,Juul 2005 Half-Real named as essentialist foil — volume's first explicit POSITION-edge against Tier-A interlocutor
C17-REFUSAL-OF-ESSENTIALISM,contests,I-SALEN-ZIMMERMAN,game-studies,1,11,calleja,Salen+Zimmerman 2003 Rules of Play named as essentialist foil — volume's first explicit POSITION-edge against Tier-A interlocutor
C04-VERBAL-DISAGREEMENT,cites,I-NAESS,game-studies,2,9,calleja,Naess 2005 p.64 — methodological-hazard construct
C03-FAMILY-RESEMBLANCE,qualifies,C04-VERBAL-DISAGREEMENT,game-studies,2,9,calleja,family-resemblance is the prophylactic against verbal-disagreement
C04-VERBAL-DISAGREEMENT,operationalizes-via-game,G-TETRIS,game-studies,2,9,calleja,Tetris-vs-HL2 contrast illustrates verbal-disagreement risk
C04-VERBAL-DISAGREEMENT,operationalizes-via-game,G-HL2,game-studies,2,9,calleja,HL2-vs-Tetris contrast illustrates verbal-disagreement risk
C05-OBJECT-PROCESS,defines,C06-PROCESSUAL-APPROACH,game-studies,1,10,calleja,actualization principle motivates endorsement of processual approach
C05-OBJECT-PROCESS,operationalizes-via-game,G-SETTLERS,game-studies,1,9,calleja,Settlers of Catan = paradigm for object/process distinction
C05-OBJECT-PROCESS,instances-in-text,G-SETTLERS,game-studies,2,10,calleja,visual qualities of hexagonal pieces + colour scheme + value of robber = object-side discussion
C06-PROCESSUAL-APPROACH,cites,I-TAYLOR,game-studies,1,10,calleja,Taylor 2006 endorsed processual-game-theorist
C06-PROCESSUAL-APPROACH,cites,I-MALABY,game-studies,1,10,calleja,Malaby 2007 p.8 quoted directly on each-game-as-ongoing-process
C06-PROCESSUAL-APPROACH,contests,C07-LUSORY-ATTITUDE-FLAG,game-studies,2,10,calleja,processual continuity-with-experience refuses experiential-separateness of lusory attitude
C07-LUSORY-ATTITUDE-FLAG,cites,I-SUITS,game-studies,3,10,calleja,Suits 1978 p.55 — prospective citation only; full Ch.3 critique
C07-LUSORY-ATTITUDE-FLAG,instances-in-text,I-SALEN-ZIMMERMAN,game-studies,3,11,calleja,Salen+Zimmerman 2003 cited as lusory-attitude adopters
C07-LUSORY-ATTITUDE-FLAG,instances-in-text,I-JUUL,game-studies,3,11,calleja,Juul 2005 cited as lusory-attitude adopter
C08-FIVE-ELEMENT-FRAMEWORK,defines,C09-PLAYER-ELEMENT,game-studies,1,11,calleja,element 1 — human agent NOT 'playfulness-bearer'
C08-FIVE-ELEMENT-FRAMEWORK,defines,C10-REPSIGN,game-studies,1,12,calleja,element 2 — representational sign
C08-FIVE-ELEMENT-FRAMEWORK,defines,C11-CODED-RULES,game-studies,1,12,calleja,element 3a — coded rules + coded/socially-negotiated coexistence
C08-FIVE-ELEMENT-FRAMEWORK,defines,C13-SIM-ENV-PROPS,game-studies,1,13,calleja,element 3b — simulated environmental properties
C08-FIVE-ELEMENT-FRAMEWORK,defines,C14-MATERIAL-MEDIUM,game-studies,1,14,calleja,element 4 — material medium / platform specificity
C17-REFUSAL-OF-ESSENTIALISM,extends,C08-FIVE-ELEMENT-FRAMEWORK,game-studies,1,11,calleja,framework is descriptive matrix not essentialist checklist
C09-PLAYER-ELEMENT,operationalizes-via-game,G-CALLOFDUTY4,game-studies,2,12,calleja,CoD IV death-match — same-object-different-process via divergent player practices
C11-CODED-RULES,cites,I-AARSETH,game-studies,2,12,calleja,Aarseth 1997 Cybertext pp.1+40 — ergodic media + nontrivial code-to-surface-sign relation
C12-ERGODIC-NONTRIVIAL,cites,I-AARSETH,game-studies,2,12,calleja,Aarseth Cybertext source
C11-CODED-RULES,extends,C12-ERGODIC-NONTRIVIAL,game-studies,2,12,calleja,coded rules subsection imports Aarseth's ergodic/nontrivial-sign distinction
C11-CODED-RULES,operationalizes-via-game,G-CSSOURCE,game-studies,2,13,calleja,Counter-Strike: Source clan banning sniper rifles — coded + socially-negotiated rule coexistence
C13-SIM-ENV-PROPS,operationalizes-via-game,G-NONDIG-EXEMPLARS,game-studies,3,13,calleja,tabletop RPG 3D6-fall-damage = analog simulation of physics
C13-SIM-ENV-PROPS,operationalizes-via-game,G-CALLOFDUTY4,game-studies,2,13,calleja,CoD IV brick density + bullet penetration + avatar movement speeds = hard-coded physics
C13-SIM-ENV-PROPS,operationalizes-via-game,G-PONG,game-studies,2,14,calleja,Pong = low-end of simulated-environmental-properties complexity
C13-SIM-ENV-PROPS,operationalizes-via-game,G-CRYSIS,game-studies,2,14,calleja,Crysis = high-end of simulated-environmental-properties complexity
C13-SIM-ENV-PROPS,operationalizes-via-game,G-CODMW2,game-studies,2,14,calleja,CoD: Modern Warfare 2 = high-end of simulated-environmental-properties complexity
C14-MATERIAL-MEDIUM,operationalizes-via-game,G-SETTLERS,game-studies,2,14,calleja,Settlers of Catan board-vs-software = paradigm material-medium variation
C15-VIRTUAL-GAME-ENVIRONMENTS,defines,C16-DIGITAL-GAMES-AS-HYBRIDS,game-studies,1,14,calleja,digital-games-as-hybrids motivates virtual-game-environment as unit of analysis
C16-DIGITAL-GAMES-AS-HYBRIDS,operationalizes-via-game,G-GTA4,game-studies,1,15,calleja,GTA IV = paradigm Wittgensteinian-hybrid + multiple-embedded-games
C16-DIGITAL-GAMES-AS-HYBRIDS,operationalizes-via-game,G-WOW,game-studies,1,15,calleja,WoW = paradigm Wittgensteinian-hybrid + virtual-game-environment
C16-DIGITAL-GAMES-AS-HYBRIDS,operationalizes-via-game,G-HL2,game-studies,1,15,calleja,HL2 = paradigm Wittgensteinian-hybrid + virtual-game-environment
C16-DIGITAL-GAMES-AS-HYBRIDS,cites,I-RYAN,game-studies,2,15,calleja,Ryan 2006 Avatars of Story = corroborating witness for hybrid-rule-systems-plus-narrative claim
C16-DIGITAL-GAMES-AS-HYBRIDS,extends,C03-FAMILY-RESEMBLANCE,game-studies,1,15,calleja,Wittgensteinian-hybrid is family-resemblance applied at sub-family-intersection level
