source,relation,target,locus,note
bor-sec-05,treats-construct,profound/deep boredom (FCM 3rd form),p.5-7,"Central Heidegger-side topic; 'es ist einem langweilig,' undifferentiated no one, merged temporal ekstases, call-to-action in the Augenblick (FE)."
bor-sec-05,treats-construct,being-bored-by (1st form),p.6,"Single defining clause (FCM sec.19-23), then explicitly bracketed: 'we limit our discussion to the third type of boredom' (FE)."
bor-sec-05,treats-construct,being-bored-with (2nd form),p.6,"Single defining clause (FCM sec.24-28), then explicitly bracketed alongside the first form (FE)."
bor-sec-05,treats-construct,temporality of boredom (time-drag),p.16 n.3,"Named as an explicit gap ('we are unable to discuss...their temporality') and deferred to the authors' own 2015 companion piece rather than developed here (FE)."
bor-sec-05,treats-construct,monotony / meaninglessness,p.11,"The Sartrean 'difficulty' that gives rise to boredom is glossed as 'a perceived meaninglessness, lack of interest, or challenge' -- an authorial construction, not found in Sartre's own text (FE)."
bor-sec-05,treats-construct,mind-wandering / task-unrelated thought,p.11,"'we mind-wander and alternative goals and situations...become salient to us,' cited to Eastwood et al. 2013 and Elpidorou 2018a (FAITHFUL-Elpidorou & Freeman, p.11)."
bor-sec-05,treats-construct,attentional disengagement / meta-awareness,p.11,"'we cannot maintain our attention to the situation at hand' -- light touch, same sentence as the mind-wandering claim (FE)."
bor-sec-05,treats-construct,boredom-as-regulatory-signal (functional account),p.11-12,"'boredom could serve as the means out of a difficult situation and into a better (i.e., more fulfilling) life,' citing Elpidorou 2018b directly (FAITHFUL-Elpidorou & Freeman, p.12)."
bor-sec-05,treats-construct,flow / engagement (contrast pole),p.7,"No explicit vocabulary; structural analogue only via the Augenblick/'call to action' as profound boredom's positive telos (FE, qualified)."
bor-sec-05,bridges-to-fcm,fcm-04-first-form,"FCM sec.19-23, book pp.78-105 (cf. entry p.6)","One-clause definition of Gelangweiltwerden von etwas (becoming bored by something) exactly matching fcm-04's own section range; example given (object/person/state-of-affairs) but not elaborated (FAITHFUL-Elpidorou & Freeman, p.6)."
bor-sec-05,bridges-to-fcm,fcm-05-second-form,"FCM sec.24-28, book pp.106-131 (cf. entry p.6)","One-clause definition of Sichlangweilen bei etwas (being bored with something) exactly matching fcm-05's own section range; noted only as the form where what bores is unclear to Dasein (FAITHFUL-Elpidorou & Freeman, p.6)."
bor-sec-05,bridges-to-fcm,fcm-06-third-form,"FCM 135/203 and 136/205, book pp.132-159 (cf. entry p.6)","'Undifferentiated no one' and 'no longer permits passing-the-time' -- primary FCM anchors for the entry's profound-boredom exposition, matching fcm-06 sec.2's own citation of the same passages (FAITHFUL-Elpidorou & Freeman, p.6)."
bor-sec-05,bridges-to-fcm,fcm-06-third-form,"FCM 148-152/222-28 and 149/224, book p.148-153 (cf. entry p.7)","Entrancement's 'telling refusal' read as itself a 'call for action' issuing in the Augenblick, where Dasein becomes 'the author of its own existential meaning' -- corresponds to fcm-06's own sec.32b, 'impelled toward the Augenblick' (FAITHFUL-Elpidorou & Freeman, p.7)."
bor-sec-05,qualifies,fcm-06-third-form,p.7,"(P/anticipatory-application) Entry builds a synthetic parallel between profound boredom (FCM) and anxiety (Being and Time) -- both revelatory, both compel authenticity -- a cross-text bridge FCM itself does not state in these terms; the entry's one genuine interpretive extension of the primary source."
bor-sec-05,qualifies,"Heidegger, Martin",p.14-15 n.7-8,"Authors regularize Heidegger's own inconsistent terminology: fear read as emotion-like rather than mood-like despite BT sec.30's wording (following Freeman 2014); anxiety (and, by the drawn parallel, profound boredom) stabilized as Grundstimmung rather than Grundbefindlichkeit (FE)."
bor-sec-05,defines,Befindlichkeit / Stimmung,p.2-3,"Ontological/ontic pairing: Befindlichkeit as basic structure, Stimmung as its ontic manifestation; both disclosive of thrownness, being-in-the-world as a whole, and what matters (FAITHFUL-Elpidorou & Freeman, p.2-3)."
bor-sec-05,cites,"Heidegger, Martin (interlocutor)",p.1-7,"Primary interlocutor for sec.1; Being and Time (Befindlichkeit, fear, anxiety) and Fundamental Concepts of Metaphysics (three forms of boredom) both drawn on (FE)."
bor-sec-05,cites,"Sartre, Jean-Paul (interlocutor)",p.7-12,"Primary interlocutor for sec.2; Sketch for a Theory of the Emotions is the core text, supplemented by brief survey of Transcendence of the Ego, The Imaginary, Being and Nothingness (FE)."
bor-sec-05,extends-reading-of,"Sartre, Jean-Paul (interlocutor)",p.11,"Sartre never discusses boredom in the Sketch; E&F explicitly construct a Sartrean account of it themselves ('though boredom is not discussed in the Sketch, Sartre's account could indeed be applied to it') (FE)."
bor-sec-05,contests-reading-of,"Sartre, Jean-Paul (interlocutor)",p.12,"Authors flag their own Sartrean boredom-construction as in tension with reflective self-awareness (checking phones, walking to alleviate boredom) and note the generalized criticism that Sartre's theory may be 'too inflexible' and cannot handle positive emotions (citing Fell 1965; Weberman 1996) (FE)."
