subject,stimulus,round,variant,signal,stat,value
S01,BOR,1,unified,cognitive_load,delta_last_first_third,0.0213069614325
S01,BOR,1,unified,cognitive_load,max,0.852837
S01,BOR,1,unified,cognitive_load,mean,0.571258327824
S01,BOR,1,unified,cognitive_load,median,0.635053
S01,BOR,1,unified,cognitive_load,min,0.182433
S01,BOR,1,unified,cognitive_load,sd,0.134761857826
S01,BOR,1,unified,cognitive_load,slope,3.23629503833e-05
S01,BOR,1,unified,cognitive_load,third1,0.529813472452
S01,BOR,1,unified,cognitive_load,third2,0.632841077135
S01,BOR,1,unified,cognitive_load,third3,0.551120433884
S01,BOR,1,unified,eye_gaze_deviation,delta_last_first_third,-0.0521402722682
S01,BOR,1,unified,eye_gaze_deviation,max,0.502978130737
S01,BOR,1,unified,eye_gaze_deviation,mean,0.176450084824
S01,BOR,1,unified,eye_gaze_deviation,median,0.148497449904
S01,BOR,1,unified,eye_gaze_deviation,min,0.01256980509
S01,BOR,1,unified,eye_gaze_deviation,sd,0.103847040875
S01,BOR,1,unified,eye_gaze_deviation,slope,-0.000109658595827
S01,BOR,1,unified,eye_gaze_deviation,third1,0.194558426648
S01,BOR,1,unified,eye_gaze_deviation,third2,0.192749353906
S01,BOR,1,unified,eye_gaze_deviation,third3,0.142137522567
S01,BOR,1,unified,eye_openness_left,third1,0.892561983471
S01,BOR,1,unified,eye_openness_left,third2,0.918732782369
S01,BOR,1,unified,eye_openness_left,third3,0.906336088154
S01,BOR,1,unified,hr,delta_last_first_third,-1.5303030303
S01,BOR,1,unified,hr,max,91
S01,BOR,1,unified,hr,mean,79.4072543618
S01,BOR,1,unified,hr,median,79
S01,BOR,1,unified,hr,min,72
S01,BOR,1,unified,hr,sd,4.38185202679
S01,BOR,1,unified,hr,slope,5.62076588182e-05
S01,BOR,1,unified,hr,third1,79.9201101928
S01,BOR,1,unified,hr,third2,79.91184573
S01,BOR,1,unified,hr,third3,78.3898071625
S01,BOR,1,unified,left_eye_dilation,delta_last_first_third,-0.139710435312
S01,BOR,1,unified,left_eye_dilation,max,4.143997
S01,BOR,1,unified,left_eye_dilation,mean,3.01619516067
S01,BOR,1,unified,left_eye_dilation,median,2.981491
S01,BOR,1,unified,left_eye_dilation,min,2.244278
S01,BOR,1,unified,left_eye_dilation,sd,0.283522825621
S01,BOR,1,unified,left_eye_dilation,slope,-0.000236194676627
S01,BOR,1,unified,left_eye_dilation,third1,3.08509003653
S01,BOR,1,unified,left_eye_dilation,third2,3.01793338356
S01,BOR,1,unified,left_eye_dilation,third3,2.9457764264
S01,BOR,1,unified,right_eye_dilation,delta_last_first_third,-0.138009279211
