subject,stimulus,window,signal,stat,value
S01,BOR,crop,cognitive_load,mean,0.5712583278236915
S01,BOR,crop,cognitive_load,median,0.635053
S01,BOR,crop,cognitive_load,sd,0.13476185782575678
S01,BOR,crop,cognitive_load,min,0.182433
S01,BOR,crop,cognitive_load,max,0.852837
S01,BOR,crop,cognitive_load,slope,3.236295038325637e-05
S01,BOR,crop,cognitive_load,delta_last_first_third,0.021306961432506877
S01,BOR,crop,hr,mean,79.40725436179982
S01,BOR,crop,hr,median,79.0
S01,BOR,crop,hr,sd,4.381852026791431
S01,BOR,crop,hr,min,72.0
S01,BOR,crop,hr,max,91.0
S01,BOR,crop,hr,slope,5.620765881816385e-05
S01,BOR,crop,hr,delta_last_first_third,-1.5303030303030312
S01,BOR,crop,hrv,mean,102.92502449311294
S01,BOR,crop,hrv,median,104.55687
S01,BOR,crop,hrv,sd,17.031000881869325
S01,BOR,crop,hrv,min,68.095924
S01,BOR,crop,hrv,max,126.081818
S01,BOR,crop,hrv,slope,-0.013641733182448757
S01,BOR,crop,hrv,delta_last_first_third,-6.30562114325069
S01,BOR,crop,left_eye_dilation,mean,3.016195160669032
S01,BOR,crop,left_eye_dilation,median,2.981491
S01,BOR,crop,left_eye_dilation,sd,0.2835228256213983
S01,BOR,crop,left_eye_dilation,min,2.244278
S01,BOR,crop,left_eye_dilation,max,4.143997
S01,BOR,crop,left_eye_dilation,slope,-0.00023619467662731964
S01,BOR,crop,left_eye_dilation,delta_last_first_third,-0.1397104353120242
S01,BOR,crop,right_eye_dilation,mean,2.912996809908999
S01,BOR,crop,right_eye_dilation,median,2.871277
S01,BOR,crop,right_eye_dilation,sd,0.2812902361992846
S01,BOR,crop,right_eye_dilation,min,2.157806
S01,BOR,crop,right_eye_dilation,max,3.910263
S01,BOR,crop,right_eye_dilation,slope,-0.0002487746138134992
S01,BOR,crop,right_eye_dilation,delta_last_first_third,-0.13800927921092576
S01,BOR,crop,eye_gaze_deviation,mean,0.17645008482405922
S01,BOR,crop,eye_gaze_deviation,median,0.14849744990419889
S01,BOR,crop,eye_gaze_deviation,sd,0.10384704087541483
S01,BOR,crop,eye_gaze_deviation,min,0.012569805089976545
S01,BOR,crop,eye_gaze_deviation,max,0.5029781307373115
S01,BOR,crop,eye_gaze_deviation,slope,-0.00010965859582690622
S01,BOR,crop,eye_gaze_deviation,delta_last_first_third,-0.0521402722681964
S01,CLC,crop,cognitive_load,mean,0.5996197682423131
S01,CLC,crop,cognitive_load,median,0.634252
S01,CLC,crop,cognitive_load,sd,0.11955828961461078
S01,CLC,crop,cognitive_load,min,0.179463
S01,CLC,crop,cognitive_load,max,0.853924
S01,CLC,crop,cognitive_load,slope,-0.0002073273608337802
S01,CLC,crop,cognitive_load,delta_last_first_third,-0.09124839944903573
S01,CLC,crop,hr,mean,77.10096374483709
S01,CLC,crop,hr,median,78.0
S01,CLC,crop,hr,sd,4.02812586308336
S01,CLC,crop,hr,min,66.0
S01,CLC,crop,hr,max,85.0
S01,CLC,crop,hr,slope,0.007437461987812366
S01,CLC,crop,hr,delta_last_first_third,4.034435261707998
S01,CLC,crop,hrv,mean,121.37981681964207
S01,CLC,crop,hrv,median,123.977806
S01,CLC,crop,hrv,sd,12.495555100468119
S01,CLC,crop,hrv,min,93.609009
S01,CLC,crop,hrv,max,138.34465
S01,CLC,crop,hrv,slope,2.7067930168953313e-05
