source_claim,relation,edge_domain,target,note,location
DISS-03-C001,grounds,architectural,DISS-03-C002,"A2 resonant kinēsis is the immediate predecessor that A3 phantasma actualizes from","line 5"
DISS-03-C002,depends_on,architectural,DISS-03-C001,"A3 phantasma presupposes the dual-trace residue of A2","line 5"
DISS-03-C002,grounds,architectural,DISS-03-C015,"A3 phantasma is the substrate on which the three orientational modes operate","lines 5; 29"
DISS-03-C003,depends_on,architectural,DISS-03-C002,"M2→A3 is the motion FROM resonant kinēsis TO phantasma; presupposes both poles","line 5"
DISS-03-C003,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 264-265,"Heidegger BCAP gloss on pathein as being-affected-by-beings-as-world","line 5"
DISS-03-C004,refines,terminological,DISS-03-C005,"Phantasia-as-capacity and phantasma-as-product are distinguished","line 7"
DISS-03-C005,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428a1-3,"Aristotle defines phantasia as that in virtue of which an image arises for us","line 7"
DISS-03-C005,needs-citation,citation,SECONDARY-LOCUS:Papachristou 2013,"User flagged Papachristou for the three-grades distinction at \inlinenote line 61","lines 7; 61"
DISS-03-C006,cites-as-support,citation,SECONDARY-LOCUS:Papachristou 2013 p.28 fn.32,"Papachristou insists on leaving phantasia untranslated","line 7"
DISS-03-C007,depends_on,architectural,DISS-03-C004,"Sensory/deliberative grading depends on the capacity/activity/product distinction","line 7"
DISS-03-C008,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.11 434a16-21,"Deliberative phantasia (phantasia bouleutikē) belongs to rational animals only","line 7"
DISS-03-C009,grounds,architectural,DISS-03-C010,"Three phantasma features (determinate/available/representational) ground higher cognition","line 9"
DISS-03-C010,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a16-17,"The soul never thinks without a phantasma","lines 9; 17"
DISS-03-C011,cites-as-support,citation,SECONDARY-LOCUS:Burke RoM 83-84,"Hazlitt identification quote on imagination engaging appetite","line 9"
DISS-03-C012,extends,architectural,DISS-03-C009,"Burke/Hazlitt extends phantasma's representational character to motivational dimension","line 9"
DISS-03-C013,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 132-137,"Heidegger reads phantasia as poiein paron / making-present","line 13"
DISS-03-C013,refines,interpretive,DISS-03-C009,"Heideggerian gloss recasts the three features as structural moments of disclosedness","line 13"
DISS-03-C014,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 134,"Phantasia as making-present-to-itself of the world","line 13"
DISS-03-C015,grounds,architectural,DISS-03-C016,"What phantasia makes present is the eidos AND hedonic tonality","line 15"
DISS-03-C015,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 135,"Phantasia is the light/illumination in which the look of something is seen and felt","line 15"
DISS-03-C016,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 134,"Nous of human beings is not pure; grounded bodily in phantasia","lines 15; 17"
DISS-03-C017,cites-as-support,citation,ARISTOTLE-LOCUS:MA 7 701a32-33,"I want to drink says appetite; this is drink says sense/imagination/thought","line 19"
DISS-03-C017,grounds,architectural,DISS-03-C018,"MA 7 three-faculty discrimination grounds the three-thirst-cases pedagogy","lines 19-25"
DISS-03-C018,instantiates,illustrative,DISS-03-C017,"Case 1 (kitchen-glass) instantiates aisthēsis case","line 21"
DISS-03-C019,instantiates,illustrative,DISS-03-C017,"Case 2 (canteen) instantiates phantasia case","line 23"
DISS-03-C020,instantiates,illustrative,DISS-03-C017,"Case 3 (rock-basin) instantiates nous case","line 25"
DISS-03-C021,refines,terminological,DISS-03-C022,"Resonant orexis transitions from dunamis to energeia in case 1","line 21"
DISS-03-C022,grounds,architectural,DISS-03-C023,"Resonant orexis is present everywhere the eidos is held — invariant across cases","line 27"
DISS-03-C023,grounds,architectural,DISS-03-C024,"Three-cases license the three-modes taxonomy that follows","line 29"
DISS-03-C024,grounds,architectural,DISS-03-C025,"Three orientational modes share non-committal structural character","line 29"
DISS-03-C024,extends,architectural,DISS-03-C025,"The three modes are differentiated by temporal orientation","line 29"
DISS-03-C025,grounds,architectural,DISS-03-C040,"Each mode terminates in a distinct A3 content","line 29"
DISS-03-C026,inconsistent-with,terminological,DISS-03-C024,"Line 31 says 'Four orientational modes must be distinguished' but enumerates three plus doxa-as-fourth; line 29 says three plus doxa-as-orthogonal — internal inconsistency","line 31"
DISS-03-C027,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431b2,"The soul never thinks without an image","line 37"
DISS-03-C027,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431b12-13,"The thinking faculty thinks the forms in the images","line 37"
DISS-03-C028,grounds,architectural,DISS-03-C029,"Intellection abstracts universal from particular phantasma","line 37"
DISS-03-C029,needs-citation,citation,HEIDEGGER-LOCUS:Logos/speech (BCAP),"User flagged \hl{Heidegger logos/speech quote} placeholder","line 37"
DISS-03-C030,depends_on,architectural,DISS-03-C028,"Atemporal orientation of intellection presupposes the abstraction","line 39"
DISS-03-C030,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 136,"Nous of human beings is not pure","line 39"
DISS-03-C031,contrasts_with,terminological,DISS-03-C046,"Nous abstracts; doxa asserts — structural boundary between A3 cognitive content and doxastic ratification","line 39"
DISS-03-C032,cites-as-support,citation,ARISTOTLE-LOCUS:Mem 449b25-27,"Object of memory is past","line 43"
DISS-03-C032,cites-as-support,citation,SECONDARY-LOCUS:Frede 1992 p.285,"Memory's object is a past experience qua past","line 43"
DISS-03-C033,depends_on,architectural,DISS-03-C032,"Phantasma-as-likeness-of-past presupposes time-perception","line 43"
DISS-03-C033,cites-as-support,citation,ARISTOTLE-LOCUS:Mem 449b28-30,"Organ that perceives time is also organ that remembers","line 43"
DISS-03-C034,refines,interpretive,DISS-03-C033,"Heideggerian Zeitlichkeit / Gewesenheit gloss on memory-phantasma","line 43"
DISS-03-C034,needs-citation,citation,HEIDEGGER-LOCUS:BT 449-451 (ecstatic temporality + Gewesenheit),"User flagged \hl{(I need quotations for ecstatic temporality and gewesenheit)}","line 43"
DISS-03-C035,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 129 (hexis-anticipation),"Aristotle cannot say aei; the always of being-there is the frequently of repetition","line 45"
DISS-03-C035,needs-citation,citation,HEIDEGGER-LOCUS:Settled-disposition section repeat,"User flagged \hl{(Repeat quote in the final settled disposition section.)}","line 45"
DISS-03-C036,extends,architectural,DISS-03-C037,"Settled memory functions like settled doxa as additional unmoved originator — gestures at hexeis","line 47"
DISS-03-C037,depends_on,architectural,DISS-03-C002,"Memory's retrospective orientation depends on phantasma being available","line 47"
DISS-03-C038,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.11 434a5-10,"Discursive mode must make a unity out of several images","line 51"
DISS-03-C038,grounds,architectural,DISS-03-C039,"Synthetic capacity grounds distinction between deliberative and speculative","line 51"
DISS-03-C039,refines,architectural,DISS-03-C038,"Deliberative practical / speculative theoretical sub-domain bifurcation","lines 51; 57"
DISS-03-C039,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.10 433b5-10,"Thought bids us hold back because of what is future","line 55"
