surface,round,stimulus,cohort_mean_z
pupil dilation,1,BOR,-0.69214705718
pupil dilation,1,CLC,0.397697350002
pupil dilation,1,INT,0.294449707179
pupil dilation,2,BOR,-0.540914640833
pupil dilation,2,CLC,-0.121561532032
pupil dilation,2,INT,0.662476172865
cognitive load,1,BOR,-0.18993491217
cognitive load,1,CLC,0.347801732727
cognitive load,1,INT,-0.157866820557
cognitive load,2,BOR,-0.18336202115
cognitive load,2,CLC,-0.830065324796
cognitive load,2,INT,1.01342734595
HR,1,BOR,0.45599093653
HR,1,CLC,0.0777329371435
HR,1,INT,-0.533723873674
HR,2,BOR,-0.512418697748
HR,2,CLC,-0.318200444051
HR,2,INT,0.574409792924
gaze deviation variance,1,BOR,0.38965803919
gaze deviation variance,1,CLC,-0.428812969622
gaze deviation variance,1,INT,0.0391549304318
gaze deviation variance,2,BOR,0.208042705658
gaze deviation variance,2,CLC,-0.519002502613
gaze deviation variance,2,INT,0.310959796955
gaze deviation median,1,BOR,0.446406872866
gaze deviation median,1,CLC,-0.152298104056
gaze deviation median,1,INT,-0.29410876881
gaze deviation median,2,BOR,0.966677226012
gaze deviation median,2,CLC,-0.441559197268
gaze deviation median,2,INT,-0.525118028744
eye openness,1,BOR,-1.00412760172
eye openness,1,CLC,0.628205310346
eye openness,1,INT,0.375922291373
eye openness,2,BOR,-1.02531763938
eye openness,2,CLC,0.720974131462
eye openness,2,INT,0.304343507913
