subject,stimulus,quantity,value,kind
S06,BOR,eye closure,0.156532456861,physiology
S06,CLC,eye closure,0.0697368421053,physiology
S06,INT,eye closure,0.100706713781,physiology
S06,BOR,pupil dilation,3.24475014203,physiology
S06,CLC,pupil dilation,3.42582329341,physiology
S06,INT,pupil dilation,3.57030055319,physiology
S06,BOR,cognitive load,0.595438342235,physiology
S06,CLC,cognitive load,0.541018064035,physiology
S06,INT,cognitive load,0.601210553445,physiology
S06,BOR,HR,92.2900575185,physiology
S06,CLC,HR,89.5385964912,physiology
S06,INT,HR,89.9792402827,physiology
S06,BOR,gaze deviation variance,0.0156226650676,physiology
S06,CLC,gaze deviation variance,0.0117929731567,physiology
S06,INT,gaze deviation variance,0.011567636128,physiology
S06,BOR,gaze deviation (per-file baseline),0.241530182077,physiology
S06,CLC,gaze deviation (per-file baseline),0.307845740591,physiology
S06,INT,gaze deviation (per-file baseline),0.167388769038,physiology
S06,BOR,boredom,4,self-report
S06,CLC,boredom,6,self-report
S06,INT,boredom,8,self-report
S06,BOR,engagement,5,self-report
S06,CLC,engagement,3,self-report
S06,INT,engagement,2,self-report
S06,BOR,felt duration (min),20,self-report
S06,CLC,felt duration (min),25,self-report
S06,INT,felt duration (min),30,self-report
