source,relation,target,locus,note
bor-sec-33,treats-construct,situational vs. trait/state boredom,p.4,"State boredom induced via a single validated video within one session; MSBS and Boredom Proneness Scale named and explicitly set aside as unsuited to a transient, single-exposure design (FAITHFUL-Yuvaraj et al., p.4)."
bor-sec-33,treats-construct,boredom proneness,"p.1, p.4","Named only as an individual antecedent-susceptibility factor ('high boredom proneness') and via the uncited-in-use Boredom Proneness Scale; not independently measured (FE, p.1, p.4)."
bor-sec-33,treats-construct,mind-wandering / task-unrelated thought,"p.2, p.11","Gamma/beta connectivity increases interpreted, via prior mind-wandering/DMN literature, as reflecting a shift toward internally directed attention or mind-wandering during low stimulation (FAITHFUL-Yuvaraj et al., p.11)."
bor-sec-33,treats-construct,attentional disengagement / meta-awareness,p.2,"Boredom framed as disengagement from the external environment with a hypothesized distinct neural signature, contrasted with ordinary resting-state DMN dominance during mind-wandering (FAITHFUL-Yuvaraj et al., p.2)."
bor-sec-33,treats-construct,boredom-as-regulatory-signal (functional account),p.12-13,"Discussion/Conclusion reframe boredom as a state that may prompt the brain to seek new stimulation rather than signal mere deficit, closing on boredom as a potential catalyst for cognitive growth (FAITHFUL-Yuvaraj et al., p.12)."
bor-sec-33,treats-construct,flow / engagement (contrast pole),"p.2, p.4","Operationalized directly as the study's 'excitement' comparison-video condition; flow-theory-adjacent engagement literature (Shernoff et al., 2003) cited to frame boredom's opposite pole (FE, p.2)."
bor-sec-33,treats-construct,monotony / meaninglessness,p.4,"Boredom stimulus explicitly engineered around monotony: piloted lecture video selected for slow, monotonous delivery and low-value content with minimal cognitive challenge (FAITHFUL-Yuvaraj et al., p.4)."
bor-sec-33,operationalizes-measure,EEG functional connectivity,p.6-8,"Core measure: 61x61 unthresholded spectral-coherence matrices per 2-s epoch across 5 bands, N=73; five Brain Connectivity Toolbox graph measures (Ceff, Cpl, Eglo, Eloc, Nstr) (FAITHFUL-Yuvaraj et al., p.6-8)."
bor-sec-33,operationalizes-measure,self-report / survey scale,"p.4, p.9","5-item State Affect Questionnaire (adapted PANAS, 0-8 intensity) used as EEG emotion-labeling ground truth and as a manipulation check via two-way repeated-measures ANOVA (FAITHFUL-Yuvaraj et al., p.4, p.9)."
bor-sec-33,construct-measured-by,boredom-as-regulatory-signal (functional account) <- EEG functional connectivity (gamma-band network reorganization),p.10-13,"The paper's own internal construct-measure pairing: the functional/non-deficit reading of boredom is grounded empirically in the gamma-band clustering/efficiency/path-length pattern, not merely asserted theoretically (FAITHFUL-Yuvaraj et al., p.10-13)."
bor-sec-33,qualifies,EEG functional connectivity,p.4-5,"Although ECG and eye-gaze were recorded synchronously via Chronos hardware triggers, 'only EEG data were obtained and analyzed' in this study; any comparison to a multimodal dataset channel should treat this as an EEG-only demonstration, not a validated multimodal pipeline (FAITHFUL-Yuvaraj et al., p.5)."
bor-sec-33,defines,boredom (attentional/cognitive-emotional definition),p.1,"Boredom defined as difficulty maintaining attention and a perceived lack of meaningful engagement (cognitive) plus an aversive inner experience signaling a need for change or stimulation (emotional) (FAITHFUL-Yuvaraj et al., p.1, following Eastwood et al. 2012; Bench & Lench 2013)."
