edge_id,source,target,relation,locus,contributor,note
US04-E01,Gross-Ch4-mixed-feelings-thesis,Galen-humours-disequilibrium-model,contests,book p.111 + n.1 (Paster Humoring the Body 2004),Gross,Primary polemical target. Mixed feelings are not proportional internal mixing but negotiated circumstances converging on character.
US04-E02,Gross-Ch4-mixed-feelings-thesis,Ekman-basic-emotions-program,contests,book p.113 + n.9,Gross,Ekman 1992: non-basic = combinations of basic. Ekman qualifies that mixed = basic emotions in microseconds — Gross rejects this technical save.
US04-E03,Gross-Ch4-mixed-feelings-thesis,Barrett-Barsalou-situated-conceptualization,builds-on,book p.117-120 + n.17 + n.18,Gross,Wilson-Mendenhall Barrett Simmons Barsalou 2011 'Grounding Emotion in Situated Conceptualization' Neuropsychologia. Catch-trial methodology productive for Kagan's uncertainty problem.
US04-E04,Gross-Ch4-mixed-feelings-thesis,Kahneman-reference-points-mixed-feelings,builds-on,book p.120 + n.24,Gross,Kahneman 1992 'Reference Points Anchors Norms and Mixed Feelings' OrgBehavior&HumanDecisionProcesses 51:296-312. Mixed feelings as multi-reference-point ambivalencies.
US04-E05,Marianne-relative-value-retort-S&S-p198,Kahneman-Tversky-prospect-theory-1979,prefigures,book p.120 (Austen p.198) + n.24,Gross,Marianne's 'if the loss of what is most valued is so easily to be made up by something else' anticipates loss aversion + relative-value central to prospect theory.
US04-E06,Edward-mixed-feelings-six-reference-points,Barrett-Barsalou-interested-onlookers,defined-by,book p.119-120,Gross,Chapter's argumentative crux: 'Edward's mixed feelings are defined by interested onlookers who in this case include us.' Barrett-Barsalou alignment.
US04-E07,Elinor-S&S-p198-expected-utility-framing,crass-utilitarian-absolute-value,exemplifies,book p.120 (Austen p.198),Gross,Elinor's framing of Edward-marrying-Lucy as absolute-value substitution — 'disingenuously' performed by the sensible sister.
US04-E08,Marianne-S&S-p198-retort,Elinor-S&S-p198-expected-utility-framing,contests,book p.120 (Austen p.198),Gross,Marianne addresses Elinor as 'a non-abstract and unaveraged person' interested in relative not absolute value.
US04-E09,Lucy-Steele-S&S-p221-secret-calculation,crass-utilitarian-happiness-quantification,exemplifies,book p.120 (Austen p.221),Gross,'£200 and x = the availability of Colonel Brandon's servants carriage cows and poultry.' Austen quarantines the utility calculation in the character (Lucy) the reader is meant to mistrust.
US04-E10,Edward-£200-views-of-happiness-S&S-p218,Bentham-utilitarian-happiness-calculation,exemplifies-then-frustrates,book p.114 (Austen p.218),Gross,'Views of happiness' is the unit on which crass utility would have to operate; the narrator's withholding of Edward's interiority frustrates the calculation.
US04-E11,Austen-narrator-withholds-Edward-interiority,Zunshine-Vermeule-theory-of-mind-reading,contests,book p.114,Gross,'What Edward felt as he could not say it himself it cannot be expected that anyone else should say for him.' Mind-reading denied at both external and internal registers.
US04-E12,Austen-Ch4-Gross-reading,Ryle-1966-Jane-Austen-and-the-Moralists,builds-on,book p.116 + n.16,Gross,'Austen as Aristotelian' Index 167n16. Ryle reads S&S as modeling Aristotelian equilibrium.
US04-E13,Austen-Ch4-Gross-reading,MacIntyre-After-Virtue-Austen-Aristotelian-Christian,contests,book p.116 + n.16 (MacIntyre p.240),Gross,Gross departs: 'Austenian happiness is not Aristotelian + Christian as MacIntyre suggests.' Austen is a critic of systematic-utilitarian thinking — not a virtue-equilibrium narrator.
US04-E14,Austen-Sense-and-Sensibility-1811,Bentham-1776-1780-utilitarianism,replies-to,book p.113,Gross,Drafted as 'Elinor and Marianne' in 1790s 'just before Austen' wrote S&S — explicitly contemporaneous with crass-utilitarian articulation.
US04-E15,Gross-rhetoric-of-mixed-feelings,Goring-Rhetoric-of-Sensibility-2005,builds-on,book p.124 + n.31,Gross,Goring p.153: sentimental-fiction rhetoric of emotion = 'mechanics of the scenes' + 'staging of witnessed eloquence that implicates a reader.'
US04-E16,Edward-astonishment-S&S-p217-218,Le-Brun-astonishment-with-fear-Fig4-3,exemplifies,book p.116 (Fig 4.3) + n.11,Gross,Le Brun A Method to Learn to Design the Passions: astonishment always scalar (admiration + fear); 'in its unadulterated form nothing will change per se.'
US04-E17,Mr-Bennet-astonishment-P&P-Fig4-2,context-dependence-of-emotional-expression,exemplifies,book p.114-115 (Fig 4.2),Gross,1833 Greatbatch engraving. Astonishment 'destabilizes the emotional arc in both temporal directions' — requires context (Darcy saved Lydia) to read.
US04-E18,Jim-Webb-emotion-paradox-Fig4-4,Ekman-basic-emotions-program,contests,book p.117 (Fig 4.4),Gross,Barrett Lindquist Gendron 2007 TrendsCogSci. Same face — angry or elated — depending on situation. Howard Dean error analog.
US04-E19,Kahneman-rhetoric-of-possibilities,paradiastole-Peacham-Renaissance-figure,builds-on,book p.122,Gross,Kahneman's negotiator-reframings ('not losing a vehicle gaining freedom from debt') as Renaissance paradiastole.
US04-E20,Kahneman-recalcitrant-world-subject,Skinner-generic-paradiastole-in-utramque-partem,contests,book p.122 + n.28,Gross,Against Skinner's 'always possible to argue on either side' — Kahneman's reference values 'lodged in a recalcitrant world.'
