edge_id,source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,source_unit,contributor,notes
PHX-E-0001,PHX-01-NUSSBAUM,defines,READING:Nussbaum-phantasia-as-interpretation,interpretive-thesis,11,221-269,PHX-01,Nussbaum,Core thesis: phantasia is the interpretive aspect of perception — seeing object as F
PHX-E-0002,PHX-01-NUSSBAUM,defines,CONCEPT:phantasia-as-seeing-as,concept,20,230-231,PHX-01,Nussbaum,Phantasia roughly analogous to Wittgensteinian seeing-as / aspect-seeing
PHX-E-0003,PHX-01-NUSSBAUM,defines,CONCEPT:object-as-F,concept,47,257-258,PHX-01,Nussbaum,Object-as-F formal content is what phantasia adds over aisthesis
PHX-E-0004,PHX-01-NUSSBAUM,defines,READING:Nussbaum-two-description-identity,interpretive-thesis,25,234-236,PHX-01,Nussbaum,"Phantasia/aisthesis identity on arete/dikaiosune model, not road-up/road-down"
PHX-E-0005,PHX-01-NUSSBAUM,contests,READING:Sorabji-image-theory,interpretive-thesis,12,222-228,PHX-01,Nussbaum,Four-part attack on image view (Ross/Hicks/Hamlyn/Rees/Freudenthal/Sorabji)
PHX-E-0006,PHX-01-NUSSBAUM,contests,Sorabji-AristotleOnMemory,modern-interlocutor,12,222 n.2,PHX-01,Nussbaum,Sorabji as canonical image-theorist
PHX-E-0007,PHX-01-NUSSBAUM,contests,MODERN:Ross-DA-commentary,modern-interlocutor,53,263 + n.65,PHX-01,Nussbaum,Rejects Ross's collage-of-pictures reading of DA 434a7-10
PHX-E-0008,PHX-01-NUSSBAUM,contests,Hicks-1907,modern-interlocutor,50,260 + n.58,PHX-01,Nussbaum,Rejects Hicks's voice-image reading of DA 420b31
PHX-E-0009,PHX-01-NUSSBAUM,contests,Freudenthal-1863,modern-interlocutor,11,221 n.1,PHX-01,Nussbaum,Target of opening complaint; Freudenthal dismissed action passages
PHX-E-0010,PHX-01-NUSSBAUM,contests,READING:Standard-DA-428a1-4,interpretive-thesis,42,252-253,PHX-01,Nussbaum,"Rereads kata metaphoran clause as bracketing 'mere show' sense, not phainetai-uses"
PHX-E-0011,PHX-01-NUSSBAUM,extends,MODERN:Owen-Tithenai-ta-phainomena,modern-interlocutor,36,246 + n.40,PHX-01,Nussbaum,Extends Owen's methodological phainomena thesis to phantasia
PHX-E-0012,PHX-01-NUSSBAUM,extends,MODERN:Wittgenstein-PI-IIxi,modern-interlocutor,20,230-231,PHX-01,Nussbaum,Adopts seeing-as as analytic lens for phantasia
PHX-E-0013,PHX-01-NUSSBAUM,extends,MODERN:Ishiguro-Imagination,modern-interlocutor,20,230 n.21,PHX-01,Nussbaum,Adopts Ishiguro's elaboration of imagining as species of seeing-as
