source,relation,target,locus,note
bor-sec-14,treats-construct,profound/deep boredom (FCM 3rd form),"p.309, 312","Central ontological anchor; quotes FCM's third-form rooting-in-time claim verbatim, but never distinguishes it by name from forms I/II (FE)."
bor-sec-14,treats-construct,temporality of boredom (time-drag),p.309-311,"Boredom glossed as 'a feeling of time' via FCM p.80, set against Kant's a priori inner sense and Augustine's Confessions XI; depth explicitly decoupled from clock-duration (FAITHFUL-Zabalo, p.309-310)."
bor-sec-14,treats-construct,monotony / meaninglessness,"p.311-312, 320","Horror vacui and nothingness-anthropologically-processed-as-death frame boredom's meaninglessness; Lipovetsky's 'living without purpose or meaning' extends the diagnosis into postmodernity (FAITHFUL-Zabalo, p.320)."
bor-sec-14,treats-construct,situational vs. trait/state boredom,p.316-324,"Organizing move of the whole essay: resociologizes an apparently existential/trait-like attunement (profound boredom as fundamental attunement of Dasein) as leisure-economy-produced and situational, without abandoning its ontological register (FE)."
bor-sec-14,treats-construct,flow / engagement (contrast pole),p.321,"'Boredom or fun' (Roma o morte) posits fun/entertainment as boredom's consumerist contrary pole, without invoking Csikszentmihalyi-style flow vocabulary (FE)."
bor-sec-14,treats-construct,being-bored-by (1st form),p.308-311,"FCM's first-form vocabulary (drive-away/shake-off, Zeitvertreib, FCM pp.79/91) used generically for 'boredom' as such, unnamed as a distinct form (FE)."
bor-sec-14,bridges-to-fcm,fcm-04-first-form,"FCM p.79-80, 91, 96 (cf. Zabalo p.308-311)","Zabalo's generic 'feeling of time' gloss (FCM p.80) and pastime/'drive away'-'shake off' vocabulary (FCM pp.79, 91) draw on fcm-04's own §20/§22/§23 material without distinguishing form I from the other forms (FAITHFUL-Zabalo, p.308-311)."
bor-sec-14,bridges-to-fcm,fcm-06-third-form,FCM §29 p.133 (cf. Zabalo p.309),"Zabalo's rooting claim -- 'the more profound it becomes, the more completely boredom is rooted in time' -- quotes fcm-06 §1 verbatim; the essay's entire sociological extension is built on treating this third-form claim as boredom's general truth (FAITHFUL-Zabalo, p.309)."
bor-sec-14,bridges-to-fcm,fcm-07-particular-profound,"FCM ch.5, p.160-168 (cf. Zabalo p.316-324)","(P/anticipatory-application) Zabalo's whole 'free time'/spectacle-society question -- has leisure-economy man become boring to himself -- restates fcm-07's own question ('Has man in the end become boring to himself?', p.161) without citing its chapter-five locus; the cross-reference is ours, not Zabalo's own citation."
bor-sec-14,bridges-to-fcm,fcm-05-second-form,FCM §§24-28 p.106-131 (cf. Zabalo p.323-324),"(P/anticipatory-application) Zabalo's 'gathering with loved ones but lonely, stuck to a screen' scene reads as an unnamed instance of fcm-05's surface-occupied/depth-hollow being-bored-with structure; Zabalo never names or cites the second form."
bor-sec-14,cites,"Heidegger, Martin (interlocutor)",p.308-324 passim,"Primary interlocutor throughout; FCM, The Concept of Time (1924), Being and Time, and What is Metaphysics? all cited (FE)."
bor-sec-14,cites,"Kant, Immanuel (interlocutor)",p.309-310,"Time as a priori form of inner sense, read alongside Heidegger's phenomenological time (FAITHFUL-Zabalo, p.309-310)."
bor-sec-14,cites,Augustine (interlocutor),p.309-310,"Confessions Book XI quoted via Heidegger's Concept of Time on disposition/measuring time (FAITHFUL-Zabalo, p.310)."
bor-sec-14,cites,"Nietzsche, Friedrich (interlocutor)",p.313-315,"Beyond Good and Evil boredom quip plus Nietzsche credited by Heidegger as closing the epoch of metaphysics (Heidegger, Nietzsche vols. 3-4, p.7) (FAITHFUL-Zabalo, p.313-314)."
bor-sec-14,cites,"Adorno, Theodor W. (interlocutor)","p.313, 318-319","Frankfurt-School counterpoint to Heidegger; Philosophy of the New Music, Aesthetic Theory, and Minima Moralia cited on culture-industry pseudo-satisfaction (FAITHFUL-Zabalo, p.318-319)."
bor-sec-14,cites,"Bloch, Ernst (interlocutor)",p.316-318,"The Principle of Hope cited on neoliberal management of leisure time ('invigoration', the 'dull and desperate stroll') (FAITHFUL-Zabalo, p.316-318)."
bor-sec-14,cites,"Debord, Guy (interlocutor)",p.320,"The Society of the Spectacle cited on temps-marchandise / spectacular time (FAITHFUL-Zabalo, p.320)."
bor-sec-14,cites,"Lipovetsky, Gilles (interlocutor)",p.320-321,"L'ere du vide cited on postmodern individualism and living 'without purpose or meaning' (FAITHFUL-Zabalo, p.320)."
bor-sec-14,cites,"Sloterdijk, Peter (interlocutor)","p.321, 324","Critique of Cynical Reason, Spheres III, and In the Inner World of Capital cited; source of the 'glasshouse'/'ether of comfort' metaphor (FAITHFUL-Zabalo, p.324)."
bor-sec-14,cites,"Kierkegaard, Soren (interlocutor)","p.312, 321","Anxiety (via the 1929 lecture) and 'immediacy' (the aesthetic stage) both traced to Kierkegaard (FE, p.312, 321)."
bor-sec-14,cites,"Zizek, Slavoj (interlocutor)",p.317,"Cited, with a personal-interview aside, on the imperative to be happy / superego demand for satisfaction (FAITHFUL-Zabalo, p.317)."
bor-sec-14,cites,"Foster Wallace, David (interlocutor)",p.324,"This Is Water cited on adult-routine boredom (traffic, the supermarket clerk) as the essay's closing illustration (FAITHFUL-Zabalo, p.324)."
bor-sec-14,cites,"Bauman, Zygmunt (interlocutor)",p.323,"'Liquid' world/truth invoked in the post-truth discussion (FAITHFUL-Zabalo, p.323)."
bor-sec-14,cites,"Husserl, Edmund (interlocutor)",p.314-315,"Phenomenological method credited as adopted by Heidegger for accessing the ineffable dimension of Being/Dasein (FE, p.314-315)."
bor-sec-14,qualifies,DEBATE-AXIS: Heidegger-Frankfurt-School opposition,p.313,"Zabalo qualifies the standard Heidegger/Adorno antagonism narrative, arguing the 'few coincidences...are not casual, but rather rooted on a common ground' traceable to Nietzsche (FAITHFUL-Zabalo, p.313)."
bor-sec-14,shifts-debate-axis,situational <-> trait framing,p.316-324,"Article's core analytical move: resociologizes Heidegger's ostensibly trait-like fundamental-attunement account of profound boredom into a situational, leisure-economy-produced condition, without abandoning the ontological register (FE)."
bor-sec-14,defines,Roma o morte (boredom-or-fun dilemma),p.321,"Zabalo's own coinage: reframes Garibaldi's motto as a consumerist alternative between (Rome=)fun and (death=)boredom (FAITHFUL-Zabalo, p.321)."
bor-sec-14,extends,fcm-06-third-form,p.316-324,"(P/anticipatory-application) Extends profound boredom's ontological analysis into a socio-economic register (leisure industry, social media, spectacle culture) that FCM itself does not develop."
bor-sec-14,instances-in-text,Zeitvertreib (pastime),"p.311, 316","German pastime-term glossed etymologically and then illustrated sociologically via the vacation/leisure industry (FAITHFUL-Zabalo, p.311, 316)."
bor-sec-14,instances-in-text,temps-marchandise / spectacular time (Debord),p.320,"Zabalo imports Debord's term to characterize commodified leisure time as boredom's evasion-vehicle (FAITHFUL-Zabalo, p.320)."
bor-sec-14,instances-in-text,glasshouse / ether of comfort (Sloterdijk),p.324,"Sloterdijk's metaphor (itself quoting Heidegger) for the privileged atmosphere in which boredom persists as 'a restless guest' (FAITHFUL-Zabalo, p.324)."
bor-sec-14,contests,boredom-as-regulatory-signal (functional account),"p.311, 324","Pastime/entertainment is diagnosed as symptomatic masking of boredom's disclosure rather than an adaptive, corrective regulatory response; no functional-account vocabulary is used (FE, qualified -- this is an absence/counter-reading this unit flags, not an explicit rebuttal of Elpidorou-style accounts, which Zabalo does not cite)."
bor-sec-14,bridges-to-part-iii,Part III VLE technology-mediated engagement/disengagement,"p.317, 323-324","(P/anticipatory-application) OUR link: Zabalo's screen-mediated pastime-as-boredom-evasion account (smartphones, social media) offers a sociological vocabulary for reading Part III's VLE engagement/disengagement data as partly structurally produced rather than purely dispositional; not a claim Zabalo makes about students, VR, or education -- scale mismatch (societal vs. classroom) must be flagged whenever reused."
