unit,source,relation,target,locus,note
dfd-00-introduction,Wendt,defines,embodied philosophy,p.6 / pdf 8,design = enacting theory through the body; the book's overarching theme
dfd-00-introduction,Wendt,cites,Allan Chochinov,p.6 / pdf 8,source of "doing philosophy with your hands" framing
dfd-00-introduction,Chochinov,glosses,design,p.6 / pdf 8,characterizes design as doing philosophy with the hands (introducing Tonkinwise)
dfd-00-introduction,Wendt,cites,Cameron Tonkinwise,p.6 / pdf 8,philosopher-turned-designer; emblem of the philosophy/design crossover
dfd-00-introduction,Wendt,cites,Tim Berners-Lee,p.8 / pdf 10,coined "philosophical engineers" in a 2006 interview
dfd-00-introduction,Berners-Lee,defines,philosophical engineer,p.8 / pdf 10,new breed of Web architects facing philosophical questions about the user
dfd-00-introduction,Wendt,cites,Halpin Clark and Wheeler,p.8 / pdf 10,link the philosophical-engineer role to a new Web iteration needing user body/mind understanding
dfd-00-introduction,Wendt,contests,ship-or-die launch culture,p.9 / pdf 11,critiques the fetishized launch; products polished but not architected
dfd-00-introduction,Wendt,qualifies,ship-or-die launch culture,p.9 / pdf 11,design need not be long/drawn-out but should not be an afterthought
dfd-00-introduction,Wendt,concedes,Lean Startup,p.9 / pdf 11,credits Lean Startup/Lean UX for emphasizing customer insight
dfd-00-introduction,Wendt,contests,Lean Startup,p.9 / pdf 11,argues they are easily bastardized into biased, shallow methods
dfd-00-introduction,Wendt,defines,problem-solution paradox,p.9 / pdf 11,problems and solutions co-evolve and must be understood together
dfd-00-introduction,problem-solution paradox,contests,linear problem-to-solution model,p.10 / pdf 12,linear movement creates a false assumption about where to start
dfd-00-introduction,Wendt,cites,Edmund Husserl,p.10 / pdf 12,phenomenology of individual experience with the world
dfd-00-introduction,Husserl,mediates,Martin Heidegger,p.10 / pdf 12,Heidegger was Husserl's student before breaking from his tutelage
dfd-00-introduction,Martin Heidegger,extends,phenomenology,p.10 / pdf 12,expands phenomenology into the study of being
dfd-00-introduction,Maurice Merleau-Ponty,extends,phenomenology,p.10 / pdf 12,rethinks phenomenology from the perspective of embodiment
dfd-00-introduction,Don Ihde,extends,post-phenomenology,p.10 / pdf 12,technology + body focus; objects as source of insight
dfd-00-introduction,Peter-Paul Verbeek,extends,post-phenomenology,p.10 / pdf 12,post-phenomenological human-technology-world relations
dfd-00-introduction,Wendt,extends,phenomenological design thinking,p.10 / pdf 12,proposes design-centric phenomenology as the next evolution
dfd-00-introduction,phenomenological design thinking,applies-to-design,post-phenomenology,p.11 / pdf 13,gives post-phenomenology a more purposeful tone (why AND how to design)
dfd-00-introduction,Wendt,cites,Nigel Cross,p.11 / pdf 13,adopts the three facets of design research
dfd-00-introduction,Nigel Cross,defines,design epistemology,p.11 / pdf 13,study of designerly ways of knowing
dfd-00-introduction,Nigel Cross,defines,design praxiology,p.11 / pdf 13,study of the practices and processes of design
dfd-00-introduction,Nigel Cross,defines,design phenomenology,p.11 / pdf 13,study of the form and configuration of artefacts
dfd-00-introduction,Wendt,contests,design phenomenology,p.11 / pdf 13,argues Cross's definition is too narrow and encompasses the other two facets
dfd-00-introduction,artifacts,discloses,understanding of the world,p.11 / pdf 13,artifacts embody our understanding, so always carry a design epistemology
dfd-00-introduction,Wendt,cites,Carl Mitcham,p.12 / pdf 14,design as a uniquely modern practice; no Greek/Hebrew word for design
dfd-00-introduction,Mitcham,defines,design vs craft,p.12 / pdf 14,craft = no maker/user separation; design = purposeful enacting of an intentional plan
dfd-00-introduction,design,contests,craft,p.12 / pdf 14,design constrained by industry/market/feasibility vs craft's open process
dfd-00-introduction,Mitcham,glosses,designer-user rift,p.13 / pdf 15,the rift lets Wendt reframe experience as emergent
dfd-00-introduction,Wendt,defines,experience design,p.11 / pdf 13,blanket term for collective activities of multiple design practices
dfd-00-introduction,experience design,designs-for,potential of experience,p.13 / pdf 15,cannot dictate experience; design for the potential of qualitative outcomes
dfd-00-introduction,interaction designer,designs-for,structured meaning,p.13 / pdf 15,asserts control via information architecture, affordances, clear instruction
dfd-00-introduction,experience,co-evolves-with,multiple design practices,p.13 / pdf 15,experience is the emergent effect of many interacting design practices and the user
dfd-00-introduction,Wendt,qualifies,phenomenological terminology,p.14 / pdf 16,stay consistent with popular Heidegger translations; explain when needed
dfd-00-introduction,Martin Heidegger,glosses,terminology problem,p.14 / pdf 16,German-rooted complexity makes English translations footnote-heavy
dfd-00-introduction,Wendt,contests,case-study reliance,p.14 / pdf 16,favors strong frameworks over decontextualized single instances; omits case studies
dfd-01-phenomenology-experience-design,Wendt,glosses,Dasein,(p.16 / pdf 18),"Da (here/there) + Sein (being) = situated embodied being-in-the-world; the embodied state itself, not an abstract form"
dfd-01-phenomenology-experience-design,Heidegger,contests,Husserl,(p.15 / pdf 17),"Heidegger turns from Husserl's theoretical phenomenology and the subject-object split toward the everyday"
dfd-01-phenomenology-experience-design,Heidegger,contests,Descartes,(p.22 / pdf 24),"'one of his most important contributions' is the attack on Cartesian dualism; knowledge comes from interaction not a divorced mind"
dfd-01-phenomenology-experience-design,Wendt,defines,being-in-the-world ('in' as involvement),(p.16 / pdf 18),"'in' is not Aristotelian containment but engaged absorbed involvement; human and world are one entity"
dfd-01-phenomenology-experience-design,being-in-the-world ('in' as involvement),applies-to-design,context-as-involvement,(p.17 / pdf 19),"design user context as involvement in a situation rather than physical location (airport example)"
dfd-01-phenomenology-experience-design,Dasein,discloses,world,(p.17 / pdf 19),"the world reveals itself only when Dasein manipulates it; through interaction we come to know ourselves and surroundings"
dfd-01-phenomenology-experience-design,Dasein,designs-for,future goals,(p.18 / pdf 20),"Dasein is always ahead of itself; users act to accomplish 'something less tangible' -> design for future goals"
dfd-01-phenomenology-experience-design,thrownness / un-throwing,mediates,coping,(p.18 / pdf 20),"Dasein is thrown into a non-ideal world and copes by altering it from non-preferable to preferable; incorporation necessitates design"
