source,relation,target,locus,note
bor-sec-08,bridges-to-fcm,fcm-04-first-form,"FCM §§19-23 book pp.78-105 (cf. Hughes p.4)","Train-station example cited as the first situative level, boredom directed toward a determinate object/situation that has lost its meaning (FAITHFUL-Hughes, p.4)."
bor-sec-08,bridges-to-fcm,fcm-05-second-form,"FCM §§24-28 book pp.106-131 (cf. Hughes p.4)","Dinner-party example cited as the second situative level, more diffuse and pervasive than the first (FAITHFUL-Hughes, p.4)."
bor-sec-08,bridges-to-fcm,fcm-06-third-form,"FCM §§29-38 book pp.132-159 (cf. Hughes p.4-5, 9-10)","World-as-whole 'refuses itself' cited as the existential level; the pole pandemic boredom is tested against and concluded not to reach (FAITHFUL-Hughes, p.4-5, 9-10)."
bor-sec-08,bridges-to-fcm,fcm-07-particular-profound,"FCM §§37-38 book pp.160-168 (cf. Hughes p.6, extrapolated)","(P/anticipatory-application) Hughes's own citation of the 'silent fog in the abysses of Dasein' passage sits at the fcm-03/fcm-04 boundary (book p.77), but her fuller theme -- whether contemporary Dasein specifically has become boring to itself -- belongs to fcm-07's territory; this bridge is this unit's own mapping, not Hughes's explicit citation."
bor-sec-08,treats-construct,profound/deep boredom (FCM 3rd form),p.9-10,"Existential pole tested against the pandemic survey data; concluded pandemic boredom does not involve the confrontation with absolute meaninglessness this form requires (FAITHFUL-Hughes, p.9-10)."
bor-sec-08,treats-construct,being-bored-by (1st form),p.4,"Train-station example; first situative level (FAITHFUL-Hughes, p.4)."
bor-sec-08,treats-construct,being-bored-with (2nd form),p.4,"Dinner-party example; second, more diffuse situative level (FAITHFUL-Hughes, p.4)."
bor-sec-08,treats-construct,situational vs. trait/state boredom,"p.2 n.6, p.12","Bracketed early as the psychology literature's own frame; returns at the close as what Heidegger's account is 'forced back onto' once destabilized (FAITHFUL-Hughes, p.12)."
bor-sec-08,treats-construct,boredom proneness,p.2 n.6,"Noted only as a marker of the wider psychological pandemic-boredom literature (adherence to social distancing); not adopted as Hughes's own analytic category (FAITHFUL-Hughes, p.2 n.6)."
bor-sec-08,treats-construct,monotony / meaninglessness,p.6-9,"The paper's two central, ontologically intertwined constructs, read empirically off survey Q57 responses (FAITHFUL-Hughes, p.6-9)."
bor-sec-08,treats-construct,temporality of boredom (time-drag),"p.4-5, 9","Three-form escalation (drag / static now / atemporal expanse), re-grounded via Wittmann's quarantine paradox (FAITHFUL-Hughes, p.4-5, 9)."
bor-sec-08,treats-construct,boredom-as-regulatory-signal (functional account),p.6 n.9,"Distanced from via critique of Elpidorou's normative/moral/psychological drift away from Heidegger's ontological framing (FAITHFUL-Hughes, p.6 n.9)."
bor-sec-08,operationalizes-measure,self-report / survey scale,p.7-9,"Froese et al.'s ~2,543-respondent open-ended qualitative survey used as empirical ground; free-text self-report, not a validated psychometric instrument (FAITHFUL-Hughes, p.7-9)."
bor-sec-08,construct-measured-by,self-report / survey scale,p.8-9,"Monotony/meaninglessness themes are extracted from open-ended responses to Question 57 ('Have you noticed changes in your experience of time?') and free descriptions of boredom (FAITHFUL-Hughes, p.8-9)."
bor-sec-08,defines,pandemic boredom (TERM),p.2 n.5,"Stipulates the working term 'pandemic boredom' to refer to boredom occurring as a result of, or during, the Covid-19 pandemic (FAITHFUL-Hughes, p.2 n.5)."
bor-sec-08,instances-in-text,monotony / meaninglessness,p.8,"Respondent quote glossed: 'like a prison sentence,' no life goals, life very boring and slow (EN_UK_1231) instantiates the loss-of-meaning theme (FAITHFUL-survey-respondent via Hughes, p.8)."
bor-sec-08,instances-in-text,temporality of boredom (time-drag),p.8-9,"Respondent quote glossed: the year 'standing still' while months pass quickly, days stretched yet weeks contracted (EN_00_1434) instantiates the fast/slow monotony paradox (FAITHFUL-survey-respondent via Hughes, p.8-9)."
bor-sec-08,instances-in-text,heterogeneous factical situation (THEME),p.11-12,"Bifurcated relationship-quality quotes under materially similar social-distancing conditions: renewed appreciation ('we seem to be getting along better,' EN_UK_0046) vs. increased tension ('more arguments and destructive remarks,' EN_UK_1074) (FAITHFUL-survey-respondent via Hughes, p.11-12)."
bor-sec-08,cites,"Froese, Tom et al. (AUTHOR)",p.7-8,"Grounds the phenomenological analysis in the 'Experiences of Social Distancing During the Covid-19 Pandemic' survey (~2,543 respondents, Japan/Mexico/UK, June-July 2020) (FAITHFUL-Hughes, p.7-8)."
bor-sec-08,cites,"Svendsen, Lars (INTERLOCUTOR)",p.4-5,"Adopts Svendsen's situative/existential terminology to organize FCM's three-form typology (FAITHFUL-Hughes, p.4-5)."
bor-sec-08,cites,"Wittmann, Marc (INTERLOCUTOR)",p.9,"Adopts Wittmann's 'quarantine paradox' as a cognitive-science complement to the phenomenological monotony account (FAITHFUL-Hughes, p.9)."
bor-sec-08,cites,"Poppel, Ernst (INTERLOCUTOR)",p.9,"Source of the underlying prospective/retrospective time paradox that Wittmann's quarantine paradox adapts (FAITHFUL-Hughes, p.9)."
bor-sec-08,cites,"Heidegger, Martin -- Contributions to Philosophy (Of the Event) (AUTHOR)","p.7, 9-10","Later, more pessimistic self-revision used to read pandemic boredom as technologized indifference rather than revelation (FAITHFUL-Hughes, p.7, 9-10)."
bor-sec-08,cites-cluster-author,"bor-sec-25 (Elpidorou - The Bored Mind is a Guiding Mind, 2018)",p.6 n.9,"Cluster-internal link: Hughes's footnote critique of Elpidorou's normative/moral/psychological drift targets exactly the regulatory-theory move bor-sec-25 develops at length (FAITHFUL-Hughes, p.6 n.9)."
bor-sec-08,contests-reading-of,"Elpidorou's normative/moral/psychological reading of boredom (READING/CLAIM)",p.6 n.9,"Judges Elpidorou & Freeman's move toward normative, moral and psychological theorizing a departure from Heidegger's own strictly ontological framing, not a development of it (FAITHFUL-Hughes, p.6 n.9)."
bor-sec-08,qualifies,situative vs. existential boredom (FCM ontological distinction),p.10-11,"Argues the pandemic destabilizes the presupposed intact 'everyday world' backdrop the distinction depends on, weakening the assumption that situative boredom cannot be philosophically revelatory (FAITHFUL-Hughes, p.10-11)."
bor-sec-08,contests,Heidegger's individualist conception of boredom (THEME),p.11 n.13,"Flags that Heidegger's account has no room for a COLLECTIVE turning-away from the world, since being-withdrawn presupposes others remain absorbed -- a limitation exposed by the pandemic's simultaneous, society-wide disruption (FAITHFUL-Hughes, p.11 n.13)."
bor-sec-08,contests,relative significance of heterogeneous boredom experiences (READING/CLAIM),p.11-12,"Argues Heidegger's train-station/dinner-party examples cannot discriminate the differential political, social and economic significance of different people's pandemic boredom, forcing a fallback onto psychological state/trait-style categories (FAITHFUL-Hughes, p.11-12)."
bor-sec-08,shifts-debate-axis,monotony/environment-caused <-> meaning/agent-caused,p.9-12,"(P/anticipatory-application synthesis) Argues pandemic boredom is primarily environment/situation-caused (absence of world-sustaining intersubjective projects) yet its residual significance is agent/situation-relative given heterogeneous factical circumstances -- a hybrid position on this axis rather than an endorsement of either pole."
bor-sec-08,bridges-to-part-iii,Part III dissertation (unstable-world-backdrop caution),p.10-11,"(P/anticipatory-application) Hughes's point that the situative/existential distinction presupposes a stable, intact everyday-world backdrop -- and loses force when that backdrop is itself disrupted -- should be applied to any VLE/deployment environment that is itself altered (remote instruction, novel delivery format, desktop-3D vs. video-only poles) rather than assumed stable."
bor-sec-08,bridges-to-part-iii,Part III dissertation (VLE proximity-voice/groups correction precedent),p.11-12,"(P/anticipatory-application) Hughes's insistence that boredom's significance is indexed to each respondent's differential concrete situation, not a uniform mechanism, parallels and reinforces the prior correction that a 'we'-unmet-want survey gap reflects student-side activation differences within a materially shared design, not a design/grouping failure; her bifurcated relationship-quality findings under identical distancing measures are a clean parallel case."
bor-sec-08,bridges-to-part-iii,Part III dissertation (ready-made debate-axis position),p.9-12,"(P/anticipatory-application) Hughes's explicit hybrid position on the monotony/environment-caused vs. meaning/agent-caused axis offers Part III an already-argued position to cite rather than construct from scratch; should be cited as a hybrid, not assimilated to either pole."
bor-sec-08,bridges-to-part-iii,"****** UNVERIFIED: Boredom Experiment (VR Attention Study) dataset entry (not yet built)",n/a,"(P/anticipatory-application) No grounds-measure bridge is asserted; if that dataset's protocol includes an open-ended self-report component analogous to Froese et al.'s survey, a construct-measured-by/grounds-measure edge from monotony/meaninglessness may become appropriate once the entry exists. Flagged, not blocking, per cluster instructions."
