source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-03-FREDE:R1,advances-thesis,PHX-03-FREDE:C1,phantasia/faculty-status,5,DA 432a31; book p. 286,Frede,Signature thesis: phantasia is NOT a separate faculty but supervenes on sense-perception
PHX-03-FREDE:R1,grounds-in,ARISTOTLE:DA:432a31,phantasia/faculty-status,2,DA 432a31,Frede,Aristotle's own uncertainty whether phantastikon is separate faculty or only different in being (toi men einai panton heteron)
PHX-03-FREDE:R1,grounds-in,ARISTOTLE:SomnVig:459a16,phantasia/faculty-status,2,Somn. Vig. 459a16 / 458b30 / 462a8,Frede,phantastikon same faculty as aisthesis only activity differs
PHX-03-FREDE:R2,advances-thesis,PHX-03-FREDE:C3,phantasia/synthesis,3-5,book pp. 282-286,Frede,Phantasia performs the synthesis-of-manifold role that piecemeal perception cannot
PHX-03-FREDE:R2,advances-thesis,PHX-03-FREDE:C4,phantasia/bridging,6-8,book pp. 287-292,Frede,Phantasia bridges thought to sensible objects in both practical and theoretical reasoning
PHX-03-FREDE:R2,grounds-in,ARISTOTLE:DA:431b2,phantasia/theoretical-reasoning,7-8,DA 431b2,Frede,Nous thinks the forms in the images — the load-bearing premise for theoretical bridging
PHX-03-FREDE:R2,grounds-in,ARISTOTLE:DA:432a8-9,phantasia/theoretical-reasoning,8,DA 432a8-9,Frede,hotan te theorei ananke hama phantasma ti theorein — cannot contemplate without an image
PHX-03-FREDE:R2,grounds-in,ARISTOTLE:DA:431a14-17,phantasia/practical-reasoning,7,DA 431a14-17,Frede,Phantasmata serve as perceptions to the rational soul; envisaging future goods/evils
PHX-03-FREDE:R3,contests-reading-of,MODRAK:1987a,phantasia/consciousness,9,book pp. 293-294 (fns 44 48),Frede,Frede defends Aristotelian dualism against Modrak's unified-consciousness reading
PHX-03-FREDE:R3,grounds-in,ARISTOTLE:Mem:450a12-14,phantasia/memory,9,Mem. 450a12-14,Frede,No intellectual memory in Aristotle: knowledge is remembered only accidentally
PHX-03-FREDE:R3,grounds-in,ARISTOTLE:Insomn:459a8,phantasia/dreams,9,Insomn. 459a8,Frede,Dreams attributed exclusively to aisthetikon qua phantastikon
PHX-03-FREDE:R3,grounds-in,ARISTOTLE:DA:408b18-29,phantasia/active-mind,9,DA 408b18-29; Metaph. 983a6-7,Frede,Aristotle preserves dualism to protect link with divine pure active mind
