source,relation,target,domain,provenance,book_page
identification,defines,intermediate-rhetorical-area,rhetoric,burke-direct,xiii
identification,extends,persuasion-range,rhetoric,burke-direct,xiv
identification,qualifies,persuasion-range,rhetoric,burke-direct,xiv
transformation-imaging,defines,suicidal-motive,rhetoric,burke-direct,10
transformation-imaging,defines,motivational-recipe,rhetoric,burke-direct,10-12
dramatic-terms-essence,defines,temporizing-of-essence,grammar,burke-direct,13-14
dramatic-terms-essence,extends,entelechy,philosophy,burke-direct,14
philosophic-terms-essence,qualifies,dramatic-terms-essence,philosophy,burke-direct,13-14
entelechy,bridges-to-pipeline,Grammar-of-Motives-GM-06,grammar,burke-direct,14
scene-agent-ratio,bridges-to-pipeline,Grammar-of-Motives-GM-01,grammar,burke-direct,16
temporizing-of-essence,bridges-to-pipeline,Grammar-of-Motives-GM-09,grammar,burke-direct,14
transformation-imaging,extends,terministic-screen-implicit,rhetoric,burke-direct,10-12
identification,qualifies,suicidal-motive,rhetoric,burke-direct,3-6
motivational-recipe,contests,suicidal-motive,rhetoric,burke-direct,5-6
dramatic-subterfuge,qualifies,suicidal-motive,rhetoric,burke-direct,5-6
face-value-imagery,contests,suicidal-motive,rhetoric,burke-direct,17-18
inter-work-identification,extends,identification,rhetoric,burke-direct,8-9
identification,cites,Milton-Samson-Agonistes,literature,burke-direct,3-6
identification,cites,Arnold-Empedocles-on-Etna,literature,burke-direct,7-8
identification,cites,Arnold-Sohrab-and-Rustum,literature,burke-direct,8-9
identification,cites,Coleridge-Religious-Musings,literature,burke-direct,10
literature-for-use,extends,identification,rhetoric,burke-direct,5
literature-for-use,extends,persuasion-range,rhetoric,burke-direct,5
dramatic-terms-essence,cites,Adams-Education-of-Henry-Adams,literature,burke-direct,12
dramatic-terms-essence,cites,Aristotle-entelechy,philosophy,burke-direct,14
scene-agent-ratio,defines,personality-types-tragic,rhetoric,burke-direct,15-17
consubstantiality-implicit,extends,identification,rhetoric,burke-direct,5
consubstantiality-implicit,bridges-to-pipeline,RM-01-consubstantiality,rhetoric,burke-direct,xi
transformation-imaging,maps-to-pim-dimension,Narrative-PIM,game-behavior,anticipatory-projection,10-12
transformation-imaging,maps-to-pentad-term,Act,game-behavior,anticipatory-projection,10-12
transformation-imaging,maps-to-pentad-term,Agent,game-behavior,anticipatory-projection,10-12
dramatic-terms-essence,maps-to-pim-dimension,Narrative-PIM,game-behavior,anticipatory-projection,13-15
dramatic-terms-essence,maps-to-pim-dimension,Affective-PIM,game-behavior,anticipatory-projection,13-15
dramatic-terms-essence,maps-to-pentad-term,Act,game-behavior,anticipatory-projection,13-15
scene-agent-ratio,maps-to-pim-dimension,Spatial-PIM,game-behavior,anticipatory-projection,15-17
scene-agent-ratio,maps-to-pentad-term,Scene,game-behavior,anticipatory-projection,15-17
face-value-imagery,maps-to-pim-dimension,Affective-PIM,game-behavior,anticipatory-projection,17-18
