source,relation,edge_domain,target,note,contributors,unit_pages
CONCEPT:Rhetorical Ontology,is_meaning_of,ontological,CONCEPT:Fundamental Ontology,"Gross's titular thesis: 'Heidegger thus relocates rhetoric at the heart of his fundamental ontology' (p.4). Rhetorical ontology IS fundamental ontology read through its discursive-existential medium",HR-01-GROSS-A,p.4
CONCEPT:Pathos,presupposes,ontological,CONCEPT:Logos,"Gross P10 + Gadamer P3 + Kisiel P7: pathos is 'the very substance in which propositional thought finds its objects and motivation' (Gross Intro p.4) — logos presupposes (is grounded in) pathos. Per GA 18 117, 169, 262 across contributors",HR-01-GROSS-A;HR-01-GROSS-B;HR-02-GADAMER;HR-04-HYDE;HR-06-KISIEL,p.2;p.4;p.9;p.27;p.30;p.37;p.38;p.57;p.89;p.95;p.144-148
CONCEPT:Pathos,explains,ontological,CONCEPT:Logos,"Stronger formulation: pathē are the ground that explains logos's possibility (GA 18 262: 'the pathē are the ground upon which language grows and to which expressions return')",HR-01-GROSS-B,p.27;p.30;p.37;p.38
CONCEPT:Pathos,is_meaning_of,existential,CONCEPT:Befindlichkeit,"GA 18 122: 'these pathē are not psychological states; they are a Befindlichkeit of the living one in his world'. Multiple contributors equate pathos = Befindlichkeit at SS 1924 register",HR-01-GROSS-A;HR-01-GROSS-B;HR-02-GADAMER;HR-03-MICHALSKI;HR-04-HYDE;HR-05-STRUEVER;HR-07-POGGELER,p.27;p.57;p.75;p.83-84;p.109;p.169
CONCEPT:Befindlichkeit (BT),refines,ontological,CONCEPT:Pathos (GA 18),"BT's Befindlichkeit *narrows* GA 18 pathos by stripping the political-rhetorical content. BT 344 (resolute Mitsein) + BT 434 (rarefied domain of resolute Freeman) document the substantive narrowing",HR-01-GROSS-B,p.27;p.40
CONCEPT:Pathos,exemplifies,rhetorical,CONCEPT:Restricted Conception of Rhetoric,"Pöggeler's diagnosis: Heidegger's gloss pathos = Befindlichkeit is the moment of conceptual restriction — rhetorical pathos the orator deliberately deploys is dissolved into existential attunement",HR-07-POGGELER,p.169
CONCEPT:Mitsein,is_meaning_of,ontological,CONCEPT:Koinōnia,"Gross at p.11: 'it is in Aristotle's Rhetoric that Being-with, koinōnia, is given its definitive form.' Mitsein and koinōnia are equivalent renderings of the same rhetorical-political concept",HR-01-GROSS-A,p.2;p.11
CONCEPT:Being-moved,is_meaning_of,ontological,CONCEPT:Kinēsis,"Gross's titular concept: Sein-in-Bewegung renders Aristotle's kinēsis. GA 18 288: 'Die kinesis ist eine Weise des Seins des Daseienden selbst'",HR-01-GROSS-A,p.13;p.20-22
CONCEPT:Kinēsis,depends_on,ontological,CONCEPT:Pathesis-Poietikos,"Aristotle Physics 202b23: Kinesis defined by interanimation of pathetikos (passive-undergoing) and poietikos (active-making)",HR-01-GROSS-A,p.20-21
CONCEPT:Middle Voice,operationalizes,rhetorical,CONCEPT:Being-moved,"Gross P6: Heidegger's German morphological play (variations on bewegen, es gibt, die Sprache spricht) operationalizes Being-moved in German lacking the Greek middle voice",HR-01-GROSS-A,p.17-18;p.21
