source,relation,target,locus,provenance,note
§64,defines,the 'as' / something as something,(p.274 / GA pp.397 / pdf 149),faithful,"'Beings as such, something as something' belongs to world and is fundamentally closed to the animal."
§64,defines,Verhalten / comportment,(p.274 / GA pp.397 / pdf 149),faithful,"Comportment = the relation governed by letting-be (hence not-letting-be), vs the captivated behaviour of the animal; grounds stance and selfhood."
the 'as' / something as something,discloses,manifestness of beings as such as a whole,(p.274 / GA pp.397 / pdf 149),faithful,"Only where beings are manifest as beings is there the 'as'; the 'as' is the structural moment of manifestness."
§65,instances-in-text,manifestness of beings as such as a whole,(p.275 / GA pp.398 / pdf 150),faithful,"Everyday undifferentiated manifestness ('tram, people, dog, stars all in the same way') is the levelled-out mode in which beings are manifest; the slumbering of Dasein's fundamental relationships."
profound boredom,deepens-into,manifestness of beings as such as a whole,(p.281 / GA pp.408 / pdf 152),faithful,"§67: the world-question is developed in the direction disclosed by the interpretation of profound boredom; attunement makes beings as a whole manifest and Dasein manifest to itself."
§68,defines,manifestness of beings as such as a whole,(p.282 / GA pp.410 / pdf 153),faithful,"World is NOT totality/accessibility/underlying-manifestness but the manifestness of beings as such as a whole; world-formation in a threefold sense."
manifestness of beings as such as a whole,grounds-question,Was ist Welt?,(p.280 / GA pp.405 / pdf 152),faithful,"Accessibility is grounded in possible manifestness; whether man is world-forming becomes the decisive question."
the 'as' / something as something,bridges-to-pipeline,logos apophantikos,(p.287 / GA pp.415 / pdf 155),faithful,"§69: the 'as' is first a relation belonging to the propositional statement, so the world-problem is led back to logic — to be undone by returning to the originary 'as'."
formal indication / formale Anzeige,qualifies,manifestness of beings as such as a whole,(p.297 / GA pp.430 / pdf 160),faithful,"§70: all philosophical concepts are formally indicative; 'world' must not be taken as present-at-hand or in isolation but as a pointer to a transformation into Dasein."
Augenblick / moment of vision,instances-in-text,formal indication / formale Anzeige,(p.295 / GA pp.427 / pdf 159),faithful,"§70 death-example: resolute disclosedness 'possesses me' and is only ever the moment of vision — misread as a present-at-hand state by ordinary understanding."
Aristotle,defines,logos apophantikos,(p.310 / GA pp.448 / pdf 167),faithful,"De Interpretatione: only the logos apophantikos can be true or false (aletheuein/pseudesthai 'lies in it as underlying it'); requesting (euche) is non-apophantic, belonging to rhetoric/poetics."
Aristotle,glosses-greek,symbolon / kata syntheken,(p.309 / GA pp.447 / pdf 166),faithful,"semainein = giving-to-be-understood; language is kata syntheken, grounded in the genesis of a symbolon (hinge/ring-halves) — read by Heidegger as transcendence: 'there is language only in a being that transcends'."
synthesis / diairesis,grounds-question,the 'as' / something as something,(p.317 / GA pp.458 / pdf 170),faithful,"De Anima III.6: synthesis noematon (unity-forming apprehension, nous) grounds revealing/concealing and is intrinsically diairesis; Heidegger reads it AS the 'as'-structure, which is the condition of the logos, not its property."
the copula / 'is',glosses-greek,synthesis / diairesis,(p.328 / GA pp.475 / pdf 176),faithful,"§72: the 'is' co-signifies (prossemainein) a synthesis and is not a real predicate (so too Kant); its undifferentiated manifold of what-/that-/being-true is the primary essence of the copula."
Kant,extends,the copula / 'is',(p.326 / GA pp.472 / pdf 175),faithful,"Centuries after Aristotle and consistently with him: being is not a real predicate but positing / respectus logicus (1763 essay; Critique of Pure Reason A592ff./B620ff.)."
Hobbes,extends,the copula / 'is',(p.329 / GA pp.477 / pdf 176),faithful,"De corpore: copulatio concentrates subject+predicate on one and the same thing (quid/quidditas), pointing the 'is' back toward the beings the assertion is about."
Lotze / Windelband / Rickert / Lask,contests,the copula / 'is',(p.330 / GA pp.480 / pdf 177),faithful,"Judgement-as-validity (in Rickert, route to value-philosophy) judged one-sided for missing the undifferentiated manifold of the 'is'."
