source,relation,target,locus,note
bor-sec-40,defines,Emotion Present (EP) / Emotion Absent (EA) labeling convention,p.32-33,"Classification labels derived from EVQ ratings: >=3 on the 5-point Likert scale = Emotion Present, <3 = Emotion Absent, following the convention established in Harley et al. (2013) on the same dataset (FAITHFUL-Jaques et al., p.32-33)."
bor-sec-40,treats-construct,attentional disengagement / meta-awareness,p.29/34-35,"Organizing construct in all but name: the abstract's stated payoff is detecting 'when students disengage from MetaTutor,' and the entire Results feature-importance analysis (Section 6.2) characterizes engaged vs. disengaged gaze behavior across seven Areas of Interest (FAITHFUL-Jaques et al., p.29, 34-35)."
bor-sec-40,treats-construct,flow / engagement (contrast pole),p.30,"Used throughout as the antonym of boredom/low-curiosity ('engagement is associated with user satisfaction,' citing Forbes-Riley et al.), but never tied to Csikszentmihalyi or a flow theory (FAITHFUL-Jaques et al., p.30)."
bor-sec-40,treats-construct,situational vs. trait/state boredom,p.32,"Implicitly state-oriented: EVQ items ask about feelings 'right now,' repeated five times across the session; never theorized as a trait/state distinction and no proneness scale appears (FAITHFUL-Jaques et al., p.32)."
bor-sec-40,treats-construct,mind-wandering / task-unrelated thought,p.35,"Never named by the authors; disengaged students' 'frequent, scattered gaze transitions, without remaining focused on a single AOI' is the closest behavioral analogue, offered here only as an analogy, not the authors' own framing (P/anticipatory-application)."
bor-sec-40,treats-construct,temporality of boredom (time-drag),p.33-36,"Not treated in the phenomenological sense (subjective slowing of time never discussed); the paper's own extensive treatment of 'time' is methodological -- window length and self-report timing as predictors of classifier accuracy (FAITHFUL-Jaques et al., p.33-36)."
bor-sec-40,operationalizes-measure,gaze variance / fixation dispersion,p.31-32/34-35,"Tobii T60 eye tracker; EMDAT-derived 166 features (application-independent + 7-AOI); N=51 of 67 recruited; central predictive findings on TOC/Image/OLG/Agent gaze patterns distinguishing engaged from disengaged students (FAITHFUL-Jaques et al., p.31-32, 34-35, Fig.3)."
bor-sec-40,operationalizes-measure,"pupil dilation / pupillometry [apparatus-capable, explicitly excluded]",p.32,"Tobii T60 is pupil-size-capable, but pupil dilation was explicitly excluded from analysis because testing occurred in a room with a window, a luminance confound the authors flag via footnote (FAITHFUL-Jaques et al., p.32, footnote 2)."
bor-sec-40,operationalizes-measure,self-report / survey scale,p.32,"19-item Emotions-Value Questionnaire (EVQ), modified Pekrun Academic Emotions Questionnaire subscale, 5-point Likert, 5 administrations/student; boredom M=2.60/SD=0.69, curiosity M=2.93/SD=0.71 (stats cited to Harley et al. 2013 companion study) (FAITHFUL-Jaques et al., p.32)."
bor-sec-40,operationalizes-measure,ML classification,p.32-34/36,"Weka Random Forest/Naive Bayes/Logistic Regression/SVM; 10-fold CV; PCA vs. Wrapper Feature Selection (WFS preferred); best results 68.83%/kappa=.330 (boredom, report 1), 73.17%/kappa=.416 (curiosity, report 3) (FAITHFUL-Jaques et al., p.32-34, 36)."
bor-sec-40,operationalizes-measure,"behavioral (RT / errors / performance-monitoring) [not treated]",not treated,"No task-performance, response-time, or interaction-log features were used despite MetaTutor's own interaction-logging capability, unlike Sabourin et al.'s multimodal approach which does combine interaction logs with physiological sensors (FAITHFUL-Jaques et al., p.30, absence noted)."
bor-sec-40,cites,"Pekrun, Reinhard (2002, 2011)",p.29-30/32,"Academic Emotions Questionnaire and curiosity-as-academic-emotion theory; the EVQ used in this study is a modified subscale of Pekrun's own instrument (FAITHFUL-Jaques et al., p.29-30, 32)."
bor-sec-40,cites,"Forbes-Riley, Kate, Diane Litman, Heather Friedberg, and Joel Drummond (2012)",p.30,"Predicted disengagement from acoustic/dialog features; source of the 'engagement is associated with user satisfaction' claim cited in Related Work (FAITHFUL-Jaques et al., p.30)."
bor-sec-40,cites,"Sabourin, Jennifer, Bradford Mott, and James C. Lester (2011, 2012)",p.30/36-37,"Multi-sensor (heart rate, skin conductance, posture, questionnaires, interaction logs) affect detection achieving 75%/85% accuracy for boredom/curiosity; the key multimodal-fusion benchmark this paper's gaze-only results are measured against (FAITHFUL-Jaques et al., p.30, 36-37)."
bor-sec-40,cites,"Wang, Hua, Mark Chignell, and Mitsuru Ishizuka (2006)",p.29-30,"Real-time empathic tutoring agent responding to heuristic gaze/pupil signs of boredom -- the hand-engineered-heuristics precedent this paper's learned-classifier approach is positioned against (FAITHFUL-Jaques et al., p.29-30)."
bor-sec-40,cites,"Muldner, Kasia, Rachel Christopherson, Robert Atkinson, and Winslow Burleson (2009)",p.29,"Investigated pupil dilation and gaze for affect/reasoning in user modeling -- the pupil-dilation-centric precedent this paper's gaze-feature-only approach is positioned against (FAITHFUL-Jaques et al., p.29)."
bor-sec-40,cites,"Smilek, Daniel, Jonathan S. Carriere, and J. Allan Cheyne (2010)",p.30,"Blinking frequency and lack of text fixations as indicators of mind-wandering/boredom, cited as psychological grounding for the gaze-boredom link (FAITHFUL-Jaques et al., p.30)."
bor-sec-40,cites,"Harley, Jason M., Fanny Bouchet, and Roger Azevedo (2013)",p.30-31/32,"Companion study on the same MetaTutor dataset correlating self-reported emotions with FaceReader software output (75.6% agreement); source of the EP/EA labeling convention and the boredom/curiosity descriptive statistics used in this paper (FAITHFUL-Jaques et al., p.30-31, 32)."
bor-sec-40,cites,"Bondareva, Daria, Cristina Conati, Reza Feyzi-Behnagh, Jason M. Harley, Roger Azevedo, and Francois Bouchet (2013)",p.31-32/35,"EMDAT tool, seven-AOI schema, and gaze/learning-gains study on the same MetaTutor dataset; source of the data-validation procedure used to reach N=51; found the Agent AOI was not predictive of learning gains, a contrast point for this paper's Agent-fixation finding (FAITHFUL-Jaques et al., p.31-32, 35)."
bor-sec-40,cites,"Gutica, Mirela, and Cristina Conati (2013)",p.35,"Student emotions in an edu-game; source of the ~20-second affect-labeling-window convention this paper's window-length finding contradicts (FAITHFUL-Jaques et al., p.35)."
bor-sec-40,qualifies,~20-second affect-labeling window convention (Gutica and Conati 2013),p.34-35,"Empirically challenges the field's common short-window practice: longer windows (up to the full 14-minute inter-report interval) significantly outperform short ones for both boredom and curiosity prediction (FAITHFUL-Jaques et al., p.34-35)."
bor-sec-40,concedes,boredom/curiosity mutual-exclusivity assumption,p.32-33,"The authors' own data does not support treating boredom and curiosity as mutually exclusive: despite a significant negative correlation (r=-.333, p<.001), 18% of self-reports rated both present and 13% rated both absent, so the two emotions were modeled as separate binary problems rather than one joint category (FAITHFUL-Jaques et al., p.32-33)."
bor-sec-40,shifts-debate-axis,gaze-only vs. multimodal-physiological-fusion for affect detection,p.36-37,"Positions its own gaze-only classification as a deliberate methodological contribution while explicitly acknowledging that Sabourin et al.'s multimodal fusion achieves higher accuracy (75%/85% vs. this paper's ~69%/73%), surfacing the single-modality/multimodal trade-off without resolving it (FAITHFUL-Jaques et al., p.36-37)."
bor-sec-40,grounds-measure,Boredom Experiment (VR Attention Study) -- eye-tracking/gaze channel,n/a,"****** UNVERIFIED: Jaques et al.'s Tobii T60 apparatus, EMDAT/seven-AOI feature schema (166 features), and WFS-plus-classifier ML pipeline offer a concrete gaze-only affect-classification template for a future VR attention study's eye-tracking channel, but VR headset-integrated eye tracking would likely differ substantially in geometry (3D gaze vectors, headset-relative AOIs) from this study's fixed, seven-region, 2D screen-based paradigm; linkage requires the dataset entry's own instrumentation to be confirmed (P/anticipatory-application)."
bor-sec-40,bridges-to-part-iii,Part III survey-timing / measurement-window design caution,n/a,"P/anticipatory-application -- the finding that longer gaze windows (up to the full 14-minute inter-report interval) outperform the field's common ~20-second convention, and that per-timepoint classification outperforms pooling all self-reports together, cautions Part III's own survey design: momentary boredom/engagement self-reports may not correspond to short behavioral windows, and their attentional correlates may shift as a session progresses."
bor-sec-40,bridges-to-part-iii,Part III realistic-accuracy-expectation calibration (single-modality vs. multimodal),n/a,"P/anticipatory-application -- this gaze-only approach, benchmarked against Sabourin et al.'s higher-accuracy multimodal fusion, models the same single-modality-vs-multimodal trade-off recurring across this cluster's STEM units (e.g., Kim et al., bor-sec-28), useful for calibrating realistic accuracy expectations for any future gaze-only or self-report-only Part III instrument."
