subject,round,engaged_composite,boredom,engagement,category,definition,n_channels,trim,is_baseline
R2-01,2,-0.71223345085,6,4,concordant-bored,pupil dilation,1,untrimmed,False
R2-02,2,1.14349475432,8,4,divergent,pupil dilation,1,untrimmed,False
R2-03,2,0.419649430608,1,8,concordant-engaged,pupil dilation,1,untrimmed,False
R2-04,2,-0.132290607586,2,3,reverse,pupil dilation,1,untrimmed,False
S01,1,1.12434384393,3,5,concordant-engaged,pupil dilation,1,untrimmed,False
S02,1,0.749475359841,8,3,divergent,pupil dilation,1,untrimmed,False
S03,1,-0.51925277872,3,7,reverse,pupil dilation,1,untrimmed,False
S04,1,0.996748892594,9,1,divergent,pupil dilation,1,untrimmed,False
S05,1,-0.489646169356,6,5,concordant-bored,pupil dilation,1,untrimmed,False
S06,1,0.0747842397512,6,3,divergent,pupil dilation,1,untrimmed,False
S07,1,0.722695259009,6,7,divergent,pupil dilation,1,untrimmed,False
S08,1,0.522430152958,7,3,divergent,pupil dilation,1,untrimmed,False
R2-01,2,-1.02640001312,6,4,concordant-bored,cognitive load,1,untrimmed,False
R2-02,2,-0.638239627609,8,4,concordant-bored,cognitive load,1,untrimmed,False
R2-03,2,-0.928200519494,1,8,reverse,cognitive load,1,untrimmed,False
R2-04,2,-0.522324606855,2,3,reverse,cognitive load,1,untrimmed,False
S01,1,0.849767369799,3,5,concordant-engaged,cognitive load,1,untrimmed,False
S02,1,0.892352814715,8,3,divergent,cognitive load,1,untrimmed,False
S03,1,1.03855203484,3,7,concordant-engaged,cognitive load,1,untrimmed,False
S04,1,0.977771214608,9,1,divergent,cognitive load,1,untrimmed,False
S05,1,-0.753005275271,6,5,concordant-bored,cognitive load,1,untrimmed,False
S06,1,-1.15033227135,6,3,concordant-bored,cognitive load,1,untrimmed,False
S07,1,0.318625879864,6,7,divergent,cognitive load,1,untrimmed,False
S08,1,0.608682094616,7,3,divergent,cognitive load,1,untrimmed,False
R2-01,2,0.880111703998,6,4,divergent,eye closure,1,untrimmed,False
R2-02,2,0.524225763121,8,4,divergent,eye closure,1,untrimmed,False
R2-03,2,0.430737869263,1,8,concordant-engaged,eye closure,1,untrimmed,False
R2-04,2,1.10484921522,2,3,concordant-engaged,eye closure,1,untrimmed,False
S01,1,1.03751294981,3,5,concordant-engaged,eye closure,1,untrimmed,False
S02,1,-0.633419061848,8,3,concordant-bored,eye closure,1,untrimmed,False
S03,1,1.06681456552,3,7,concordant-engaged,eye closure,1,untrimmed,False
S04,1,0.652944094507,9,1,divergent,eye closure,1,untrimmed,False
S05,1,0.594674383685,6,5,divergent,eye closure,1,untrimmed,False
S06,1,0.832050294338,6,3,divergent,eye closure,1,untrimmed,False
S07,1,0.910814014275,6,7,divergent,eye closure,1,untrimmed,False
S08,1,0.56425124249,7,3,divergent,eye closure,1,untrimmed,False
R2-01,2,-0.869316731986,6,4,concordant-bored,pupil dilation + cognitive load,2,untrimmed,False
R2-02,2,0.252627563356,8,4,divergent,pupil dilation + cognitive load,2,untrimmed,False
R2-03,2,-0.254275544443,1,8,reverse,pupil dilation + cognitive load,2,untrimmed,False
R2-04,2,-0.327307607221,2,3,reverse,pupil dilation + cognitive load,2,untrimmed,False
S01,1,0.987055606867,3,5,concordant-engaged,pupil dilation + cognitive load,2,untrimmed,False
S02,1,0.820914087278,8,3,divergent,pupil dilation + cognitive load,2,untrimmed,False
S03,1,0.259649628058,3,7,concordant-engaged,pupil dilation + cognitive load,2,untrimmed,False
S04,1,0.987260053601,9,1,divergent,pupil dilation + cognitive load,2,untrimmed,False
S05,1,-0.621325722314,6,5,concordant-bored,pupil dilation + cognitive load,2,untrimmed,False
S06,1,-0.537774015799,6,3,concordant-bored,pupil dilation + cognitive load,2,untrimmed,False
S07,1,0.520660569436,6,7,divergent,pupil dilation + cognitive load,2,untrimmed,False
S08,1,0.565556123787,7,3,divergent,pupil dilation + cognitive load,2,untrimmed,False
R2-01,2,0.083939126574,6,4,divergent,pupil dilation + eye closure,2,untrimmed,True
R2-02,2,0.833860258721,8,4,divergent,pupil dilation + eye closure,2,untrimmed,True
R2-03,2,0.425193649935,1,8,concordant-engaged,pupil dilation + eye closure,2,untrimmed,True
R2-04,2,0.486279303817,2,3,concordant-engaged,pupil dilation + eye closure,2,untrimmed,True
S01,1,1.08092839687,3,5,concordant-engaged,pupil dilation + eye closure,2,untrimmed,True
S02,1,0.0580281489966,8,3,divergent,pupil dilation + eye closure,2,untrimmed,True
S03,1,0.273780893398,3,7,concordant-engaged,pupil dilation + eye closure,2,untrimmed,True
S04,1,0.824846493551,9,1,divergent,pupil dilation + eye closure,2,untrimmed,True
S05,1,0.0525141071645,6,5,divergent,pupil dilation + eye closure,2,untrimmed,True
S06,1,0.453417267045,6,3,divergent,pupil dilation + eye closure,2,untrimmed,True
S07,1,0.816754636642,6,7,divergent,pupil dilation + eye closure,2,untrimmed,True
S08,1,0.543340697724,7,3,divergent,pupil dilation + eye closure,2,untrimmed,True
R2-01,2,-0.0731441545622,6,4,concordant-bored,cognitive load + eye closure,2,untrimmed,False
R2-02,2,-0.0570069322438,8,4,concordant-bored,cognitive load + eye closure,2,untrimmed,False
R2-03,2,-0.248731325116,1,8,reverse,cognitive load + eye closure,2,untrimmed,False
R2-04,2,0.291262304182,2,3,concordant-engaged,cognitive load + eye closure,2,untrimmed,False
S01,1,0.943640159804,3,5,concordant-engaged,cognitive load + eye closure,2,untrimmed,False
S02,1,0.129466876434,8,3,divergent,cognitive load + eye closure,2,untrimmed,False
S03,1,1.05268330018,3,7,concordant-engaged,cognitive load + eye closure,2,untrimmed,False
S04,1,0.815357654558,9,1,divergent,cognitive load + eye closure,2,untrimmed,False
S05,1,-0.0791654457929,6,5,concordant-bored,cognitive load + eye closure,2,untrimmed,False
S06,1,-0.159140988505,6,3,concordant-bored,cognitive load + eye closure,2,untrimmed,False
S07,1,0.614719947069,6,7,divergent,cognitive load + eye closure,2,untrimmed,False
S08,1,0.586466668553,7,3,divergent,cognitive load + eye closure,2,untrimmed,False
R2-01,2,-0.286173919991,6,4,concordant-bored,pupil dilation + cognitive load + eye closure,3,untrimmed,False
R2-02,2,0.343160296611,8,4,divergent,pupil dilation + cognitive load + eye closure,3,untrimmed,False
R2-03,2,-0.0259377398744,1,8,reverse,pupil dilation + cognitive load + eye closure,3,untrimmed,False
R2-04,2,0.15007800026,2,3,concordant-engaged,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S01,1,1.00387472118,3,5,concordant-engaged,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S02,1,0.336136370903,8,3,divergent,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S03,1,0.528704607211,3,7,concordant-engaged,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S04,1,0.87582140057,9,1,divergent,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S05,1,-0.215992353647,6,5,concordant-bored,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S06,1,-0.0811659124198,6,3,concordant-bored,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S07,1,0.650711717716,6,7,divergent,pupil dilation + cognitive load + eye closure,3,untrimmed,False
S08,1,0.565121163355,7,3,divergent,pupil dilation + cognitive load + eye closure,3,untrimmed,False
