source,relation,target,locus,note
ped-sec-19,treats-construct,learning outcomes: retention & transfer,p.6,"Knowledge SMD=0.11 (95% CI -0.17 to 0.39, I2=74%, n=927) vs traditional education; no significant difference (FAITHFUL-Kononowicz)."
ped-sec-19,treats-construct,learning outcomes: procedural / skills,p.7,"Skills SMD=0.90 (95% CI 0.49 to 1.32, I2=88%, n=897) vs traditional education; moderate-to-large advantage, esp. clinical reasoning and procedural skills (FAITHFUL-Kononowicz)."
ped-sec-19,treats-construct,self-efficacy,"p.8, 12","Attitudes/confidence outcomes mixed; some studies show self-reported confidence lower in VP groups despite equal/better objective performance (FAITHFUL-Kononowicz)."
ped-sec-19,treats-construct,affect: enjoyment & intrinsic motivation,"p.8-9","Satisfaction's 'comfort in use' dimension (engagement/motivation, positive climate, enjoyment); mostly item-by-item indifferent between groups (FE)."
ped-sec-19,treats-construct,representational fidelity,"p.7, 9, 11","Design-variant literature: guided/pedagogic VP format beat high-fidelity/unguided format on knowledge and satisfaction (Friedman et al.); Dankbaar et al. hypothesize high fidelity raises motivation but distracts novices (FAITHFUL-Kononowicz)."
ped-sec-19,tests-condition,screen-based virtual patient / sim,p.1,"51 RCTs/cRCTs, N=4696, across 4 comparison arms; explicitly excludes 3D-immersive VP (deferred to a companion DHEC VR review) (FAITHFUL-Kononowicz)."
ped-sec-19,tests-condition,conventional instruction (control),p.5,"Traditional-education control arms: reading (6), lecture (4), group assignment (4), mannequin-based (4), standardized patients (1), ward-based (1), mixed (5) (FAITHFUL-Kononowicz)."
ped-sec-19,tests-condition,review / meta-analytic aggregate,"p.4, 11","Cochrane-methodology random-effects meta-analysis; GRADE quality downgrading; risk-of-bias across 7 domains (FAITHFUL-Kononowicz)."
ped-sec-19,construct-under-condition,learning outcomes: retention & transfer x screen-based virtual patient / sim,p.6,"Pooled knowledge SMD=0.11 (n=927, 18 studies after exclusions), non-significant (FAITHFUL-Kononowicz)."
ped-sec-19,construct-under-condition,learning outcomes: procedural / skills x screen-based virtual patient / sim,p.7,"Pooled skills SMD=0.90 (n=897, 14 studies after exclusions) (FAITHFUL-Kononowicz)."
ped-sec-19,construct-under-condition,learning outcomes: procedural / skills x conventional instruction (control),"p.10, 12","Albatross-plot active/passive split: VP large vs passive controls, small/negative vs active controls (FAITHFUL-Kononowicz)."
ped-sec-19,construct-under-condition,representational fidelity x screen-based virtual patient / sim,"p.7, 9","Guided/pedagogic design beat high-fidelity/unguided design on knowledge (P<.01) and satisfaction (P<.01) in Friedman et al. (FAITHFUL-Kononowicz)."
ped-sec-19,defines,virtual patient (TERM),p.1-2,"Interactive digital simulation of a clinical scenario, screen-based (non-3D-immersive), casting the learner as the decision-making clinician (FAITHFUL-Kononowicz)."
ped-sec-19,defines,media-comparative research (TERM),p.13,"Comparisons between media formats (e.g. paper vs digital, VP vs traditional) judged largely uninterpretable owing to uncontrollable confounds, per Friedman and Cook (FAITHFUL-Kononowicz)."
ped-sec-19,instances-in-text,Friedman et al. pedagogic-vs-high-fidelity design comparison (THEME),"p.7, 9","The review's single significant knowledge-domain design-variant finding: guided/pedagogic format beat problem-solving/high-fidelity format (P<.01) (FAITHFUL-Kononowicz)."
ped-sec-19,instances-in-text,albatross-plot active/passive control split (THEME),"p.10, 12","Post hoc visualization explaining more heterogeneity than any pre-registered subgroup analysis; VP advantage concentrated against passive controls (FAITHFUL-Kononowicz)."
ped-sec-19,instances-in-text,Bloom's taxonomy knowledge/skills interpretation (THEME),p.12,"Little added VP value at lower cognitive levels (knowledge); larger value where knowledge is applied in problem-solving (skills) (FE)."
ped-sec-19,cites,"Cook, David A. (Cook Erwin Triola 2010 VP meta-analysis, ref 38) (INTERLOCUTOR)",p.2,"Prior VP-specific meta-analysis this review extends; distinct from the technology-enhanced-simulation meta-analysis at ped-sec-15 -- the two Cook-led papers must not be conflated (FE)."
ped-sec-19,cites,"Cook, David A. (media-comparative-research critique, ref 104) (INTERLOCUTOR)",p.13,"Co-source, with Friedman, of the critique that media-comparative research is uninterpretable given confounds (FAITHFUL-Kononowicz)."
ped-sec-19,cites,"Consorti et al. (2012 meta-analysis, ref 39) (INTERLOCUTOR)",p.12,"Second prior meta-analysis this review updates and reports agreement with (FE)."
ped-sec-19,cites,"Friedman, Charles P. (media-comparative-research critique, ref 103; design-variant study, ref 96) (INTERLOCUTOR)",p.7-13,"Source of both the media-comparative critique this review joins and the single significant knowledge-domain design-variant finding it reports (FAITHFUL-Kononowicz)."
ped-sec-19,cites,"Kolb, David A. (INTERLOCUTOR)",p.2,"Experiential learning theory used to ground the pedagogy of virtual patients (FAITHFUL-Kononowicz)."
ped-sec-19,cites,"Bloom, Benjamin (INTERLOCUTOR)",p.12,"Taxonomy cited to interpret the knowledge/skills split as a cognitive-level effect (FAITHFUL-Kononowicz)."
ped-sec-19,qualifies,learning outcomes: procedural / skills,p.12,"Bloom's-taxonomy interpretive qualification: VP's skills advantage is read as concentrated where knowledge is applied in problem-solving, not as a generic simulation effect (FE)."
ped-sec-19,contests-reading-of,media-comparative research validity (READING/CLAIM),p.13,"The review's own explicit methodological verdict, joining Friedman and Cook, that VP-vs-traditional-format comparisons are largely uninterpretable and should be abandoned (FAITHFUL-Kononowicz)."
ped-sec-19,bridges-to-vle,vle-01-deployment-survey,n/a,"(P/anticipatory-application) VP's advantage being contingent on comparator (large vs passive controls, negligible vs active controls) bears on interpreting any future VLE APP-vs-VID (video-only) learning-outcome comparison, since VID sits closer to Kononowicz's passive pole and APP closer to its active pole."
ped-sec-19,bridges-to-part-iii,Part III dissertation (media-comparative confound caution),p.13,"(P/anticipatory-application) The review's verdict that media-comparative research is uninterpretable extends as a caution to Part III's own APP-vs-VID comparison, which bundles interactivity, self-pacing, and presence together; any outcome gap should be decomposed rather than attributed to a single construct."
ped-sec-19,bridges-to-part-iii,Part III dissertation (self-efficacy vs objective-performance dissociation),"p.8, 12","(P/anticipatory-application) The documented pattern of lower self-reported confidence despite equal/better objective performance is relevant if Part III ever pairs a performance measure with self-report constructs -- affect and performance need not move together."
ped-sec-19,shifts-debate-axis,ped-sec-15 (Cook et al. TES meta-analysis 2011),p.7,"(P/anticipatory-application) Debate axis 6: ped-sec-15 concludes simulation-vs-no-intervention effects are large and calls for future sim-design comparisons instead; Kononowicz's design-variant arm is exactly that follow-up, offering qualified outcome-dependent support for 'sim-vs-sim differences negligible' -- strongly for knowledge (7/8 non-significant), more equivocally for skills (3/4 significant via specific mechanisms). Not a claim either source makes about the other; the two reviews are methodologically independent and eight years apart."
ped-sec-19,grounds-measure,Boredom Experiment (VR Attention Study) dataset channel,n/a,"****** UNVERIFIED: anchor entry not yet built; no dataset-channel mapping possible until that corpus/index entry exists."
