source,relation,target,locus,note
bor-sec-15,treats-construct,monotony / meaninglessness,"pp.760, 767","Gestell's homogenizing/regimenting effect on teaching (p.760); reductionist 'silo type' curricula reproducing 'more of the same' (p.767) -- functional analogue to monotony, though the source never uses the word"
bor-sec-15,treats-construct,flow / engagement (contrast pole),pp.762-763,"peer-learning and 'responsive engagement with that which is different' diminished by the shift from co-presence to telepresence ('Other and othering')"
bor-sec-15,treats-construct,flow / engagement (contrast pole),pp.765-766,"engagement and commitment to learning cultivated through re-embodied online materials that 'reshape' learners' bodily and affective responses (Ward, 2018)"
bor-sec-15,treats-construct,flow / engagement (contrast pole),pp.769-770,"'engaged releasement' (Gelassenheit) proposed as the recovering ethos against disengagement produced by digital enframing"
bor-sec-15,treats-construct,attentional disengagement / meta-awareness,p.763,"loss of eye-contact and non-verbal cues; susceptibility to 'external interruptions and distractions' in telepresence -- analogical, not attention research"
bor-sec-15,treats-construct,temporality of boredom (time-drag),pp.763-764,"distinct sense of telepresence temporality (bi-localized simultaneity, 'far-but-close' paradox) -- NOT boredom's time-drag; flagged as construct-adjacent only"
bor-sec-15,defines,Gestell (enframing),p.759,"'expression of the essence of the world-forming nature of technology' (Heidegger 1977) that shapes an epoch of modernity"
bor-sec-15,defines,Gelassenheit (releasement),p.769,"engaged letting-be of things and phenomena, not indifference but an active, receptive practice (Heidegger 1966)"
bor-sec-15,defines,telepresence vs. co-presence,pp.761-762,"technologically mediated remote presence contrasted with direct embodied co-presence in teaching and learning"
bor-sec-15,defines,integral pedagogy,"p.757, p.770","proposed mode of teaching/learning able to move reflectively between embodied and digital(ised) forms"
bor-sec-15,defines,apparatus (Agamben),p.767,"'set of practices, bodies of knowledge, measures, and institutions' that orient conduct -- applied to business-school curricula"
bor-sec-15,cites,Heidegger (1977) The Question Concerning Technology,p.759,"source of the Gestell/enframing concept extended by the authors to digital technology"
bor-sec-15,cites,Heidegger (1966) Discourse on Thinking,p.769,"source of the Gelassenheit/releasement concept proposed as pedagogical ethos"
bor-sec-15,cites,Ihde (1990; 2009; 2012),p.765,"'continuum of human-prostheses inter-relations'; technological embodiment as reciprocal, not representational"
bor-sec-15,cites,Rosenberger and Verbeek (2015),p.758,"digital technologies reframed as transformative mediators of human-world relations rather than neutral instruments"
bor-sec-15,cites,Verbeek (2005) What Things Do,p.760,"critiques the original Gestell concept as 'too abstract and/or too nostalgic'"
bor-sec-15,cites,Ruin (2010) Gestell: Enframing as the Essence of Technology,p.760,"critiques Heidegger's account as lumping technologies into monolithic characterisations"
bor-sec-15,cites,Agamben (2009) What Is an Apparatus?,p.767,"apparatus concept applied to business-school curricula as a governance mechanism"
bor-sec-15,cites,Ward (2018) What's Lacking in Online Learning?,pp.765-766,"Dreyfus/Merleau-Ponty-inflected account of bodily affective understanding used to design re-embodied online materials"
bor-sec-15,cites,Wals (2020) Sustainability-Oriented Ecologies of Learning,pp.767-768,"'relational...critical...actional...ethical...and political' emancipatory pedagogy proposed as a model for repurposed curricula"
bor-sec-15,cites,Biesta (2006; 2010),"pp.762, 768","'learnification' critique; qualification/subjectification/socialisation balance for repurposed education"
bor-sec-15,cites,Rosa (2013) Social Acceleration,p.760,"technology's collapsing of spatial/temporal reference frames, unforeseen by Heidegger in his lifetime"
bor-sec-15,cites,Han (2017) In the Swarm,p.768,"'homo digitalis' no longer a person of 'action' under networked digital organisation of teaching"
bor-sec-15,cites,Zhao (2004; 2015),pp.763-764,"'consociate contemporaries' and 'community of time without... community of physical space' analysis of telepresence"
bor-sec-15,cites,Wilson et al. (2008) Perceived Proximity in Virtual Work,p.764,"'far-but-close' paradox of virtual work applied to telepresent teaching and learning"
bor-sec-15,cites-cluster-author,Aho (2005; 2010),p.760,"cited for Heidegger's rare but significant engagement with the body/embodiment -- same author as Strand-A bor-sec-01 (Aho -- Heidegger on Melancholia, Deep Boredom, 2020); NOT cited here on boredom, only on embodiment"
bor-sec-15,instances-in-text,Challenge 1 -- co-presence to telepresence,pp.762-764,"loss/alteration of alterity, sensation, emotion, relation, and spatio-temporal experience in shifting teaching online"
bor-sec-15,instances-in-text,Challenge 2 -- re-embodying teaching and learning,pp.764-766,"re-embodiment via technological embodiment, homo faber, and affect-shaping online materials (Ward 2018)"
bor-sec-15,instances-in-text,Challenge 3 -- re-purposing business-school teaching,pp.766-768,"critique of reductionist, apparatus-governed curricula; call for relational, sustainability-oriented integral pedagogy"
bor-sec-15,instances-in-text,lecture-as-theatrical-event analogy,p.763,"lecture-recording debate (O'Callaghan et al. 2017) used to argue embodied performative atmosphere cannot be transposed online"
bor-sec-15,qualifies,Gestell (Heidegger 1977),p.760,"authors concede Gestell has been criticised as abstract/nostalgic/monolithic (Verbeek 2005; Ruin 2010) yet retain it, reframing the question as what Heideggerian thinking offers the 21st century (Georgakis and Ennis 2014)"
bor-sec-15,concedes,Heidegger's neglect of the body,p.760,"acknowledges Heidegger 'rarely discusses the body itself' (Aho 2005; Schalow 2006) before arguing he still contributes to embodiment theory via the critique of technological existence"
bor-sec-15,extends,postphenomenology (Ihde/Verbeek) to digital pedagogy,p.758,"extends Gestell and Gelassenheit 'to the digital context' of teaching and learning specifically"
bor-sec-15,bridges-to-part-iii,digital Gestell as diagnostic vocabulary for deployment-context disengagement,P/anticipatory-application,"enframing's homogenizing/regimenting effect on learning (p.760) offers Part III conceptual vocabulary for why 2D-PC/deployment-context pedagogy may risk monotony distinct from lab=VR co-presence"
bor-sec-15,bridges-to-part-iii,telepresence peer-learning loss and VLE co-watching correction,pp.762-763,"'Other and othering' analysis of diminished peer encounter under telepresence resonates with (but does not itself address) the VLE proximity-voice co-watching correction to Part III's F7 'WE unmet want' reading"
bor-sec-15,bridges-to-part-iii,Gelassenheit as candidate name for anti-monotony pedagogical ethos,pp.769-770,"'engaged releasement' offered as a possible naming for the receptive, attentive stance Part III's engaged-pole pedagogy would need to counter monotony-driven disengagement"
bor-sec-15,bridges-to-part-iii,no measures -- conceptual resource only,n/a,"source contains zero empirical constructs/operationalizations; useful to Part III strictly as vocabulary/framing (Gestell, Gelassenheit, telepresence), not as competing or confirming empirical evidence"
bor-sec-15,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),n/a,"dataset entry not yet built as of 2026-07-14; not applicable here since this source operationalizes no measures to ground"
