source,relation,target,locus,note
bor-sec-26,treats-construct,boredom-as-regulatory-signal (functional account),pp.325-334,"central thesis: boredom is an informative-and-motivational state promoting goal-directed locomotion out of unsatisfactory situations"
bor-sec-26,treats-construct,situational vs. trait/state boredom,pp.323-327,"foundational distinction organizing the whole paper; thesis explicitly scoped to state boredom only via §2 Caution!"
bor-sec-26,treats-construct,boredom proneness,"pp.323-325, 333","catalogs harmful correlates (§1) then reframes as dysfunction/failure-mode of the normally-adaptive state-boredom mechanism (§4.1)"
bor-sec-26,treats-construct,monotony / meaninglessness,"pp.326, 328, 339-340","boring situations characterized as meaningless/trite/non-optimal; boredom held to motivate reconstruction of a meaningful life"
bor-sec-26,treats-construct,temporality of boredom (time-drag),p.328,"cognitive-character discussion of altered/slowed time-perception (Watt 1991; Danckert & Allman 2005)"
bor-sec-26,treats-construct,mind-wandering / task-unrelated thought,"pp.328, 331","cognitive marker of boredom; later a legitimate route of mental (non-physical) locomotion that can alleviate it"
bor-sec-26,treats-construct,attentional disengagement / meta-awareness,pp.328-329,"central to cognitive character; fMRI DMN/anterior-insula findings tied to attentional engagement-failure"
bor-sec-26,treats-construct,flow / engagement (contrast pole),"p.328 n.3, p.340","engagement/interest invoked as contrast pole to boredom's disengagement; Csikszentmihalyi cited in passing but not developed"
bor-sec-26,operationalizes-measure,self-report / survey scale,p.324,"surveys BPS (Farmer & Sundberg 1986) and ZBS (Zuckerman 1979) as the two full-scope trait-boredom measures"
bor-sec-26,operationalizes-measure,self-report / survey scale,p.331,"Regulatory Mode Questionnaire (Kruglanski et al. 2000) operationalizes locomotion, the construct doing the causal work in the argument"
bor-sec-26,operationalizes-measure,EEG alpha/theta power,p.329,"cites Oswald (1962) alpha-wave presence during boredom and Tabatabaie et al. (2014) lower DLPFC beta activity as tentative neural correlates (secondhand review)"
bor-sec-26,operationalizes-measure,heart rate / HRV,p.329,"cites London et al. (1972) heart-rate/GSR increase and Pattyn et al. (2008) heart-rate decrease during vigilance as explicitly conflicting arousal evidence"
bor-sec-26,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"pp.324-325, 328","boredom proneness correlated with sustained-attention errors (Carriere et al. 2008; Malkovsky et al. 2012) and duration-judgment errors (Watt 1991; Danckert & Allman 2005)"
bor-sec-26,construct-measured-by,boredom proneness,p.324,"BPS is the paper's cited full-scale measure of trait boredom / boredom proneness"
bor-sec-26,cites,Bench and Lench (2013) On the Function of Boredom,"pp.325, 330, 336","prior functional-account literature the paper builds on and claims to go beyond"
bor-sec-26,cites,Van Tilburg and Igou (2011, 2012, 2016) meaning-regulation account,"pp.325, 331, 336, 339-340","meaning-regulation account of boredom cited repeatedly for boredom's link to (re)establishing meaning"
bor-sec-26,cites,Eastwood Frischen Fenske and Smilek (2012) The Unengaged Mind,"pp.325, 328-329","attention-based definitional review of state boredom used as the field's authoritative description"
bor-sec-26,cites,Danckert and Merrifield (2016) fMRI DMN study,p.329,"comparative fMRI study of resting/boredom/sustained-attention conditions; anterior-insula anti-correlation read as evidence of failed engagement"
bor-sec-26,extends,Higgins Kruglanski and Pierro (2003) Regulatory Mode Theory,pp.330-332,"imports locomotion/assessment distinction; novel application of RMT specifically to boredom research"
bor-sec-26,cites,Struk Scholer and Danckert (2016),p.332,"empirical support cited for the predicted negative correlation between locomotion and boredom proneness"
bor-sec-26,extends,Ryff and Singer (1998) eudaimonic psychological well-being,pp.338-340,"personal-growth and purpose-in-life dimensions used as the vehicle for arguing boredom contributes to eudaimonic well-being"
bor-sec-26,cites,Ryan and Deci (2000, 2001) hedonic/eudaimonic debate,p.338,"frames the well-being literature's two camps the paper's argument depends on"
bor-sec-26,contests,Kierkegaard (1843/1987) boredom is the root of all evil,p.340,"named as representative of the dominant negative philosophical/literary tradition this paper offers a complementary corrective to"
bor-sec-26,cites,Keltner and Gross (1999); Tooby and Cosmides (2008) functional accounts of emotion,p.332,"general functional-emotion framework invoked to argue boredom's function cannot be mere movement"
bor-sec-26,qualifies,Csikszentmihalyi (1975) Beyond Boredom and Anxiety,"p.328 n.3, p.340","cited in passing on challenge/optimal experience but not developed as a rival account"
