"source","relation","target","locus","note"
"bor-sec-47","treats-construct","profound/deep boredom (FCM 3rd form)","n/a (analogy only)","(P/anticipatory-application) NOT treated by Keane or the 1924 Heidegger text -- this chapter contains no boredom content whatsoever. Edge records only an architectural analogy: hedone-as-Befindlichkeit ('self-having,' GA 18: 277; BCAP 188, p.58-59) is the same general disclosive/attunement structure FCM later specifies into the three forms of boredom. Included solely to meet the edge-floor's treats-construct requirement honestly given thin boredom-specific content, per the task's own instruction."
"bor-sec-47","treats-construct","temporality of boredom (time-drag)","n/a (analogy only)","(P/anticipatory-application) NOT treated by Keane -- Dasein's ecstatic-futural temporality (section 4, p.61-63) is the general temporal architecture FCM's dragging/standing-still/entrancement modifications later particularize; this chapter itself never discusses boredom's characteristic time-drag."
"bor-sec-47","defines","dynamis (potentiality)","p.48-51","Rhetoric rehabilitated as a dynamis -- a capacity to concretize ways of speaking that disclose something substantive -- rather than a techne (FAITHFUL-Keane)."
"bor-sec-47","defines","techne (craft)","p.48-49","Contrastive term: rhetoric is NOT a techne in the narrow sense (unlike medicine, geometry, arithmetic), having no determinate underlying matter or region of beings (FAITHFUL-Keane, p.49)."
"bor-sec-47","defines","pisteis (entechnoi / atechnoi; three artistic proofs)","p.51; p.54","Non-technical vs. technical means of persuasion; the three pisteis entechnoi are ethos (speaker credibility), pathos (affective disposition of listener), and logos (disclosive demonstration) (FAITHFUL-Keane, citing Rhetoric 1355b36-1356a1)."
"bor-sec-47","defines","enthymema (rhetorical syllogism) / soma tes pisteos","p.51","Rhetorical demonstration (broad-sense logic) grounded in a shared affective 'body of proof,' distinct from apodeictic/syllogistic demonstration (FAITHFUL-Keane, citing Rhetoric 1354a15; 1356a37-b26)."
"bor-sec-47","defines","logos (fundamental mode of being-in-the-world)","p.51-54","Not conceptual grasp of a pre-given world but the disclosive 'space of appearances' corresponding to speaking-with-others (FAITHFUL-Keane, p.52)."
"bor-sec-47","defines","doxa","p.56; p.59-60","Reconceived as the source, not the epistemic deficiency, of being-together; both ground of everyday life and, paradoxically, the possibility of authentic self-projection (FAITHFUL-Keane)."
"bor-sec-47","defines","koinonia / koinon (being-in-common)","p.56; p.59","Established practically via speaking-with-one-another prior to theoretical reflection on actuality/necessity (FAITHFUL-Keane, citing GA 18: 50; BCAP 36)."
"bor-sec-47","defines","hedone (pleasure -- read as Befindlichkeit / self-having)","p.58-59","Heidegger's rendering of hedone as a disclosive 'self-having' that threatens to collapse Aristotle's own hexis/pathos distinction but names a transformative awakening-possibility (FAITHFUL-Keane, citing GA 18: 277; BCAP 188)."
"bor-sec-47","defines","Erschlossenheit (disclosedness) vs. Entdecktheit (uncoveredness)","p.53","BT's distinction, anticipated by the 1924 lectures' reading of Aristotle as proto-phenomenologist (FAITHFUL-Keane, citing SZ 220-221)."
"bor-sec-47","defines","energeia / entelecheia vs. dynamis (Metaphysics Theta 1049b13)","p.61-64","The metaphysical priority of actuality over possibility that Heidegger critiques, tracing possibility's subordination to actuality across the tradition (FAITHFUL-Keane)."
"bor-sec-47","defines","phronimos (practically wise rhetorician)","p.55","The good rhetorician sees what speaks for the matter and leads the listener to appropriate conviction through credibly-insistent self-expression (FAITHFUL-Keane)."
"bor-sec-47","defines","hexeis (intellectual virtues: techne/episteme/sophia/nous/phronesis)","p.55-56","Disclosive and excellent dispositions that facilitate the capacities of rhetoric and dialectic differently, always with demonstrative force (FAITHFUL-Keane)."
"bor-sec-47","instances-in-text","koinonia / koinon (being-in-common)","p.59","Illustration: without the koinon we would be like 'fish caught in the stream,' unable to reach authentic self-understanding (FAITHFUL-Keane, citing GA 18: 266; BCAP 178)."
"bor-sec-47","instances-in-text","pisteis (entechnoi / atechnoi; three artistic proofs)","p.54","Concrete typology of the three pisteis entechnoi (ethos/pathos/logos) presented as Aristotle's own taxonomy of persuasive means (FAITHFUL-Keane, citing Rhetoric 1355b36-1356a1)."
"bor-sec-47","instances-in-text","hedone (pleasure -- read as Befindlichkeit / self-having)","p.58-59","Illustration: hedone as an 'awakening' possibility within everydayness, an 'originary interpretedness' of life by life in 'the moment' (FAITHFUL-Keane, citing GA 18: 277; BCAP 188)."
"bor-sec-47","instances-in-text","doxa","p.59-60","Illustration: the explicit distinction between 'being-with-one-another' and mere 'being situated alongside one another' as the ground of doxastic everydayness (FAITHFUL-Keane, citing GA 18: 47; BCAP 33)."
"bor-sec-47","contests","rhetoric/sophistry as flattery or persuasion-trickery (Plato's Gorgias reading)","p.49-50","Heidegger (per Keane) rejects the Gorgias-derived view of the rhetorician as a 'smooth talking technician' engaged in mere contrivance; sophistry is redefined as the intention to 'conquer the other without knowledge of the matter discussed' (FAITHFUL-Keane, citing GA 18: 109; BCAP 75)."
"bor-sec-47","contests","priority of actuality over possibility (traditional metaphysics -- Metaphysics Theta)","p.61-65","Heidegger's central critical target across BT and CP; notably NOT attributed to 'the Aristotle of the Rhetoric,' creating an internal tension within Heidegger's own selective use of Aristotle (FAITHFUL-Keane, p.64)."
"bor-sec-47","qualifies","no division between psychic and bodily acts (embodiment claim, GA 18: 199)","p.58","Heidegger's radical-breakthrough claim of embodiment's primacy is immediately qualified: affects are not reducible to psycho-physical processes but constitute the soil from which speaking and being-together emerge (FAITHFUL-Keane)."
"bor-sec-47","qualifies","logos (fundamental mode of being-in-the-world)","p.51","Qualified via the narrow/broad distinction: apodeictic-scientific logos differs from rhetorical-enthymemic logos, though both retain demonstrative force (FAITHFUL-Keane)."
"bor-sec-47","shifts-debate-axis","rhetoric-as-disclosive-dynamis vs. rhetoric-as-technical-sophistry","p.48-51","Keane's own central expository axis: Heidegger sides with a dynamis-based, Aristotelian reading of rhetoric against the Gorgias-derived technical/sophistic reading (FAITHFUL-Keane)."
"bor-sec-47","shifts-debate-axis","priority-of-possibility vs. priority-of-actuality in metaphysics","p.61-66","Traced from the 1924 lectures through BT to CP; Heidegger's own long-running critique of the metaphysical tradition's modal hierarchy (FAITHFUL-Keane)."
"bor-sec-47","shifts-debate-axis","narrow/apodeictic logic vs. broad/rhetorical-affective logic","p.51-52","Two senses of 'logical' Keane distinguishes in Heidegger's reading of Aristotle's Rhetoric alongside the Prior Analytics and Topics (FAITHFUL-Keane)."
"bor-sec-47","extends-reading-of","Aristotle -- Rhetoric","p.48-56","Heidegger's 1924 rehabilitation of Aristotle's Rhetoric as ontologically constitutive of being-with, read against Plato's Gorgias (FAITHFUL-Keane)."
"bor-sec-47","extends-reading-of","Heidegger, Martin -- Being and Time (SZ)","p.53; p.60-63","Keane argues BT's ontology of disclosedness, Dasein's who-question, and priority of possibility are retrospectively grounded in the 1924 BCAP lectures, evidenced by BT's own citation of Aristotle's Rhetoric at SZ 138 (FAITHFUL-Keane)."
"bor-sec-47","extends-reading-of","Heidegger, Martin -- Contributions to Philosophy (GA 65/CP)","p.63-64","CP radicalizes the 1924-era critique of actuality/possibility into an explicit attack on the metaphysical 'modalities' as such (FAITHFUL-Keane, citing GA 65: 281/221 and GA 65: 74/59)."
"bor-sec-47","cites","Plato -- Gorgias (463a6-465e1)","p.49","The rejected reading of rhetoric as flattery/technical trickery, against which Heidegger reads Aristotle (FAITHFUL-Keane)."
"bor-sec-47","cites","Plato -- Phaedrus (276e5-6)","p.50-51","Source of rhetoric's psychagogic kinship with dialectic, though endnote 3 notes Plato's own judgment of rhetoric remains largely negative (FAITHFUL-Keane)."
"bor-sec-47","cites","Plato -- Sophist (via Heidegger's GA 19/PS lecture course)","endnotes 1-2","Companion 1924-25 lecture course in which Heidegger, in tension with the Rhetoric course, defines rhetoric as a techne (FAITHFUL-Keane)."
"bor-sec-47","cites","Aristotle -- Metaphysics Theta (1049b13)","p.61","Textual locus of the traditional priority of actuality over possibility that Heidegger's later critique targets (FAITHFUL-Keane)."
"bor-sec-47","cites","Heidegger, Martin -- Basic Problems of Phenomenology (GA 24/BP)","p.62","Cited for the claim that the ontological difference is itself a possibility Dasein's own being possibilizes and performs (FAITHFUL-Keane, citing GA 24: 454; BP 319)."
"bor-sec-47","cites","Sheehan, Thomas (2015)","p.47","Opening interlocutor: charges the later Heidegger's rhetoric as 'over-wrought' and 'over-heated,' motivating Keane's return to the 1924 lectures (FAITHFUL-Keane)."
"bor-sec-47","cites","Michalski, Mark (2005)","p.50","Cited gloss: rhetoric 'is a question of making the thing evident in its substantive character' (Michalski 2005, 73)."
"bor-sec-47","cites","Kisiel, Theodore (2005)","p.51","Cited on pistis as demonstration going 'directly to the heart' (en-thymos) (Kisiel 2005, 137)."
"bor-sec-47","cites","Withy, Katherine (2015)","p.65","Cited on pathos involving a responsive comportment (verhalten) toward what touches us as mattering (Withy 2015, 24)."
"bor-sec-47","cites","Bambach, Charles (2014)","endnote 4","Cited gloss on Heidegger's early rhetoric-inspired move toward an 'appropriate ethos' connecting factical life to being (Bambach 2014, 118)."
"bor-sec-47","cites","Smith, P. Christopher (1995)","endnote 5","Cited for the charge that Heidegger is nonetheless guilty of 'de-acoustification'/'de-vocalization' of speaking and listening against the backdrop of publicness and fallenness (Smith 1995, 329)."
"bor-sec-47","cites","Arendt, Hannah / Gadamer, Hans-Georg","p.56","Named jointly as later thinkers whose attention to rhetoric's hermeneutical core Heidegger's 1924 lectures are said to anticipate (FAITHFUL-Keane)."
"bor-sec-47","bridges-to-part-iii","Part III / Part I Aristotelian-Burkean rhetoric project (dissertation)","n/a","(P/anticipatory-application) Keane's genealogy of the pisteis/ethos-pathos-logos architecture, and BT's own citation of Aristotle's Rhetoric as social existence's 'first systematic hermeneutic' (SZ 138), offers a phenomenological deepening of the identification/actancy framework central to Part I (Burke, Gross); the Burke/Gross connection is our own -- Keane never mentions either."
"bor-sec-47","bridges-to-part-iii","Part II world-/co-disclosedness poles (BT 145+160)","n/a","(P/anticipatory-application) Heidegger's explicit 'being-with-one-another' vs. 'being situated alongside one another' distinction (GA 18: 47; BCAP 33) bears a suggestive structural resemblance to Part II's world-/co-disclosedness poles; terminology is not identical and should be checked against Part II's own methodology draft before reuse."
"bor-sec-47","bridges-to-part-iii","Part III VLE proximity-voice / student-activation correction (dissertation)","n/a","(P/anticipatory-application) The being-with/being-alongside distinction is structurally analogous (not identical) to Part III's design-vs-activation correction regarding the VLE's proximity-voice co-watching and universal group-assignment; Keane's chapter itself says nothing about VR, students, or attention -- flagged as resemblance only, not evidentiary support."
