source,relation,target,locus,note
ped-sec-13,treats-construct,presence (spatial/physical),p.235-236,"7-item scale adapted from Witmer & Singer (1998); IVR significantly higher than PPT, d=1.74 (FAITHFUL-Parong&Mayer)."
ped-sec-13,treats-construct,immersion (technological),p.227-228,"Glossed as an objective technology property distinct from presence (citing Nilsson, Nordhal & Serafin 2016); IVR/PPT instantiate the high/low-immersion contrast (FE)."
ped-sec-13,treats-construct,cognitive load (extraneous vs germane),p.234-235,"CTML three-way self-report split; extraneous load significantly higher for IVR (d=0.80); essential/generative load unaffected (FAITHFUL-Parong&Mayer)."
ped-sec-13,treats-construct,affect: enjoyment & intrinsic motivation,p.235-236,"Enjoyment significantly higher for IVR (d=1.20); motivation, interest, effort, understanding, difficulty unaffected (FAITHFUL-Parong&Mayer)."
ped-sec-13,treats-construct,engagement / flow,p.234-236,"EEG-derived engagement-state probabilities and workload classification (incl. instrument's own 'boredom' band); PPT higher high-engagement probability, IVR higher bored-classification proportion (FAITHFUL-Parong&Mayer)."
ped-sec-13,treats-construct,learning outcomes: retention & transfer,p.233,"16-item MC retention + 4-item open transfer post-test; PPT significantly higher transfer, marginally higher retention (FAITHFUL-Parong&Mayer)."
ped-sec-13,tests-condition,IVR (HMD),p.230-232,"HTC Vive running The Body VR: Journey into a Cell; ~12-min narrated interactive tour, N=30 across IVRn/IVRp cells (FAITHFUL-Parong&Mayer)."
ped-sec-13,tests-condition,2D video / slideshow / text,p.230-231,"24-slide self-paced desktop PowerPoint built from IVR screenshots plus printed narration transcript, N=31 across PPTn/PPTp cells (FAITHFUL-Parong&Mayer)."
ped-sec-13,tests-condition,SEM / process model (no media contrast),p.236-237,"Parallel mediation (Hayes PROCESS macro) run on discrete self-report/biometric variables rather than a latent-variable SEM, distinguishing this unit's method from ped-sec-11's SEM approach (FE)."
ped-sec-13,construct-under-condition,presence (spatial/physical) x IVR (HMD),p.235-236,"Cell: IVR M=5.12 (SD=0.80) vs PPT M=3.57 (SD=1.01), F(1,57)=43.10, p<.001, d=1.74 (FAITHFUL-Parong&Mayer)."
ped-sec-13,construct-under-condition,cognitive load (extraneous vs germane) x IVR (HMD),p.234-235,"Cell: IVR M=3.52 (SD=1.65) vs PPT M=2.40 (SD=1.20) extraneous load, F(1,57)=9.08, p=.004, d=0.80 (FAITHFUL-Parong&Mayer)."
ped-sec-13,construct-under-condition,learning outcomes: retention & transfer x 2D video / slideshow / text,p.233,"Cell: PPT transfer EMM=3.76 (SE=.30) vs IVR EMM=2.57 (SE=.31), F(1,56)=7.11, p=.010, d=-0.71 (FAITHFUL-Parong&Mayer)."
ped-sec-13,construct-under-condition,engagement / flow x IVR (HMD),p.235,"IVR groups higher proportion classified 'bored' by EEG workload metric than PPT, chi-sq(1,N=61)=5.79, p=.012, Cramer's V=.31 (FAITHFUL-Parong&Mayer)."
ped-sec-13,shifts-debate-axis,affective route <-> cognitive-load route,p.236-238,"(P/anticipatory-application) This unit is the cluster's primary evidentiary anchor for the cognitive-load-route pole (presence-linked positive arousal as a significant negative mediator of retention), contrasted against ped-sec-09 (Makransky & Lilleholt 2018), whose SEM treats the structurally similar immersion->presence->enjoyment/motivation path as a positive contributor to perceived learning. Not a claim either study makes about the other; this cluster's own contrast."
ped-sec-13,cites-cluster-author,ped-sec-09-makransky-lilleholt-emotional-value,n/a (thematic contrast, not a citation in-text),"(P/anticipatory-application) Cross-cluster contrast for debate axis 4: ped-sec-09's affective-path SEM finding reads presence-linked positive affect as facilitative, opposite this unit's mediation finding that positive/high-arousal emotion significantly mediates lower retention."
ped-sec-13,extends-reading-of,ped-sec-08-parong-learning-science-ivr,p.227-229; 236,"Explicitly replicates Parong & Mayer (2018)'s medium->retention/transfer finding (prediction 1) and extends it by measuring the cognitive/affective processes that mediate the relationship (FE, p.227, 246)."
ped-sec-13,cites,"Mayer, Richard E. (AUTHOR/INTERLOCUTOR)","p.227, 237-238","Co-author and source of CTML/coherence principle framing the distraction hypothesis (FE)."
ped-sec-13,cites,"Sweller, John (INTERLOCUTOR)",p.227,"Source of cognitive load theory (extraneous/essential/germane) underlying CTML's three-way load split (FE, citing Sweller, Ayres, & Kalyuga 2011)."
ped-sec-13,cites,"Witmer, Bob G. & Singer, Michael J. (INTERLOCUTOR)",p.231,"Source of the presence questionnaire items adapted for this study's self-report presence scale (FAITHFUL-Parong&Mayer)."
ped-sec-13,cites,"Makransky, Guy (INTERLOCUTOR)","p.227, 235, 238","Cited comparator findings that IVR science lessons underperform other media and precedent for EEG-workload classification (FE)."
ped-sec-13,cites,"Fiorella, Logan & Mayer, Richard E. (INTERLOCUTOR)",p.228-229,"Source of generative learning theory motivating the practice-testing manipulation (FE)."
ped-sec-13,cites,"Moreno, Roxana & Mayer, Richard E. (INTERLOCUTOR)","p.229, 238","Cited prior media-comparison work finding immersive media underperform traditional media (FE)."
ped-sec-13,cites,"Kozhevnikov, Maria et al. (INTERLOCUTOR)",p.227,"Cited pro-IVR media-comparison finding (relative-motion concepts, IVR outperformed desktop VR on transfer) (FE)."
ped-sec-13,cites,"Bailenson, Jeremy (INTERLOCUTOR)",p.226-227,"Cited proponent-side source on IVR's experiential affordances and classroom popularity (FE)."
ped-sec-13,cites,"Plass, Jan L. & Kalyuga, Slava (INTERLOCUTOR)","p.228, 237-238","Source of the 'seductive details' construct applied to IVR's extraneous stimuli (FAITHFUL-Parong&Mayer)."
ped-sec-13,cites,"Russell, James A. (INTERLOCUTOR)","p.228-229, 233","Source of the two-dimensional core-affect (valence x arousal) model used for the self-report emotional-state measure (FAITHFUL-Parong&Mayer)."
ped-sec-13,cites,"Clark, Richard E. & Feldon, Daniel F. (INTERLOCUTOR)",p.238-239,"Cited critique of media-comparison research design (medium/method confound), applied self-critically to this study's own limitations (FE)."
ped-sec-13,defines,distraction hypothesis (TERM),"p.229, 237-238","IVR causes learners to expend limited cognitive resources on extraneous cognitive/affective processing that does not support deep learning, relative to conventional media (FE)."
ped-sec-13,defines,coherence principle (CTML) (TERM),"p.227, 237-238","CTML principle that removing extraneous stimuli from a lesson improves learning outcomes; central to interpreting IVR's extraneous animations/sounds as harmful (FAITHFUL-Parong&Mayer)."
ped-sec-13,instances-in-text,seductive details (THEME),p.237-238,"IVR's perceptual richness and induced high-arousal affect named as 'seductive details' that consume cognitive capacity despite eliciting enjoyment (FAITHFUL-Parong&Mayer)."
ped-sec-13,instances-in-text,cognitive-affective distraction model of IVR learning (THEORY-MODEL),p.229,"Figure 2's proposed general and specific mediation models predicting that instructional media cause differences in cognitive/affective processing which cause differences in learning outcomes (FAITHFUL-Parong&Mayer)."
ped-sec-13,qualifies,learning outcomes: retention & transfer,p.236,"Practice-testing manipulation (a generative learning strategy) produced no significant main effect on either retention or transfer, contrary to prediction 5 (FE)."
ped-sec-13,contests-reading-of,"IVR affective route as straightforwardly facilitative (proponent reading, e.g. Bailenson; Kozhevnikov et al. 2013; Markowitz et al. 2018) (READING/CLAIM)",p.236-238,"This unit's own mediation finding — positive/high-arousal emotion significantly mediates *lower* retention in IVR — complicates the proponent claim that IVR's affective payoff straightforwardly improves learning (FE)."
ped-sec-13,bridges-to-vle,vle-04-mark-attention-span,n/a,"(P/anticipatory-application) The EEG workload metric's own 'boredom' classification band, elevated for IVR despite high presence, complicates vle-04's Focus/Rote/Bored/Frustrated engagement-by-challenge quadrant by showing high technological immersion does not guarantee high measured engagement."
