source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-04-CASTON,situates,DA-3.3,aristotle-locus,3-4,427a17-b14,Caston,DA 3.3 is centrally concerned with the problem of error
PHX-04-CASTON,motivates-introduction-of,phantasia,concept,2-3,DA 3.3 passim,Caston,Caston's master thesis: Aristotle introduces phantasia to solve the problem of error
PHX-04-CASTON,reconstructs,dilemma-of-DA-3.3,reading,7,DA 3.3 427b2-5,Caston,The dilemma: either (i) all appearances true or (ii) error = unlike-by-unlike — both reductios
PHX-04-CASTON,decomposes,like-by-like-thesis-(3),concept,9-10,DA 3.3 427a26-29,Caston,Caston's signature analytic move: (3) into (3a) like-affected-by-like and (3b) cause-content correspondence
PHX-04-CASTON,formalizes,phantasma-content-rule-(P),reading,17-18,DA 3.3 428b10-429a9,Caston,Formal account (P): φ is about whatever a sensation with same causal powers would be about
PHX-04-CASTON,distinguishes,causal-antecedents-vs-causal-powers,reading,18,book 49-50,Caston,Phantasma content determined by causal POWERS not causal ANCESTORS
PHX-04-CASTON,illustrates-with,salamander-to-dragon-example,reading,18,book 49,Caston,Vivid example: whiskey-altered salamander-phantasma produces dragon-dream
PHX-04-CASTON,uses-diagram,canyon-echo-Diagram-1,concept,17,book 47,Caston,Diagram 1: phantasma as canyon echo of αἴσθημα
PHX-04-CASTON,uses-diagram,phantasma-side-effect-Diagram-2,concept,17,book 48,Caston,Diagram 2: object → αἴσθημα → αἴσθησις + phantasma
PHX-04-CASTON,cites-cluster-author,Nussbaum-1978-DeMotu,modern-secondary,1,book 20 fn 1,Caston,Caston cites only Nussbaum's 1978 first-edition De Motu commentary not the 1985 essay
PHX-04-CASTON,cites-cluster-author,Frede-1992-CognitiveRole,modern-secondary,1,book 20 fn 1,Caston,Background literature citation in fn 1; not engaged head-to-head
PHX-04-CASTON,contests-reading-of,Schofield-1978-Imagination,modern-secondary,18,book 54 fn 70,Caston,Explicit polemical close: Schofield's 'non-paradigmatic sensory experience' phrase rejected
PHX-04-CASTON,contests-reading-of,Modrak-1986-Reconsidered,modern-secondary,17,book 45-46 fn 55,Caston,Modrak's 'belief-like character' of phantasia rejected
PHX-04-CASTON,contests-reading-of,Modrak-1987-PowerOfPerception,modern-secondary,3,book 22 fn 7,Caston,Modrak's claim Aristotle offers theory of sensation explaining intersubstitutivity failure rejected
PHX-04-CASTON,contests-reading-of,Wedin-1988-MindImagination,modern-secondary,16,book 42 fn 49,Caston,Wedin's claim that phantasia conditions sensation of proper perceptibles rejected
PHX-04-CASTON,extends-reading-of,Engmann-1976-ImaginationTruth,modern-secondary,18,book 51 fn 67,Caston,Caston extends Engmann's broader-falsity reading of phantasia
PHX-04-CASTON,allies-with,Burnyeat-1990-Theaetetus,modern-secondary,8,book 28 fn 22,Caston,Caston follows Burnyeat on the Theaetetus's Secret Doctrine and theses-A/B mutual implication
PHX-04-CASTON,allies-with,Cashdollar-1973-IncidentalPerception,modern-secondary,16,book 42 fn 48,Caston,Caston endorses Cashdollar against Modrak/Wedin on incidental perception
PHX-04-CASTON,allies-with,Kenny-1967-ArgumentFromIllusion,modern-secondary,16,book 43 fn 50,Caston,Caston endorses Kenny's criticism of view that phantasia's function is falsehood-of-another-faculty
PHX-04-CASTON,gently-corrects,Freudenthal-1863-Phantasia,modern-secondary,3,book 23 fn 9,Caston,Caston corrects Freudenthal's claim phantasia is not held by every animal
PHX-04-CASTON,follows-punctuation-of,Rodier-Hicks-Apelt-Ross-tradition,modern-secondary,5,book 25 fn 13,Caston,Punctuation tradition restricting force of γάρ to one reason
PHX-04-CASTON,cites,DA-3.3-427a17-20,aristotle-locus,4,DA 3.3 427a17-20,Caston,Opening sentence recalling criteria of motion and perception
PHX-04-CASTON,cites,DA-3.3-427a20-22,aristotle-locus,5,DA 3.3 427a20-22,Caston,The endoxon: thinking and perceiving are the same
PHX-04-CASTON,cites,DA-3.3-427a22-26,aristotle-locus,5,DA 3.3 427a22-26,Caston,Empedocles citations (DK 31 B 106 + B 108) + Homer
PHX-04-CASTON,cites,DA-3.3-427a29-b2,aristotle-locus,7,DA 3.3 427a29-b2,Caston,The pivotal polemical move: predecessors should have said something about error
PHX-04-CASTON,cites,DA-3.3-427b2-5,aristotle-locus,7,DA 3.3 427b2-5,Caston,The dilemma
PHX-04-CASTON,cites,DA-3.3-427b5-6,aristotle-locus,11,DA 3.3 427b5-6,Caston,Second-horn compressed objection: error and knowledge of contraries
PHX-04-CASTON,cites,DA-3.3-427b15-16,aristotle-locus,17,DA 3.3 427b15-16,Caston,No thought without phantasia no phantasia without sensation
PHX-04-CASTON,cites,DA-3.3-427b17-20,aristotle-locus,15,DA 3.3 427b17-20,Caston,Phantasia freely imagines (visualization sense)
PHX-04-CASTON,cites,DA-3.3-427b21-24,aristotle-locus,17,DA 3.3 427b21-24,Caston,Phantasia 'rests with us'; emotional disengagement
PHX-04-CASTON,cites,DA-3.3-428a5-b9,aristotle-locus,16,DA 3.3 428a5-b9,Caston,Battery of nonidentity arguments
PHX-04-CASTON,cites,DA-3.3-428a11-12,aristotle-locus,16,DA 3.3 428a11-12,Caston,Phantasia can be false; sensation/conception always true
PHX-04-CASTON,cites,DA-3.3-428a19-24,aristotle-locus,17,DA 3.3 428a19-24,Caston,Belief vs phantasia: conviction (πίστις) requires reason (λόγος)
PHX-04-CASTON,cites,DA-3.3-428b10-17,aristotle-locus,17,DA 3.3 428b10-17,Caston,The aetiology: phantasia as kinesis hypo tes energeias tes aistheseos
PHX-04-CASTON,cites,DA-3.3-428b19,aristotle-locus,18,DA 3.3 428b19,Caston,The qualification ἢ ὅτι ὀλίγιστον ἔχουσα τὸ ψεῦδος
PHX-04-CASTON,cites,DA-3.3-428b20-429a8,aristotle-locus,18,DA 3.3 428b20-429a8,Caston,Specific conditions of truth/falsity
PHX-04-CASTON,cites,DA-3.3-428b25-26,aristotle-locus,17,DA 3.3 428b25-26,Caston,Explicit identification of 'change brought about by sensation' as phantasia
PHX-04-CASTON,cites,DA-3.3-429a4-8,aristotle-locus,18,DA 3.3 429a4-8,Caston,Phantasmata persist; men act on phantasia when mind clouded
PHX-04-CASTON,cites,DA-3.3-429a8-9,aristotle-locus,17,DA 3.3 429a8-9,Caston,Closing formula
PHX-04-CASTON,cites,DA-3.4-429a13-18,aristotle-locus,14,DA 3.4 429a13-18,Caston,Conceiving as 'being acted upon'
PHX-04-CASTON,cites,DA-3.4-429a16-17,aristotle-locus,14,DA 3.4 429a16-17,Caston,Load-bearing parallel: intellect-to-conception = sense-to-sensation
PHX-04-CASTON,cites,DA-3.4-429a18-27,aristotle-locus,14,DA 3.4 429a18-27,Caston,Intellect is not activity of bodily organ
PHX-04-CASTON,cites,DA-3.4-430a3-5,aristotle-locus,14,DA 3.4 430a3-5,Caston,Conception becomes like its object in actuality
PHX-04-CASTON,cites,DA-2.5-417a17-20,aristotle-locus,14,DA 2.5 417a17-20,Caston,Sensation: initially unlike potentially like becoming like
PHX-04-CASTON,cites,DA-2.5-417b6-7,aristotle-locus,15,DA 2.5 417b6-7,Caston,Sensation as 'progression towards realization'
PHX-04-CASTON,cites,DA-2.5-417b24-26,aristotle-locus,15,DA 2.5 417b24-26,Caston,Object of sensation must exist (3b)
PHX-04-CASTON,cites,DA-3.6-430a26-27,aristotle-locus,15,DA 3.6 430a26-27,Caston,Conception of incomposites/indivisibles infallible
PHX-04-CASTON,cites,DA-3.6-430b21-24,aristotle-locus,11,DA 3.6 430b21-24,Caston,Contraries-rule
PHX-04-CASTON,cites,DA-3.7-431b2,aristotle-locus,18,DA 3.7 431b2,Caston,Forms thought 'in' phantasmata
PHX-04-CASTON,cites,DA-3.8-432a4-14,aristotle-locus,18,DA 3.8 432a4-14,Caston,Thought operates 'in' phantasmata; phantasia ≠ assertion/denial
PHX-04-CASTON,cites,DA-3.9-432a31-b1,aristotle-locus,16,DA 3.9 432a31-b1,Caston,Phantasia differs in being from all other parts of soul
PHX-04-CASTON,cites,Metaph-4.5-1009b12-17,aristotle-locus,11,Metaph 4.5 1009b12-17,Caston,Aristotle's parallel antirealism critique via alteration thesis (6)
PHX-04-CASTON,cites,Metaph-4.5-1009b17-31,aristotle-locus,13,Metaph 4.5 1009b17-31,Caston,Empedocles/Parmenides/Hector citations on body-state determining thought
PHX-04-CASTON,cites,Metaph-5.29-1024b23-24,aristotle-locus,18,Metaph 5.29 1024b23-24,Caston,Scene-painting/dream are 'something but not what they produce a phantasia of'
PHX-04-CASTON,cites,Metaph-9.10-1051b1-6,aristotle-locus,18,Metaph 9.10 1051b1-6,Caston,Linguistic/combinatorial falsehood distinct from phantasia's falsehood
PHX-04-CASTON,cites,Metaph-9.10-1051b24-25,aristotle-locus,15,Metaph 9.10 1051b24-25,Caston,θιγγάνειν metaphor for all-or-nothing basic operations
PHX-04-CASTON,cites,De-insomn-1-459a16-18,aristotle-locus,16,De insomn 1 459a16-18,Caston,Phantastikon = aisthetikon different in being
PHX-04-CASTON,cites,De-insomn-2-460b18-27,aristotle-locus,17,De insomn 2 460b18-27,Caston,Textual confirmation of (P): error from change in same way as by object
PHX-04-CASTON,cites,De-insomn-3-461a8-24,aristotle-locus,18,De insomn 3 461a8-24,Caston,Alcohol and sickness alter phantasmata
PHX-04-CASTON,cites,De-sens-1-436b18-437a3,aristotle-locus,8,De sens 1 436b18-437a3,Caston,Perceptual apparatus discriminates real differences in environment
PHX-04-CASTON,cites,EN-5.1-1129a17ff,aristotle-locus,11,EN 5.1 1129a17ff,Caston,Contraries-rule background
PHX-04-CASTON,cites,Rhet-1.11-1370a28,aristotle-locus,17,Rhet 1.11 1370a28,Caston,Phantasia as 'weak sort of sensation' (αἴσθησίς τις ἀσθενής)
PHX-04-CASTON,cites,De-motu-an-7-701b17-22,aristotle-locus,18,De motu an 7 701b17-22,Caston,Phantasia and thought have 'power of objects'
PHX-04-CASTON,cites,De-motu-an-11-703b18-20,aristotle-locus,18,De motu an 11 703b18-20,Caston,Phantasia and thought represent in object's absence
PHX-04-CASTON,uses-ancient-source,Theophrastus-De-sens-10,ancient-other,6,502.7-9 Diels,Caston,Theophrastus' τὸ αὐτὸν ἢ παραπαλήσιον formula supports weak reading of (1)
PHX-04-CASTON,uses-ancient-source,Theophrastus-De-sens-3,ancient-other,13,499.14-16 Diels,Caston,Theophrastus on Parmenides: body-balance determines thought
PHX-04-CASTON,uses-ancient-source,Theophrastus-De-sens-60-67-73-78,ancient-other,13,515.13-519.4 + 520.24-522.25 Diels,Caston,Theophrastus on Democritus: perceptual qualities not in things
PHX-04-CASTON,cites-ancient-target,Empedocles-DK-31-B-106,ancient-other,5,DA 3.3 427a22-26,Caston,Empedocles fragment cited by Aristotle: 'men's insight increases relative to what is present'
PHX-04-CASTON,cites-ancient-target,Empedocles-DK-31-B-108,ancient-other,5,DA 3.3 427a22-26,Caston,Empedocles fragment: 'thinking continually presents different sorts of things'
PHX-04-CASTON,cites-ancient-target,Homer-Od-18.136,ancient-other,5,DA 3.3 427a26,Caston,Homer's 'for [their] mind is of this sort' cited by Aristotle
PHX-04-CASTON,cites-ancient-target,Anaxagoras-via-DA-1.2,ancient-other,12,DA 1.2 405a16-17,Caston,Anaxagoras's intellect 'simple unmixed and pure' - the limit case
PHX-04-CASTON,cites-ancient-target,Democritus-via-Metaph-4.5,ancient-other,14,Metaph 4.5 1009b11-12,Caston,Democritus vacillates between every-appearance-true and no-appearance-true
PHX-04-CASTON,cites-ancient-target,Plato-Theaetetus-151E-157D,ancient-other,7-8,Theaetetus 151E-157D,Caston,Platonic parallel: knowledge-as-perception linked to all-appearances-true and Secret Doctrine
PHX-04-CASTON,cites-ancient-target,Plato-Sophist-264AB,ancient-other,16,Sophist 264AB,Caston,Plato's belief-sensation complex theory of phantasia
PHX-04-CASTON,cites-ancient-target,Plato-Timaeus-52A,ancient-other,16,Timaeus 52A,Caston,Background for belief-sensation complex
PHX-04-CASTON,contests-ancient-source,Alexander-In-Metaph-306-307,ancient-other,12,book 34 fn 32,Caston,Alexander's reconstruction via 'phronesis always correct' rejected
PHX-04-CASTON,follows-ancient-source,Themistius-In-DA-87-88-93,ancient-other,6,book 26 31 53 fns 17 28 69,Caston,Themistius supports Caston's 'practically the same' reading and ignorance/error indifference
PHX-04-CASTON,opposes,Protagorean-every-appearance-true,debate-axis,9-14,Metaph 4.5 + DA 3.3,Caston,The master antirealist target of the dilemma's first horn
PHX-04-CASTON,establishes-thesis,phantasia-as-non-propositional-intentionality,reading,18,book 51-52,Caston,Phantasia's falsehood is not combinatorial like linguistic falsehood; non-conceptual intentionality
PHX-04-CASTON,establishes-thesis,phantasia-as-common-currency,reading,18,book 52,Caston,Phantasia (not belief) is common currency of intentional content among mental states
PHX-04-CASTON,establishes-thesis,Aristotle-self-implication,reading,14-15,book 38-41,Caston,Critique of predecessors rebounds on Aristotle; he is committed to (1) (3a) (3b) (6) for sensation/conception
PHX-04-CASTON,establishes-thesis,infallibility-of-basic-operations,reading,15,book 41 + Metaph 9.10,Caston,Aristotle bites bullet: sensation of proper perceptibles + conception of incomposites are infallible
PHX-04-CASTON,establishes-thesis,restriction-strategy-escape,reading,15-18,DA 3.3 + Metaph 9.10,Caston,Aristotle evades dilemma by restricting cause-content correspondence to basic operations; phantasia handles the rest
PHX-04-CASTON,catalogues,phantasia-required-by-states,reading,15,book 41 fn 46,Caston,Inventory: imagination association memory expectation thought reasoning deliberation desire action passions dreams
PHX-04-CASTON,reframes-debate-as,problem-of-error-and-content-cause-divergence,debate-axis,1-2 + 14-18,DA 3.3 passim + Metaph 4.5,Caston,Caston's reframing: the central question is content-cause divergence not faculty psychology
PHX-04-CASTON,shifts-debate-axis,faculty-psychology-to-intentionality,debate-axis,2 + 18,book 22 + 51-52,Caston,From traditional faculty-psychology framing to intentionality-and-content framing
PHX-04-CASTON,distinguishes-from-cluster,non-engagement-of-White-1985,modern-secondary,N/A,N/A,Caston,White 1985 absent from Caston's apparatus; independent contemporaneous productions
PHX-04-CASTON,parallel-but-non-engaging,Nussbaum-1985-Phantasia-in-Action,modern-secondary,1,book 20 fn 1,Caston,Caston cites only Nussbaum 1978 De Motu commentary; Nussbaum 1985 essay not engaged
PHX-04-CASTON,forward-references,Caston-Aristotle-Problem-Intentionality,future-work,18,book 51 fn 67,Caston,Forthcoming article and book on intentionality in ancient Greek philosophy
PHX-04-CASTON,acknowledges,Broadie-Burnyeat-Charles-Moravcsik-Schofield,modern-secondary,18,book 55 fn 71,Caston,Discussion partners
PHX-04-CASTON,acknowledges-institution,NEH-Clare-Hall-Cambridge,institutional,18,book 55 fn 71,Caston,Support during writing; Brown University signature
