source,relation,target,locus,note
bor-sec-50,treats-construct,Eigentlichkeit / authenticity (ownedness),pp.127-128,"chapter's central topic; translation dispute between 'authenticity' and 'ownedness' set up at the outset"
bor-sec-50,treats-construct,Befindlichkeit,pp.128-129,"disposedness/findingness; the existential structure Heidegger uses to stress Dasein's always-already exposure to a mattering world"
bor-sec-50,treats-construct,Stimmung / Gestimmtsein (attunement),pp.129-130,"mood/tuning; 'the fundamental way in which Dasein is as Dasein' (FCM 67)"
bor-sec-50,treats-construct,Decisionist model of authenticity,pp.130-133,"Friedman's radical-choice reading applied to affect: emotions are 'own' only if the values determining them are freely (groundlessly) chosen"
bor-sec-50,treats-construct,Standpoint model of authenticity,pp.135-139,"authenticity as owning a vocation/project/norm-set/narrative; affective correlate = consistency of emotional response across contexts"
bor-sec-50,treats-construct,All-Things-Considered Judgment Model (ATCJM),pp.140-146,"McManus's own preferred model: authenticity as responsiveness to the full plurality of one's normative situation, not a single role/goal/norm"
bor-sec-50,treats-construct,normative and emotional pluralism,pp.138-140,"real lives are subject to multiple, competing norms/roles simultaneously; no single standpoint captures authentic life"
bor-sec-50,treats-construct,guilt (Schuld) as finitude-bound foreclosure,pp.141-143,"every action forecloses other possibilities the 'demands of conscience' would also require; 'every action is...marked by guilt' (WDR 169)"
bor-sec-50,treats-construct,evasion (Ausweichen) / evasive turning-away,pp.143-146,"Dasein's everyday non-affective-openness; McManus's third model identifies inauthenticity with an 'evasive turning-away' (SZ 136) from the full range of one's affective life"
bor-sec-50,treats-construct,monotony / meaninglessness,pp.133-134,"(P/anticipatory-application) our analogical link only -- McManus's critique of decisionist 'liberation' as a condition of affective 'stasis'/'shutting down' when stripped of all mattering structurally parallels the world-emptied-of-significance that defines boredom's monotony/meaninglessness pole; McManus himself never makes this connection or mentions boredom"
bor-sec-50,defines,Befindlichkeit,pp.128-129,"disposedness prior to the translation dispute; 'always already find ourselves in, and exposed to, a world'"
bor-sec-50,defines,All-Things-Considered Judgment (ATCJ),pp.139-140,"responsiveness to all aspects of one's situation at once and the need to adjudicate between them, vs. a judgment relativized to a single role/goal/norm"
bor-sec-50,defines,guilt (Schuld),pp.141-142,"the finite creature's inescapable foreclosure of unchosen possibilities in every action"
bor-sec-50,contests-reading-of,Friedman's decisionist reading of Heideggerian authenticity,pp.130-135,"argues decisionist 'liberation' collapses into affective paralysis/stasis rather than Promethean freedom, since a will stripped of all mattering has nothing left to choose with"
bor-sec-50,contests-reading-of,Rudd's and Varga's narrativist/standpoint readings of authenticity,pp.136-140,"grants their affective-constancy intuition partial truth via the essay-mark counterexample, then argues real lives are normatively plural and cannot be reduced to one or two wholeheartedly-owned projects"
bor-sec-50,contests,Frankfurt's decision-based account of owned affect,p.149 n.39,"rejects the view that we 'own' only the emotion corresponding to the demand we decide to act on and 'dissociate' from the rest as 'external to the will'; calls this 'odd, forced'"
bor-sec-50,extends-reading-of,Withy's (2015) account of owned affectivity in Heidegger's Aristotle lectures,p.149 n.42,"aligns the ATCJM's 'emotional openness' with Withy's independent characterization of 'owning affectivity' as resisting 'averageness' and 'holding oneself open' to being moved"
bor-sec-50,concedes,standpoint model's affective-constancy intuition,pp.136-137,"grants that authenticity plausibly involves the world moving one in a recognizably consistent way tied to one's owned commitments, before qualifying this via the essay-mark counterexample"
bor-sec-50,qualifies,Varga's 'openness to change' clause,pp.138-139,"argues this only licenses replacing one wholehearted project with another (reemplotment), not holding multiple competing commitments open simultaneously, so it does not resolve the pluralist intuition"
bor-sec-50,instances-in-text,gardener example (BCAP),p.129,"pleasure in harvest / worry over blight / despair over drought as everyday illustration of Befindlichkeit's affective tuning"
bor-sec-50,instances-in-text,student essay-mark example,pp.136-137,"McManus's own counterexample to the standpoint model: acting from consistent generosity/compassion toward a disappointed student would be wrong; professionalism and fairness ought sometimes to override"
