subject,stimulus,signal,n_traces,found,n_dupfiles
S01,BOR,HR,1,True,1
S01,BOR,HRV,1,True,1
S01,BOR,CogLoad,1,True,1
S01,BOR,EyeGazeAxis,3,True,1
S01,BOR,EyeGazeMedian,3,True,1
S01,BOR,PupilLeft,5,True,1
S01,BOR,PupilRight,5,True,1
S01,CLC,HR,1,True,1
S01,CLC,HRV,1,True,1
S01,CLC,CogLoad,1,True,1
S01,CLC,EyeGazeAxis,3,True,1
S01,CLC,EyeGazeMedian,3,True,1
S01,CLC,PupilLeft,5,True,1
S01,CLC,PupilRight,5,True,1
S01,INT,HR,1,True,1
S01,INT,HRV,1,True,1
S01,INT,CogLoad,1,True,1
S01,INT,EyeGazeAxis,3,True,1
S01,INT,EyeGazeMedian,3,True,1
S01,INT,PupilLeft,5,True,1
S01,INT,PupilRight,5,True,1
S02,BOR,HR,1,True,1
S02,BOR,HRV,1,True,1
S02,BOR,CogLoad,1,True,1
S02,BOR,EyeGazeAxis,3,True,1
S02,BOR,EyeGazeMedian,3,True,1
S02,BOR,PupilLeft,5,True,1
S02,BOR,PupilRight,5,True,1
S02,CLC,HR,1,True,1
S02,CLC,HRV,1,True,1
S02,CLC,CogLoad,1,True,1
S02,CLC,EyeGazeAxis,3,True,1
S02,CLC,EyeGazeMedian,3,True,1
S02,CLC,PupilLeft,5,True,1
S02,CLC,PupilRight,5,True,1
S02,INT,HR,1,True,1
S02,INT,HRV,1,True,1
S02,INT,CogLoad,1,True,1
S02,INT,EyeGazeAxis,3,True,1
S02,INT,EyeGazeMedian,3,True,1
S02,INT,PupilLeft,5,True,1
S02,INT,PupilRight,5,True,1
S03,BOR,HR,1,True,1
S03,BOR,HRV,1,True,1
S03,BOR,CogLoad,1,True,1
S03,BOR,EyeGazeAxis,3,True,1
S03,BOR,EyeGazeMedian,3,True,1
S03,BOR,PupilLeft,5,True,1
S03,BOR,PupilRight,5,True,1
S03,CLC,HR,1,True,1
S03,CLC,HRV,1,True,1
S03,CLC,CogLoad,1,True,1
S03,CLC,EyeGazeAxis,3,True,1
S03,CLC,EyeGazeMedian,3,True,1
S03,CLC,PupilLeft,5,True,1
S03,CLC,PupilRight,5,True,1
S03,INT,HR,1,True,1
S03,INT,HRV,1,True,1
S03,INT,CogLoad,1,True,1
S03,INT,EyeGazeAxis,3,True,1
S03,INT,EyeGazeMedian,3,True,1
S03,INT,PupilLeft,5,True,1
S03,INT,PupilRight,5,True,1
S04,BOR,HR,1,True,1
S04,BOR,HRV,1,True,1
S04,BOR,CogLoad,1,True,1
S04,BOR,EyeGazeAxis,3,True,1
S04,BOR,EyeGazeMedian,3,True,1
S04,BOR,PupilLeft,5,True,1
S04,BOR,PupilRight,5,True,1
S04,CLC,HR,1,True,1
S04,CLC,HRV,1,True,1
S04,CLC,CogLoad,1,True,1
S04,CLC,EyeGazeAxis,3,True,1
S04,CLC,EyeGazeMedian,3,True,1
S04,CLC,PupilLeft,5,True,1
S04,CLC,PupilRight,5,True,1
S04,INT,HR,1,True,1
S04,INT,HRV,1,True,1
S04,INT,CogLoad,1,True,1
S04,INT,EyeGazeAxis,3,True,1
S04,INT,EyeGazeMedian,3,True,1
S04,INT,PupilLeft,5,True,1
S04,INT,PupilRight,5,True,1
S05,BOR,HR,1,True,1
S05,BOR,HRV,1,True,1
S05,BOR,CogLoad,1,True,1
S05,BOR,EyeGazeAxis,3,True,1
S05,BOR,EyeGazeMedian,3,True,1
S05,BOR,PupilLeft,5,True,1
S05,BOR,PupilRight,5,True,1
S05,CLC,HR,1,True,1
S05,CLC,HRV,1,True,1
S05,CLC,CogLoad,1,True,1
S05,CLC,EyeGazeAxis,3,True,1
S05,CLC,EyeGazeMedian,3,True,1
S05,CLC,PupilLeft,5,True,1
S05,CLC,PupilRight,4,True,1
S05,INT,HR,1,True,1
S05,INT,HRV,1,True,1
S05,INT,CogLoad,1,True,1
S05,INT,EyeGazeAxis,3,True,1
S05,INT,EyeGazeMedian,3,True,1
S05,INT,PupilLeft,5,True,1
S05,INT,PupilRight,4,True,1
S06,BOR,HR,1,True,1
S06,BOR,HRV,1,True,1
S06,BOR,CogLoad,1,True,1
S06,BOR,EyeGazeAxis,2,True,1
S06,BOR,EyeGazeMedian,2,True,1
S06,BOR,PupilLeft,4,True,1
S06,BOR,PupilRight,4,True,1
S06,CLC,HR,1,True,1
S06,CLC,HRV,1,True,1
S06,CLC,CogLoad,1,True,1
S06,CLC,EyeGazeAxis,3,True,1
S06,CLC,EyeGazeMedian,3,True,1
S06,CLC,PupilLeft,5,True,1
S06,CLC,PupilRight,5,True,1
S06,INT,HR,1,True,1
S06,INT,HRV,1,True,1
S06,INT,CogLoad,1,True,1
S06,INT,EyeGazeAxis,3,True,1
S06,INT,EyeGazeMedian,3,True,1
S06,INT,PupilLeft,5,True,1
S06,INT,PupilRight,4,True,1
S07,BOR,HR,1,True,1
S07,BOR,HRV,1,True,1
S07,BOR,CogLoad,1,True,1
S07,BOR,EyeGazeAxis,3,True,1
S07,BOR,EyeGazeMedian,3,True,1
S07,BOR,PupilLeft,5,True,1
S07,BOR,PupilRight,5,True,1
S07,CLC,HR,1,True,1
S07,CLC,HRV,1,True,1
S07,CLC,CogLoad,1,True,1
S07,CLC,EyeGazeAxis,3,True,1
S07,CLC,EyeGazeMedian,3,True,1
S07,CLC,PupilLeft,4,True,1
S07,CLC,PupilRight,4,True,1
S07,INT,HR,0,False,
S07,INT,HRV,0,False,
S07,INT,CogLoad,0,False,
S07,INT,EyeGazeAxis,0,False,
S07,INT,EyeGazeMedian,0,False,
S07,INT,PupilLeft,0,False,
S07,INT,PupilRight,0,False,
S08,BOR,HR,1,True,1
S08,BOR,HRV,1,True,1
S08,BOR,CogLoad,1,True,1
S08,BOR,EyeGazeAxis,3,True,1
S08,BOR,EyeGazeMedian,3,True,1
S08,BOR,PupilLeft,5,True,1
S08,BOR,PupilRight,5,True,1
S08,CLC,HR,1,True,1
S08,CLC,HRV,1,True,1
S08,CLC,CogLoad,1,True,1
S08,CLC,EyeGazeAxis,3,True,1
S08,CLC,EyeGazeMedian,3,True,1
S08,CLC,PupilLeft,5,True,1
S08,CLC,PupilRight,5,True,1
S08,INT,HR,1,True,1
S08,INT,HRV,1,True,1
S08,INT,CogLoad,1,True,1
S08,INT,EyeGazeAxis,3,True,1
S08,INT,EyeGazeMedian,3,True,1
S08,INT,PupilLeft,5,True,1
S08,INT,PupilRight,5,True,1
