source,relation,target,locus,note
bor-sec-30,defines,Frontal EEG Asymmetry (FEA) as a dynamic state-level emotion-regulation signature,~p.1-9,"The paper's core reframing contribution: FEA is not solely a static trait marker of approach/avoidance but also 'a signature of dynamic online emotion regulatory processes' that evolves directionally as situational boredom is coped with and resolved (FAITHFUL-Perone et al., abstract, ~p.8)."
bor-sec-30,treats-construct,situational vs. trait/state boredom,~p.1,"The paper's entire organizing framework: investigates how trait boredom bears on coping with a state of boredom in real time, operationalizing both a trait level (baseline FEA, self-report scales) and a state level (FEA during peg turning, post-task self-report) (FE, ~p.1)."
bor-sec-30,treats-construct,boredom proneness,~p.5-7,"Primary trait dimension given sustained measurement (Boredom Proneness Scale, alpha=.84); the construct most robustly linked to the key finding, inversely predicting FEA slope during peg turning (r=-.48, p<.01) (FAITHFUL-Perone et al., ~p.5-7)."
bor-sec-30,treats-construct,boredom-as-regulatory-signal (functional account),~p.6-8,"Central to the interpretive frame: the FEA leftward shift is read as an active regulatory process that emerges over time as boredom ensues, indexing online emotion-regulatory coping (FAITHFUL-Perone et al., ~p.6-8)."
bor-sec-30,treats-construct,flow / engagement (contrast pole),~p.1-2,"Present only functionally, never named as such: low-trait-boredom individuals are described as engaging an approach motivation to create stimulation, the paper's closest analogue to an engagement/flow contrast (FAITHFUL-Perone et al., ~p.1-2)."
bor-sec-30,treats-construct,monotony / meaninglessness,~p.4-5,"The peg-turning task is chosen explicitly for its rated redundancy (most boring of a prior task battery); the Leisure Experience Battery boredom subscale frames leisure boredom as cognitively unsatisfying, meaningless activity (FAITHFUL-Perone et al., ~p.4-5)."
bor-sec-30,treats-construct,temporality of boredom (time-drag),~p.5,"One item on the post-task Multidimensional State Boredom Scale, 'Time is passing by slower than usual'; not developed into an independent theoretical mechanism (FAITHFUL-Perone et al., ~p.5)."
bor-sec-30,treats-construct,attentional disengagement / meta-awareness,~p.1,"Mentioned once via a quoted definition of boredom as an aversive state of being unable to attentionally engage (Mercer-Lynn, Bar, & Eastwood, 2014); background framing, not this paper's own operationalized construct (FE, ~p.1)."
bor-sec-30,operationalizes-measure,EEG frontal alpha asymmetry,~p.4;6-7,"Primary DV: natural-log alpha (8-13 Hz) power at F4 minus F3, Laplacian/CSD-transformed; N=51 baseline/N=47 peg-turning; FEA slope during peg turning inversely correlates with boredom proneness (r=-.48, p<.01, d=-1.09) and leisure boredom (r=-.47, p<.01, d=-1.07); no baseline-trait relations (FAITHFUL-Perone et al., ~p.4, 6-7)."
bor-sec-30,operationalizes-measure,EEG eyes-open vs. eyes-closed,~p.3-4,"Baseline protocol: two alternating 2-min blocks per condition, both included per the rationale (supported by direct citation to Barry et al., 2007) that baseline-FEA correlates are not always observed for both conditions (FAITHFUL-Perone et al., ~p.3-4)."
bor-sec-30,operationalizes-measure,EEG alpha/theta power,~p.4,"Alpha band (8-13 Hz) only, used exclusively to construct the FEA laterality index; no theta power reported or analyzed anywhere in the paper (FE, ~p.4 -- partial/narrow operationalization)."
bor-sec-30,operationalizes-measure,self-report / survey scale,~p.5,"Four instruments: Boredom Proneness Scale (alpha=.84), Leisure Experience Battery boredom subscale (alpha=.67), Boredom Susceptibility Scale (alpha=.38), Multidimensional State Boredom Scale (alpha=.89) (FAITHFUL-Perone et al., ~p.5)."
bor-sec-30,operationalizes-measure,blink / eye-closure,~p.4,"ICA-identified blink components removed as an artifact-correction step during EEG preprocessing; not analyzed as a substantive dependent measure of boredom or engagement (FE, ~p.4)."
bor-sec-30,construct-measured-by,boredom proneness <- self-report / survey scale,~p.5,"Boredom proneness is operationalized via the 28-item Boredom Proneness Scale (Farmer & Sundberg, 1986), current alpha=.84 (FAITHFUL-Perone et al., ~p.5)."
