source,relation,target,locus,note
bor-sec-17,treats-construct,monotony / meaninglessness,"474, 480-481",Analogical mapping only (P/anticipatory-application); Mertel's own terms are 'de-worlding' and 'quantification of the qualitative' (via Thomson) not 'meaninglessness'.
bor-sec-17,treats-construct,flow / engagement (contrast pole),479-480,Analogical mapping only (P/anticipatory-application); via Dreyfus/Wrathall's sport-as-'non-optionalised-engagement' example which Mertel discusses critically.
bor-sec-17,treats-construct,attentional disengagement / meta-awareness,476-477,Analogical mapping only (P/anticipatory-application); via calculative-thinking (mindless) vs. Gelassenheit/Besinnung (reflective) contrast; source never uses attentional vocabulary.
bor-sec-17,defines,TERM: Gestell (enframing),467-468,Reality disclosed as homogeneous standing-reserve (Bestand) accessed via calculative thinking (FAITHFUL-Mertel).
bor-sec-17,defines,TERM: Bestand (standing-reserve),467,All reality framed/disclosed as fungible stock to be manipulated toward pre-determined goals (FAITHFUL-Mertel).
bor-sec-17,defines,TERM: appropriation (Aneignung),470-471,Fundamental hermeneutical mode by which Dasein relates to self/other/world; normative and context-dependent (FAITHFUL-Mertel).
bor-sec-17,defines,TERM: formal indication,469-470,"Existential-ontological concepts that 'point' toward concretion without determining content, giving Dasein leeway to appropriate them (FAITHFUL-Mertel)."
bor-sec-17,defines,TERM: ownedness / unownedness,471-472,Proposed as better translations of Eigentlichkeit/Uneigentlichkeit than authenticity/inauthenticity (FAITHFUL-Mertel).
bor-sec-17,defines,TERM: moral articulacy,477,Cultivation of an evaluative vocabulary irreducible to functional/instrumental language; proper aim of education per Mertel (FAITHFUL-Mertel).
bor-sec-17,defines,THEME: Leistungskultur (culture of achievement),"477, 480-481",Enframing's by-product in professional and educational contexts; linked to burnout and student anxiety (FAITHFUL-Mertel).
bor-sec-17,defines,THEORY-MODEL: Gelassenheit / Besinnung,476-477,"'Sober thinking' as corrective to calculative thinking; releasement (Gelassenheit) plus reflective sensibility (Besinnung), via Wrathall gloss (FAITHFUL-Mertel)."
bor-sec-17,cites,AUTHOR: Heidegger — Being and Time,"470-472, 500",Primary source for appropriation/interpretation and authenticity discussion (FAITHFUL-Mertel).
bor-sec-17,cites,AUTHOR: Heidegger — Zollikon Seminars,"469, 476",Cited for language/comportment claims and appropriation of the epochal understanding of Being (FAITHFUL-Mertel).
bor-sec-17,cites,AUTHOR: Heidegger — The Question Concerning Technology,472-473,"Cited for 'becomes truly free only insofar as he belongs to the realm of destining' and the false active/passive dilemma (FAITHFUL-Mertel)."
bor-sec-17,cites,INTERLOCUTOR: Iain Thomson,"468, 474",Cited approvingly re: importance of education for resisting enframing and the 'quantification of the qualitative' (FAITHFUL-Mertel).
bor-sec-17,contests,INTERLOCUTOR: Andrew Feenberg,"467-468, 472-473",Contests charge that Heidegger's philosophy of technology is dystopian/fatalistic/pessimistic/overly abstract (FAITHFUL-Mertel).
bor-sec-17,contests,INTERLOCUTOR: Andrew Feenberg,482-484,Contests Feenberg's optimistic reading of online platforms as sites of authentic Heideggerian 'saying' (FAITHFUL-Mertel).
bor-sec-17,contests,INTERLOCUTOR: Hubert Dreyfus,476-480,Contests skilled-bodily-coping model as insufficient foundation for emancipatory Heideggerian education (FAITHFUL-Mertel).
bor-sec-17,qualifies,INTERLOCUTOR: Mark Wrathall,476-480,Endorses Wrathall's Gelassenheit gloss but contests his skilled-coping-centered account of education and the sport example specifically (FAITHFUL-Mertel).
bor-sec-17,contests,INTERLOCUTOR: Herbert Marcuse,472-473,Rejects Marcuse's attribution to Heidegger of a static ontology based on 'immune' transcendental concepts (FAITHFUL-Mertel).
bor-sec-17,instances-in-text,THEME: TEL / Technology Enhanced Learning critique,475,"Critiques UK 'Technologically Enhanced Learning' initiative for lack of clarity, via Bayne 2014 (FAITHFUL-Mertel)."
bor-sec-17,instances-in-text,THEME: sport as non-optionalised engagement (streetball vs. professional sport),479-480,Football academies and US college sports as colonization of sport's claimed emancipatory function; amateur streetball offered as partial counter-example (FAITHFUL-Mertel).
bor-sec-17,instances-in-text,THEME: social media / dating apps and erosion of language,482-484,Dating-apps example used to argue online platforms can blur ethical/interpersonal distinctions despite cognitive awareness of virtual/actual difference (FAITHFUL-Mertel).
bor-sec-17,cites-cluster-author,bor-sec-19,"468, 474","Cites Thomson but a DIFFERENT 2019 piece ('Technology, Ontotheology, Education', in Heidegger on Technology) than bor-sec-19's 'Heidegger on Ontological Education' (2001) — same interlocutor, not the same cited text; flag for future concordance, do not treat as direct citation of bor-sec-19 (P/anticipatory-application)."
bor-sec-17,bridges-to-part-iii,Part III student-boredom / disengagement frame,"473-474, 481","De-worlding argument individualizes systemic/environmental pathologies as student-side deficits — corroborates Part III's VLE proximity-voice/grouping correction against misreading design gaps as student deficits (P/anticipatory-application)."
bor-sec-17,bridges-to-part-iii,Part III student-boredom / disengagement frame,480-481,"Leistungskultur/achievement-culture argument (burnout, pre-kindergarten 'race to the top', educational-consultancy industry) supplies a philosophical vocabulary for institutional pressures that could co-occur with or be confounded with student-reported boredom, though Mertel never uses the term (P/anticipatory-application)."
bor-sec-17,bridges-to-part-iii,Part III student-boredom / disengagement frame,476-477,"Calculative-thinking-vs.-Gelassenheit/Besinnung contrast could supply a register for 'disengaged/automatic' vs. reflective modes of attending to educational technology — speculative extension, not present in source (P/anticipatory-application)."
