source,relation,target,pdf_locus,contributor,note
C-US02-bearing-up,extends,C-US02-intentional-arc,"PDF 62 epig + 84-86","Gross","Bearing up names what intentional-arc rehabilitation looks like for a bearer who cannot bear himself"
C-US02-bearing-up,grounded-in,Equiano-Interesting-Narrative-189-190,"PDF 84-85","Gross","Mount Calvary unsealing set-piece is the chapter's central locus for bearing up"
C-US02-bearing-up,grounded-in,Toplady-PsalmsHymns-No-312,"PDF 84","Gross","Toplady hymn 'bears the world and all things up' supplies the figure"
C-US02-bearing-up,opposes,P-Dreyfus-pragmatic-phenomenology,"PDF 75-77; n.28","Gross","Bearing up cannot be rendered in pragmatic-phenomenological vocabulary of skilled coping"
C-US02-bearing-up,opposes,Kahneman-hedonic-adaptation-thesis,"PDF 67-71","Gross","Bearing up is not adaptation; the becoming/being-paraplegic distinction does not exhaust it"
C-US02-bearing-up,extends,OED-bear-verb-cluster,"PDF 81","Gross","Bearing up activates OED senses I (carry), II (sustain), 17 (be patient), 21 (keep up courage)"
C-US02-happily-situated,re-reads-author,Equiano-Interesting-Narrative-77,"PDF 62 epig + 63 + 67-70","Gross","Layered retrospective grammar undermines naive state-description reading"
C-US02-happily-situated,grounded-in,OED-happy-as-by-chance,"PDF 70; n.22","Gross","18th c. 'happy' = by chance underwrites the deeper ironization"
P-US02-Merleau-Ponty-Hegelian-strand,grounded-in,Merleau-Ponty-Phenomenology-84,"PDF 75","Gross","'human situation abolishes my biological one' is the load-bearing citation"
P-US02-Merleau-Ponty-Hegelian-strand,grounded-in,Merleau-Ponty-Phenomenology-172n1,"PDF 77","Gross","Three-page general-strike-as-sickness footnote demonstrates social-body going-limp"
P-US02-Merleau-Ponty-Hegelian-strand,opposes,P-US02-Dreyfus-pragmatic-loss,"PDF 75-77","Gross","Pragmatic phenomenology loses the Hegelian strand"
P-US02-Dreyfus-pragmatic-loss,contested-by,Hubert-Dreyfus-2002-Intelligence-without-Representation,"PDF 75; n.28","Gross","Dreyfus 'Intelligence without Representation' (Phenomenology and the Cognitive Sciences 2002) named target"
P-US02-Merleau-Ponty-Hegelian-strand,grounded-in,Hegel-Phenomenology-Spirit-186-193,"PDF 76-77","Gross","Findlay translation via Hegel-by-Hypertext anchors the master-slave reading"
