source,relation,target,locus,note
rdr-06,defines,slow game time,"Sec. Slow Your Horse / intro","Ludic time eschewing efficiency/optimization for process, stillness, waste, and the 'pregnant potential of a null set.'"
rdr-06,defines,hegemonic game time,"Sec. Once Upon Some Times","Prevailing rhythms binding pleasure to power and speed to control; the unmarked AAA norm the article foils against slow time."
rdr-06,defines,prolongment,"Sec. Slow Your Horse","Authors' own added third category: slow time cultivated via an excessively extended narrative."
rdr-06,extends,Scully-Blaker stasis and stillness,"Sec. Slow Your Horse / Travel and Stillness","Adopts stasis (mechanical inaction) + stillness (aesthetic inaction) and adds prolongment as a third mode."
rdr-06,extends,Ruberg chrononormativity-via-Freeman,"Sec. Once Upon Some Times","Builds 'hegemonic game time' atop Ruberg's reading of Freeman's chrononormativity in video games."
rdr-06,cites,Elizabeth Freeman 2010,"Sec. Critical Potentiality","Time Binds: chrononormativity / queer temporality as the demand to use time productively."
rdr-06,cites,Bo Ruberg 2019,"Sec. Critical Potentiality","Queer temporality as resistance to standard logics of what/where/when/how-fast; speedrunning vs radical slowness."
rdr-06,cites,Christopher Hanson 2018,"Sec. Critical Potentiality","Game Time: video game temporalities are numerous (pause, slow, rewind, replay)."
rdr-06,cites,Darshana Jayemanne 2020,"Sec. Critical Potentiality","Chronotypology: diachronic / synchronic / unstable-signifier events; RDR2 as experiment in unstable signifiers."
rdr-06,cites,Fron Fullerton Morie Pearce 2008,"Sec. Once Upon Some Times","'Hegemony of play': dominant design valuing quick reflexes and spatial-rotation mastery."
rdr-06,cites,John Fiske 1989,"Sec. Once Upon Some Times","Hegemonic pleasures aligned with power and social discipline."
rdr-06,cites,Dyer-Witheford de Peuter 2009,"Sec. Once Upon Some Times","'Games of empire': militarized hypercapitalism rewarding efficient conquest of gameworlds."
rdr-06,cites,Christopher A. Paul 2018,"Sec. Critical Potentiality","Toxic meritocracy; games lacking meritocratic systems positioned rhetorically as 'non-games.'"
rdr-06,cites,Alexander Galloway 2006,"Sec. Press X to Wait","'Video games are action'; operator and machine play together — true even in RDR2's quiet moments."
rdr-06,cites,Paul Virilio 2008,"Sec. Travel and Stillness","Dromology / logic of acceleration that RDR2's gated travel refuses."
