source_claim,relation,edge_domain,target,note,location
DISS-04-C001,grounds,architectural,DISS-04-C037,Title-claim grounds the canonical articulational-concretion thesis,line 1
DISS-04-C001,grounds,architectural,DISS-04-C246,Title-claim grounds the conclusion's five-fold thesis,line 1
DISS-04-C002,instantiates,terminological,DISS-04-C032,pathos simpliciter is one of the two phenomena under basic affective valence,line 3
DISS-04-C002,depends_on,citation,ARISTOTLE-LOCUS:DA III.7 431a8-10,Aristotle's perception-pursue-avoid passage underwrites valence-with-present-object,line 3
DISS-04-C003,instantiates,terminological,DISS-04-C032,resonant orexis is the other of the two phenomena under basic affective valence,line 3
DISS-04-C003,depends_on,citation,ARISTOTLE-LOCUS:On Dreams 459a24-460b3,Residual-motion ground for resonant kinēsis,line 3
DISS-04-C003,depends_on,citation,ARISTOTLE-LOCUS:DA II.5 417a-b,Paschein-preservation as ground for resonant orexis,line 3
DISS-04-C004,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 133,Heidegger anchors the agreement-with-Heidegger framing,line 7
DISS-04-C005,grounds,architectural,DISS-04-C006,The anti-mentalist negation grounds the positive Heideggerian definition,line 7
DISS-04-C006,grounds,architectural,DISS-04-C008,Being-taken in being-in-the-world grounds kinēsis-of-soul thesis,line 7
DISS-04-C006,grounds,architectural,DISS-04-C011,Anti-internalist position follows from being-taken,line 7
DISS-04-C007,extends,architectural,DISS-04-C006,Bodily-states-as-not-symptoms extends the positive definition,line 7
DISS-04-C008,grounds,architectural,DISS-04-C012,Pathē-as-kinēsis grounds phantasia-bridge,line 7
DISS-04-C008,needs-citation,citation,ARISTOTLE-LOCUS:DA I.4 408b1-18,Pathē-as-soul-kinēsis claim needs Caston/Frede secondary anchor,line 7
DISS-04-C009,depends_on,citation,HEIDEGGER-LOCUS:SZ §29 H.137,Field-of-appearances claim leans on SZ §29 mood-discloses-totality,line 7
DISS-04-C010,needs-citation,citation,ARISTOTLE-LOCUS:Rhet. II.1 1378a20-22,Action-disposition claim needs Rhetoric definition anchor,line 7
DISS-04-C012,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3-8,Phantasia bridge,line 7
DISS-04-C013,grounds,architectural,DISS-04-C014,Etymology thesis headline grounds the four etymological sub-claims,line 7
DISS-04-C014,grounds,architectural,DISS-04-C015,Latin emovēre grounds morphological decomposition,line 7
DISS-04-C014,cites-as-support,citation,SECONDARY-LOCUS:OED emotion 3rd ed,OED is the etymological anchor,line 7
DISS-04-C015,grounds,architectural,DISS-04-C016,Morphological decomposition grounds the noun-suffix analysis,line 7
DISS-04-C016,grounds,architectural,DISS-04-C017,Noun-suffix analysis grounds the deep-root claim,line 7
DISS-04-C017,grounds,architectural,DISS-04-C018,Deep-root grounds the etymology-Aristotle bridge,line 7
DISS-04-C018,grounds,architectural,DISS-04-C019,Etymology-Aristotle bridge grounds the etymology-Heidegger fusion,line 7
DISS-04-C019,grounds,architectural,DISS-04-C020,Etymology-Heidegger fusion grounds section-opening summary,line 7
DISS-04-C020,grounds,architectural,DISS-04-C021,Section-opening summary grounds the section-opening coda,line 7
DISS-04-C022,grounds,terminological,DISS-04-C023,Reckoning-thesis grounds sense 1,line 9
DISS-04-C022,grounds,terminological,DISS-04-C024,Reckoning-thesis grounds sense 2,line 9
DISS-04-C022,grounds,terminological,DISS-04-C025,Reckoning-thesis grounds sense 3,line 9
DISS-04-C022,grounds,terminological,DISS-04-C026,Reckoning-thesis grounds sense 4,line 9
DISS-04-C025,inconsistent-with,citation,ARISTOTLE-LOCUS:Rhet. II.1 1378a20-22,T7 Bekker typo '13789' should be '1378',line 9
DISS-04-C023,instantiates,terminological,DISS-04-C022,Met. Δ 21 ontological sense instantiates the reckoning thesis,line 9
DISS-04-C027,grounds,methodological,DISS-04-C028,Overlap-of-senses grounds the cross-register warning,line 9
DISS-04-C028,grounds,methodological,DISS-04-C029,Reckoning-payoff grounds pathos simpliciter coinage,line 9
DISS-04-C028,grounds,methodological,DISS-04-C030,Reckoning-payoff grounds resonant orexis coinage,line 9
DISS-04-C031,depends_on,citation,ARISTOTLE-LOCUS:DA II.2 413b24,Hedonic-co-givenness needs Aristotle anchor,line 11
DISS-04-C031,depends_on,citation,HEIDEGGER-LOCUS:BCAP 115,Hedonic-co-givenness needs Heidegger anchor,line 11
DISS-04-C032,grounds,terminological,DISS-04-C033,Basic affective valence canonical definition grounds the bivalent decomposition,line 11
DISS-04-C033,refines,terminological,DISS-04-C029,Basic affective valence decomposition refines pathos simpliciter,line 11
DISS-04-C033,refines,terminological,DISS-04-C030,Basic affective valence decomposition refines resonant orexis,line 11
DISS-04-C034,depends_on,citation,ARISTOTLE-LOCUS:DA III.3 428a1-3,Perception-vs-thinking mapping needs phantasia/thinking anchor,line 11
DISS-04-C034,depends_on,citation,ARISTOTLE-LOCUS:DA III.7 431b2-9,Perception-vs-thinking mapping needs no-thinking-without-phantasm anchor,line 11
DISS-04-C036,grounds,architectural,DISS-04-C037,Articulational concretion canonical thesis grounds the section-3 central thesis,line 11
DISS-04-C036,depends_on,citation,ARISTOTLE-LOCUS:DA II.5 417b2-7,Preservation-aspect-of-paschein needs DA II.5 anchor,line 11
DISS-04-C037,grounds,architectural,DISS-04-C038,Section-3 central thesis grounds the not-categorical-but-articulational distinction,lines 15-19
DISS-04-C037,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 125,Hexis-as-how-of-pathos opens two-hows reading,line 17
DISS-04-C040,depends_on,architectural,DISS-04-C037,Scope-restriction to rational animals depends on the central thesis,line 17
DISS-04-C041,extends,architectural,DISS-04-C040,Animal pathos-analogical treatment extends the rational-restriction,line 17
DISS-04-C042,grounds,architectural,DISS-04-C140,Doxa-gate thesis grounds emotion-non-reducibility,line 17
DISS-04-C042,grounds,architectural,DISS-04-C151,Doxa-gate thesis grounds doxa-as-cognitive-gate at line 70,line 17
DISS-04-C043,refines,architectural,DISS-04-C037,Gap-in-Heidegger diagnostic refines the central thesis,line 19
DISS-04-C045,depends_on,citation,ARISTOTLE-LOCUS:MA 7 701a29-b1,Variable-presence-across-action-types needs MA 7 anchor,line 19
DISS-04-C046,instantiates,architectural,DISS-04-C045,Drinking case instantiates variable-presence,line 19
DISS-04-C048,grounds,architectural,DISS-04-C067,Articulational-resolution grounds graduation summary,line 19
DISS-04-C049,contrasts_with,dialectical,DISS-04-C050,Dialectical frame contrasts with Position 1,line 21
DISS-04-C049,contrasts_with,dialectical,DISS-04-C052,Dialectical frame contrasts with Position 2,line 21
DISS-04-C051,contrasts_with,citation,DISS-04-C050,Aristotle's pleasure-with-sensation passage rebuts Position 1,line 21
DISS-04-C051,cites-as-support,citation,ARISTOTLE-LOCUS:DA II.2 413b24,DA II.2 anchor,line 21
DISS-04-C053,contrasts_with,citation,DISS-04-C052,Aristotle's per-emotion propositional content rebuts Position 2,line 21
