source,relation,target,locus,note
bor-sec-37,defines,visual attention (as selective isolation of relevant from irrelevant information),~p.2,"Underwood's definition adopted to frame Section II-A and the whole visual-attention strand of the review (FAITHFUL-Skaramagkas et al., ~p.2)."
bor-sec-37,defines,emotional arousal (Russell's circumplex dimension),~p.2,"Arousal defined via Russell's circumplex model as a global feeling of dynamism or lethargy, one of two structural axes of affect (FAITHFUL-Skaramagkas et al., ~p.2)."
bor-sec-37,defines,cognitive workload (Sweller's cognitive load theory: intrinsic/extraneous/germane),~p.2-3,"Cognitive workload defined via Sweller's three-part load taxonomy and Wierwille & Eggemeier's performance/subjective/physiological measurement types (FAITHFUL-Skaramagkas et al., ~p.2-3)."
bor-sec-37,defines,coefficient K (focal vs. ambient attention),~p.6,"Krejtz et al.'s coefficient K -- ratio of fixation duration to subsequent saccade amplitude -- presented as a metric distinguishing focal from ambient visual scanning (FAITHFUL-Skaramagkas et al., ~p.6)."
bor-sec-37,treats-construct,attentional disengagement / meta-awareness,~p.2/5-7,"The review's entire 'visual attention' construct is operationalized via the same fixation/gaze/blink-based metric vocabulary boredom researchers elsewhere in this cluster use to index attentional disengagement, though the review's own object is general attention, not boredom-specific (P/anticipatory-application)."
bor-sec-37,treats-construct,situational vs. trait/state boredom,~p.2-3,"Not named as such, but every process surveyed (arousal, workload, attention) is measured as a momentary, session-bound condition, a structural analogue to state-boredom framing found elsewhere in the cluster (P/anticipatory-application)."
bor-sec-37,treats-construct,mind-wandering / task-unrelated thought,~p.5-6,"Not named; the scan-path/saliency/center-bias literature surveyed implicitly defines the on-task visual-engagement baseline against which mind-wandering-driven gaze deviation would register (P/anticipatory-application)."
bor-sec-37,treats-construct,flow / engagement (contrast pole),~p.4,"Single incidental mention: blink-rate decrease linked to 'attentional engagement and mental workload' (Maffei & Angrilli 2019); no independent theorization of flow (P/anticipatory-application)."
bor-sec-37,treats-construct,monotony / meaninglessness,~p.9,"Not named as such; an adjacent 'habituation effect' finding is reported (pupil size rose specifically on first exposure to a repeated IVIS task condition), physiologically adjacent to but not equivalent to monotony (P/anticipatory-application)."
bor-sec-37,operationalizes-measure,pupil dilation / pupillometry,~p.3-4/6-12,"Central measure across the review: anatomy/mechanism (Section III-E), reliability confounds (illumination, humidity/temperature, age, camera angle), most-cited single ML feature (Table IV), most-consistent single arousal indicator (Table II) (FAITHFUL-Skaramagkas et al., ~p.3-4, 6-12)."
bor-sec-37,operationalizes-measure,gaze variance / fixation dispersion,~p.3-4/5-7,"Fixation count/duration/density/AOI metrics, saccade/microsaccade/smooth-pursuit metrics, and coefficient K; most robust visual-attention indicator set in Table I (FAITHFUL-Skaramagkas et al., ~p.3-4, 5-7)."
bor-sec-37,operationalizes-measure,blink / eye-closure,~p.4/7-10,"Blink rate/duration, PERCLOS, AECS; second-most-used ML feature after pupil diameter; non-monotonic relation to cognitive workload (FAITHFUL-Skaramagkas et al., ~p.4, 7-10)."
bor-sec-37,operationalizes-measure,heart rate / HRV,~p.11-12/13-14,"Companion biosignal in several Table IV multimodal classifiers and the MAMEM Phase I dataset; combining HR/HRV with eye features substantially boosts multiclass classification accuracy (FAITHFUL-Skaramagkas et al., ~p.11-12, 13-14)."
bor-sec-37,operationalizes-measure,self-report / survey scale,~p.2-3,"Framed categorically as one of three canonical workload-measurement types (performance/subjective/physiological); not independently validated against eye metrics within this review (FAITHFUL-Skaramagkas et al., ~p.2-3)."
bor-sec-37,operationalizes-measure,behavioral (RT / errors / performance-monitoring),~p.2-3/9-10,"'Performance measurements' as one of three workload-measurement types; concrete instance: blink duration/pupil dilation correlating strongly with number of errors in a high-load arithmetic task (Borys et al., cited repeatedly) (FAITHFUL-Skaramagkas et al., ~p.2-3, 9-10)."
bor-sec-37,operationalizes-measure,ML classification,~p.10-12,"~14 cited classifier studies (Table IV); SVM dominant; eye-only average 71.5% (emotion)/78.64% (workload) vs. eye+biosignal average 81.76%/87.55% (FAITHFUL-Skaramagkas et al., ~p.10-12)."
bor-sec-37,cites,"Russell, James A. (1980) -- A Circumplex Model of Affect",~p.2,"Arousal/valence dimensional model underlying the review's own definition of emotional arousal (FAITHFUL-Skaramagkas et al., ~p.2)."
bor-sec-37,cites,"Bradley, M.M., Miccoli, L., Escrig, M.A., & Lang, P.J. (2008)",~p.7,"Pupil as a measure of emotional arousal and autonomic activation, cited in grounding the pupil-arousal link (FAITHFUL-Skaramagkas et al., ~p.7)."
bor-sec-37,cites,"Sweller, John (1994) -- Cognitive Load Theory",~p.2-3,"Intrinsic/extraneous/germane load taxonomy structuring the review's cognitive-workload definition (FAITHFUL-Skaramagkas et al., ~p.2-3)."
bor-sec-37,cites,"Krejtz, Katarzyna; Duchowski, Andrew T.; et al.",~p.6/9,"Coefficient K (focal/ambient attention metric) and pupil-diameter cognitive-load metrics, cited across visual-attention and workload sections (FAITHFUL-Skaramagkas et al., ~p.6, 9)."
bor-sec-37,cites,"Eckstein, M.K., Guerra-Carrillo, B., Miller Singley, A.T., & Bunge, S.A. (2017) -- Beyond Eye Gaze",~p.1,"Broader review of what eye-tracking reveals about cognition and cognitive development, cited in the Introduction's gap-statement (FAITHFUL-Skaramagkas et al., ~p.1)."
bor-sec-37,cites,"Giannakakis, G., Grigoriadis, D., Giannakaki, K., Simantiraki, O., Roniotis, A., & Tsiknakis, M. (2019)",~p.10,"Self-citation -- co-author Giannakakis's own review on psychological stress detection using biosignals, cited to justify EEG as the strongest biosignal supplement to eye features (FAITHFUL-Skaramagkas et al., ~p.10, citation [13])."
bor-sec-37,cites,"Maffei, A., & Angrilli, A. (2019)",~p.4/9,"Spontaneous blink rate as an index of attention and emotion during film-clip viewing -- the source's single explicit link between blink rate and 'attentional engagement' (FAITHFUL-Skaramagkas et al., ~p.4, 9)."
bor-sec-37,cites,"Wierwille, W.W., & Eggemeier, F.T. (1993)",~p.3,"Performance/subjective/physiological taxonomy of cognitive-workload measurement types, structuring Section II-C (FAITHFUL-Skaramagkas et al., ~p.3)."
bor-sec-37,cites-cluster-author,"Holmqvist, Kenneth, & Blignaut, P. (2020) -- Small eye movements cannot be reliably measured by video-based P-CR eye-trackers",~p.5,"Cited [46] on video-based eye-tracker measurement error; same lead author as this cluster's bor-sec-36 (Holmqvist et al., Eye Tracking: Empirical Foundations for a Minimal Reporting Guideline) -- a different paper, verified same-author match, not the identical work (FAITHFUL-Skaramagkas et al., ~p.5)."
bor-sec-37,cites-cluster-author,"Bolmont, M., Bianchi-Demicheli, F., Boisgontier, M.P., & Cheval, B. (2019) -- The Woman's Body (Not the Man's One) Is Used to Evaluate Sexual Desire",~p.6,"Cited [86], discussed in Section V-A1 re: automatic visual attention to sensual imagery; same author group (Cheval/Boisgontier) as this cluster's bor-sec-34 (Cheval et al., Physically Active Individuals Look for More) -- a different paper, verified same-author-group match, not the identical work (FAITHFUL-Skaramagkas et al., ~p.6)."
bor-sec-37,instances-in-text,orthodontist-vs-novice facial-AOI fixation study,~p.6,"Randomly recruited participants vs. orthodontists viewing smiling-face images: novices fixated longer on eyes than nose/mouth, while orthodontists fixated significantly more on eyes and mouth than nose, attributed to professional expertise (FAITHFUL-Skaramagkas et al., ~p.6, citing [85])."
bor-sec-37,instances-in-text,driving/hands-free-phone-call attention-allocation study,~p.6,"During a hands-free phone call while driving, road signs/other vehicles/speedometer were fixated less, and saccade duration increased, suggesting a more disperse fixation pattern under divided attention (FAITHFUL-Skaramagkas et al., ~p.6, citing [94])."
bor-sec-37,instances-in-text,depression classification via blink metrics (93% accuracy),~p.11,"Al-Gawwam & Benaissa (2019) reach 93% depressed/non-depressed classification accuracy using only blink-related metrics, the highest single eye-only-feature accuracy reported across Table IV (FAITHFUL-Skaramagkas et al., ~p.11, citing [188])."
bor-sec-37,qualifies,salience-based computational models of visual attention,~p.5-6,"Salience-based schemes, though widely used computationally, are noted to 'prove to be poor in predicting eye movement behaviour in natural tasks' (FAITHFUL-Skaramagkas et al., ~p.5-6)."
bor-sec-37,concedes,pupil-metric reliability limitations,~p.3-4,"Explicit concession that pupil metrics are 'susceptible to issues affecting their reliability': illumination sensitivity, ambient humidity/temperature, age-related baseline reduction, and camera position/angle (FAITHFUL-Skaramagkas et al., ~p.3-4)."
bor-sec-37,concedes,absence of a dataset spanning all three target processes,~p.12-14,"Explicit concession that none of the surveyed public datasets contains data for all -- or at least two -- of the three investigated processes simultaneously, named as a call for future dataset construction (FAITHFUL-Skaramagkas et al., ~p.12-14)."
bor-sec-37,concedes,cross-process discrimination research gap,~p.14-15,"Explicit concession that none of the surveyed classification studies attempts joint discrimination between emotional and cognitive processes (only within-process level discrimination), and that result generalizability is limited by small, heterogeneous samples (FAITHFUL-Skaramagkas et al., ~p.14-15)."
bor-sec-37,shifts-debate-axis,single-modality (eye-only) vs. multimodal (eye+biosignal) classification ceiling,~p.10-12,"Surfaces the ~10-percentage-point accuracy gain from adding biosignals (chiefly EEG) to eye-only classifiers, without adjudicating a single best pipeline for either emotional-arousal or cognitive-workload discrimination (FAITHFUL-Skaramagkas et al., ~p.10-12)."
bor-sec-37,grounds-measure,Boredom Experiment (VR Attention Study) -- pupillometry channel,n/a,"****** UNVERIFIED: the review's treatment of pupil dilation as the single most-used eye-based metric across all three target processes offers a plausible methodological template for a future VR attention study's pupillometry channel, but its own apparatus discussion is screen- or head-mounted-glasses-based, not integrated-VR-headset eye tracking; linkage requires the dataset entry's own instrumentation to be confirmed (P/anticipatory-application)."
bor-sec-37,grounds-measure,Boredom Experiment (VR Attention Study) -- gaze variance / fixation-dispersion channel,n/a,"****** UNVERIFIED: the review's fixation/saccade/microsaccade/smooth-pursuit metric taxonomy and gaze-estimation methods survey offer a plausible methodological menu for a future VR attention study's gaze channel, but VR-headset-integrated eye tracking differs substantially in geometry (3D gaze vectors, headset-relative AOIs) from the 2D screen-based paradigms surveyed; linkage requires the dataset entry's own instrumentation to be confirmed (P/anticipatory-application)."
bor-sec-37,grounds-measure,Boredom Experiment (VR Attention Study) -- blink / eye-closure channel,n/a,"****** UNVERIFIED: the review's blink-rate/blink-duration/PERCLOS/AECS treatment offers a plausible methodological template for a future VR attention study's blink channel, though the review itself notes only 1 of ~14 surveyed public datasets includes blink features at all, underscoring how rarely this channel is instrumented even in non-VR eye-tracking research (P/anticipatory-application)."
bor-sec-37,bridges-to-part-iii,Part III VR-headset pupillometry lighting-confound caution,n/a,"P/anticipatory-application -- the review's explicit pupil-reliability caveats (illumination, temperature/humidity, age, camera-angle) caution that a VR headset's internal IR illumination and enclosed optical path likely substitutes for, rather than eliminates, the ambient-lighting confound flagged for screen-based setups; any future VR pupillometry channel should anticipate an altered, not absent, version of this confound."
bor-sec-37,bridges-to-part-iii,Part III eye-only-vs-multimodal design-tradeoff caution,n/a,"P/anticipatory-application -- the review's quantitative eye-only-versus-multimodal contrast (71.5-78.64% vs. 81.76-87.55% average accuracy) suggests eye-tracking alone may suffice for binary boredom/non-boredom discrimination in a future VR study, but multiclass or graded boredom-intensity discrimination would likely require pairing eye-tracking with an additional biosignal channel (EEG or HR), echoing this cluster's Strand D EEG units' own methodological choices."
bor-sec-37,bridges-to-part-iii,Part III self-report/physiology convergent-validity caution (STEM-methodological support),n/a,"P/anticipatory-application -- the review's categorical framing of 'subjective,' 'performance,' and 'physiological' measurement as three distinct, only loosely coordinated workload-assessment types lends independent STEM-methodological support to this cluster's bor-sec-28 (Kim et al.) caution against assuming convergence between self-report and physiological/behavioral boredom indices."
