source,relation,target,locus,note
ped-sec-10,treats-construct,presence (spatial/physical),"p.228-229, 231-232","10-item scale adapted from Schubert Friedmann & Regenbrecht (2001); VR significantly exceeds PC, d=1.30 (1st) / d=2.20 (2nd) (FE)."
ped-sec-10,treats-construct,cognitive load (extraneous vs germane),"p.226-227, 229-230, 232-233","CTML/CLT theoretical frame plus EEG workload metric; VR exceeds PC on workload (d=0.59) and overload-time (d=0.62), 2nd intervention only (FE)."
ped-sec-10,treats-construct,learning outcomes: retention & transfer,"p.228-229, 231-232","10-item knowledge test and 10-item transfer test, Rasch-trimmed; PC exceeds VR on knowledge gain (d=0.48/0.80); transfer gain ns (FE)."
ped-sec-10,treats-construct,affect: enjoyment & intrinsic motivation,"p.229, 231-232","Learning-beliefs (8-item) and satisfaction (7-item) scales adapted from Lee et al. (2010); no significant media effect either direction (FE)."
ped-sec-10,treats-construct,situational interest,p.227,"Theoretical only (Renninger & Hidi 2016 cited); immersion framed as a candidate interest-trigger, not separately instrumented (FE, qualified — no dedicated scale)."
ped-sec-10,tests-condition,IVR (HMD),"p.227-228, 230","Samsung GearVR HMD, touchpad-controlled, stereoscopic 360-degree; within-subjects arm, N=52 (FE)."
ped-sec-10,tests-condition,desktop-3D / non-immersive VR,"p.227-228, 230","Conventional PC, external monitor, wireless mouse; within-subjects arm, identical simulation content, N=52 (FE)."
ped-sec-10,construct-under-condition,presence (spatial/physical) x IVR (HMD),p.231-232,"VR > PC on presence, d=1.30 (1st) / d=2.20 (2nd) (FE)."
ped-sec-10,construct-under-condition,cognitive load (extraneous vs germane) x IVR (HMD),p.232-233,"VR > PC on EEG workload (d=0.59) and overload-time (d=0.62), 2nd intervention only (FE)."
ped-sec-10,construct-under-condition,learning outcomes: retention & transfer x desktop-3D / non-immersive VR,p.231-232,"PC > VR on knowledge gain, d=0.48 (1st) / d=0.80 (2nd); transfer gain ns both interventions (FE)."
ped-sec-10,defines,redundancy principle (TERM),"p.227, 233","People learn better from graphics+narration than from graphics+narration+redundant on-screen text; tested here as the method (T vs T+N) factor and found not to clearly generalize across media (FAITHFUL-Makransky, p.227)."
ped-sec-10,defines,modality principle (TERM),p.233,"Listening to narrated text rather than reading it reduces cognitive load; invoked post hoc to explain a workload effect contrary to the redundancy prediction (FAITHFUL-Makransky, p.233)."
ped-sec-10,instances-in-text,seductive details / bells and whistles (TERM),p.233-234,"Added immersion read as interesting-but-irrelevant material that primes the wrong schema and increases extraneous processing, echoing Moreno & Mayer's (2002) term (FAITHFUL-Makransky, p.233-234)."
ped-sec-10,instances-in-text,hedonic vs utilitarian systems (TERM),p.233-234,"Van Der Heijden's (2004) distinction used to interpret the overload finding: students may treat the HMD version as a hedonic (fun-focused) rather than utilitarian (learning-focused) system (FAITHFUL-Makransky, p.233-234)."
ped-sec-10,cites,"Mayer, Richard E. (INTERLOCUTOR)","p.226-227, 233","Co-author; source of CTML and the redundancy principle this study tests (FE)."
ped-sec-10,cites,"Sweller, John (INTERLOCUTOR)",p.226-227,"Source of cognitive load theory, the study's other primary theoretical lens (FE, citing Sweller, Ayres & Kalyuga 2011)."
