source,relation,target,locus,note
bor-sec-51,treats-construct,profound/deep boredom (FCM 3rd form),p.160,"single dense paragraph: boredom proposed as an equivalent Grundbefindlichkeit to angst, calling Dasein to the vocation of being Dasein; cites FCM 143 and FCM 165; hedged '(?)' in Table 2 p.169"
bor-sec-51,treats-construct,flow / engagement (contrast pole),pp.171-172,"P/anticipatory-application: analogical only -- practical-usefulness soliciting (feeling capable/confident, 'the right tool for the job') vs. extreme anxiety's incapacity; not boredom-specific in the source"
bor-sec-51,treats-construct,monotony / meaninglessness,p.172,"P/anticipatory-application: analogical only -- unaffording entities as distracting/impeding/irrelevant, correlating with distraction/frustration/indifference; not connected to boredom in the text"
bor-sec-51,treats-construct,temporality of boredom (time-drag),p.154,"largely absent; finding-as-such generically associated with 'the past' but no boredom-specific time-drag analysis anywhere in the chapter"
bor-sec-51,defines,Befindlichkeit / Befinden (finding),p.153,"Withy's preferred rendering; rejects 'affectivity' and Macquarrie/Robinson's 'state-of-mind'; equiprimordial with understanding and discoursing"
bor-sec-51,defines,Stimmung (mood),p.154,"the ontic expression of Befindlichkeit; argued to be only one such expression, not the whole of it"
bor-sec-51,defines,Erschlossenheit (disclosing),p.153,"Heidegger's successor to 'consciousness'; comprises finding, understanding, and discoursing"
bor-sec-51,defines,Grundbefindlichkeit / Grundbefinden (ground-finding),pp.160-162,"the mode of existential vocational finding disclosing the call to be Dasein as such; officially angst, extended by Withy to include boredom"
bor-sec-51,defines,vocation (Ruf; L. vocare),p.156,"an identity that 'speaks' to us and that we are called to, rather than a merely available social role"
bor-sec-51,defines,facticity: Fakten vs. Tatsachen,p.157,"Facts (gender, race, standing, aptitude, body, history) that figure in self-interpreting, as distinct from mere present-at-hand facts (SZ 56)"
bor-sec-51,defines,hearkening (horchen) vs. hearing (horen),p.157,"hearing is understanding's resolute-projecting response to a call; hearkening is finding's own moment within conscience's disclosing"
bor-sec-51,defines,uncanniness (Unheimlichkeit),pp.158-159,"not felt estrangement but the structural fact that Dasein can never get behind the ground of its own 'that it is' (SZ 189, 276)"
bor-sec-51,defines,solicitation / mattering,pp.161-162,"a 'charged' subclass of Gibsonian affordances; entities calling us to engage rather than merely permitting engagement (SZ 137)"
bor-sec-51,instances-in-text,Table 1 (self/world/entity-disclosing framework),p.168,"summarizes the resulting division of labor between understanding and finding across all three disclosive levels"
bor-sec-51,instances-in-text,Table 2 (vocational finding: existential vs. existentiell),p.169,"ground-moods 'angst, boredom, etc.(?)' listed as the modes of being called to the project of being Dasein"
bor-sec-51,instances-in-text,fear / fearfulness case study,pp.168-171,"extended worked case distinguishing fearfulness (world-disclosing, SZ 141) from fear-as-discovering-entities (Table 4)"
bor-sec-51,instances-in-text,normative responsiveness as a mode of solicitous finding,pp.171-172,"being bound/compelled/repelled by requirements and prohibitions attached to a taken-up identity"
bor-sec-51,instances-in-text,practical usefulness as a mode of solicitous finding,p.172,"feeling capable/confident (the right tool for the job) vs. incapacitated, contrasted with extreme anxiety"
bor-sec-51,instances-in-text,being-with as loving or dominating,p.173,"correlates with Heidegger's leaping-in-for/leaping-ahead-of others (SZ 122)"
bor-sec-51,instances-in-text,sensing and its modalities,pp.173-174,"embodiment as a taken-up project; worked taste/appetizingness example"
bor-sec-51,cites,James J. Gibson (1986) The Theory of Affordances,pp.161-162,"source of the affordance concept adapted to distinguish mere affording from soliciting"
bor-sec-51,extends,Gibsonian affordances -> Heideggerian solicitations,pp.161-162,"solicitations treated as a charged, vocation-implicating subclass of affordances, not a separate category"
bor-sec-51,extends-reading-of,Matthew Ratcliffe (2013) on finding as world-disclosing,p.162 n.6,"explicit debt: Withy's world-disclosing interpretation is 'inspired by and indebted to' Ratcliffe's, while departing from it significantly"
bor-sec-51,contests-reading-of,Matthew Ratcliffe (2015) on practical utility as affording not soliciting,p.172 n.12,"Withy disagrees: practical utility is itself a soliciting on her account, not merely an affording"
bor-sec-51,contests,folk-psychological mood/emotion distinction (duration + intentional object),pp.169-170,"neither criterion has any role in Heidegger's own account of finding, so the folk distinction has no bearing on or authority over it"
bor-sec-51,qualifies,body's role in Heideggerian finding,pp.171-172,"inessential to finding-as-such (self/world/entity-disclosing structure) though possibly essential to specific ontic modes such as sensing"
bor-sec-51,contests,critique that Heidegger's mood account neglects the body (Freeman 2016; Ratcliffe 2013),p.154 n.3; pp.171-172,"Withy argues this critique conflates desiderata of a theory of moods-as-affects with desiderata of a theory of finding; body-neglect is 'no neglect at all' for finding proper"
bor-sec-51,cites,Lauren Freeman (2016) Defending Heideggerian Mood,p.154 n.3,"cited as source of the folk-psychology/body critique of Heidegger's mood account"
bor-sec-51,cites,William Blattner (2006) Heidegger's Being and Time: A Reader's Guide,p.157 n.4,"credited for help understanding the facticity/Fakten point"
bor-sec-51,cites,B. Scot Rousse (2018) Self-Awareness and Self-Understanding,p.168 n.8,"cited for further discussion of self-understanding and das Man in relation to understanding"
bor-sec-51,cites,Aristotle Nicomachean Ethics 1106b/1115b,p.170,"fear is relative to us, not the object; what is frightening is not the same for everyone -- glossed as relative to projects/skills, not physical strength"
bor-sec-51,defines,Table 3 (solicitous finding: world-disclosing and discovering),pp.169-170,"formalizes moods (fearing etc.) and sensing (tasting etc.) as the modes of solicitous finding across both disclosive levels"
bor-sec-51,defines,Table 4 (the mood of fear as a mode of finding),p.170,"worked instantiation of Table 3's framework using fear specifically"
bor-sec-51,shifts-debate-axis,mood as sole/primary ontic expression of finding <-> mood as one among several modes of finding,pp.154; 168-174,"Withy's central methodological argument: sensing (SZ 137), normative responsiveness, practical usefulness, and being-with are all argued to be modes of finding alongside mood"
bor-sec-51,shifts-debate-axis,angst as BT's sole Grundbefindlichkeit <-> boredom (FCM) as an equally valid Grundbefindlichkeit,p.160,"P/anticipatory-application framing: extends bor-sec-02's flagged-but-unresolved axis 'anxiety vs. profound boredom as candidate Grundstimmung'; Withy's own claim is FE, hedged with '(?)' in Table 2 p.169"
bor-sec-51,contests,"clean division-of-labor reading (understanding=world-disclosing, finding=entity-discovering)",p.162,"Withy rejects this simpler reading; each of finding and understanding discloses self, world, AND entities on her account"
bor-sec-51,bridges-to-fcm,fcm-06-third-form,p.160 (FCM 143),"cites FCM 143's naming of profound boredom's being-held-in-limbo as a 'calling' (Anrufen) in support of the angst/boredom Grundbefindlichkeit parity claim"
