source,relation,target,domain,evidence,contributor
Konstan,defines,pathos as a cognitive act / construal of others' acts bearing on social standing,history-of-emotions,Rhet. II.1 1378a20-23 (Ch.1 p.23-24;33),Konstan
Konstan,defines,the social-relational / toward-whom structure of the pathe,history-of-emotions,p.39-40;248,Konstan
Konstan,extends-reading-of,Aristotle's Rhetoric II.1 definition as a GENERAL definition of emotion (not context-local),philology-of-aristotle,Rhet. II.1 1378a20-23 (p.33-35),Konstan
Konstan,contests,Fortenbaugh's claim that the Rhetoric II.1 definition is merely local to the rhetorical context,philology-of-aristotle,Fortenbaugh 2002:114 (p.35),Konstan
Rhetoric II.1 definition,defines,emotion by its effect on judgment (krisis) plus attendant pain and pleasure,philology-of-aristotle,Rhet. II.1 1378a20-23,Konstan
Konstan,extends-reading-of,the De Anima I.1 form/matter (dialektikos vs phusikos) defense of the emotion-definition,philosophy-of-mind,De Anima I.1 403a29-b2 (p.35-37),Konstan
pathos,qualifies,changeable by persuasion (altering the construal alters the emotion),rhetorical-theory,Preface xii; p.35,Konstan
Konstan,defines,emotion-belief feedback as a self-validating / circular cognitive system (the pathetic loop),philosophy-of-mind,p.37-38,Konstan
Konstan,extends-reading-of,Fortenbaugh's cognitivist reading of Aristotle (the locus classicus),philosophy-of-mind,Fortenbaugh 2002 [orig.1975] (p.22-23;31;43),Konstan
Konstan,cites,Fortenbaugh 2002:94 (animals lack the cognitive capacity; beast-emotion is analogical usage),philosophy-of-mind,p.22,Konstan
Konstan,defines,animals and small children lack pathe 'in the proper sense',history-of-emotions,Preface xii; Ch.1 p.22-23,Konstan
Konstan,contests,Nussbaum's ascription of emotions (and judgment) to animals,philosophy-of-mind,Nussbaum 2001:89-138 (p.23 n.32),Konstan
beast-applications of orge/phobos,qualifies,analogical usage (not pathe in the proper sense),philology-of-aristotle,p.22 (Fortenbaugh 2002:94),Konstan
human startle (the snake-stick recoil),qualifies,a 'pre-emotion' / sub-emotional automatism (merely analogous to fear),philosophy-of-mind,p.25-27 (LeDoux 1996),Konstan
Konstan,defines,anger as desire for a perceived revenge for a perceived slight (oligoria) by those not fit to slight,philology-of-aristotle,Rhet. II.2 1378a31-33,Konstan
oligoria (slight),instances-in-text,three species: kataphronesis (contempt) / epereasmos (spite) / hubris (insolence),philology-of-aristotle,Rhet. II.2 1378b14-31,Konstan
slight (oligoria),defines,the activation (energeia) of a belief (doxa) that something seems worthless,philology-of-aristotle,Rhet. II.2 1378b10-11,Konstan
anger,contests,hatred (misos): hatred aims at harm and is not painful; anger aims at the other's felt pain (antipathein),philology-of-aristotle,Rhet. II.4 1382a8-15,Konstan
