source,relation,target,locus,note
ped-sec-15,treats-construct,learning outcomes: retention & transfer,p.983,"Knowledge outcomes: pooled ES 1.20 (95% CI 1.04-1.35), k=118 studies, n=8595, vs. no intervention (FE)."
ped-sec-15,treats-construct,learning outcomes: procedural / skills,p.983-985,"Skill outcomes subdivided time/process/product: pooled ES 1.14 (k=210) / 1.09 (k=426) / 1.18 (k=54), all vs. no intervention (FE)."
ped-sec-15,tests-condition,review / meta-analytic aggregate,"p.978-988","Entire unit operates at the review/meta-analytic-aggregate level: PRISMA-compliant synthesis of 609 studies, 35,226 trainees, across all health-professions simulation modalities (FE)."
ped-sec-15,shifts-debate-axis,simulation beats no-intervention strongly <-> sim-vs-sim differences negligible,p.986-988,"(P/anticipatory-application) Supplies the pooled effect sizes anchoring the 'strongly beats no-intervention' pole: large ES for knowledge (1.20) and skills (1.09-1.18), moderate-to-large for behaviors (0.79-0.81), moderate for direct patient effects (0.50). Cook et al.'s own comment recommends pivoting future research to sim-vs-sim (theory-based) comparisons, given ~96% of outcomes showed benefit (p.987)."
ped-sec-15,instances-in-text,learning outcomes: retention & transfer,p.983,"Knowledge outcomes (usually multiple-choice test scores): k=118, n=8595, ES 1.20 (1.04-1.35), I2=96%, individual-study range -0.42 to 9.45; randomized-only subset ES 0.63 (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,learning outcomes: procedural / skills,p.983-984,"Time skills: k=210, n=5651, ES 1.14 (1.03-1.25), I2=84%; randomized-only subset ES 0.75 (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,learning outcomes: procedural / skills,p.984-985,"Process skills: k=426, n=20926, ES 1.09 (1.03-1.16), I2=89%; randomized-only subset ES 0.98; mastery-learning subgroup significantly higher (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,learning outcomes: procedural / skills,p.985,"Product skills: k=54, n=2158, ES 1.18 (0.98-1.37), I2=87%; randomized-only subset ES 0.76; mastery-learning subgroup associated with LOWER product-skill outcomes (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,learning outcomes: procedural / skills (behavior extension),p.985,"Time behaviors with real patients: k=20, n=384, ES 0.79 (0.47-1.10), I2=66%; randomized-only subset ES 1.01 (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,learning outcomes: procedural / skills (behavior extension),p.985-986,"Process behaviors with real patients: k=50, n=1975, ES 0.81 (0.66-0.96), I2=70%; randomized-only subset ES 0.85 (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,learning outcomes: procedural / skills (behavior extension),p.986,"Direct patient-care effects: k=32, n=1648, ES 0.50 (0.34-0.66), I2=67% -- the study's own 'headline' clinical-translation outcome; randomized-only subset ES 0.37 (FAITHFUL-Cook)."
ped-sec-15,instances-in-text,screen-based virtual patient / sim,p.980,"EXCLUDED from this meta-analysis's scope by explicit eligibility criteria (studies of computer-based virtual patients requiring only standard computer equipment), citing the authors' own separate 2010 review (Cook, Erwin & Triola). Contrast with ped-sec-19 (Kononowicz et al.), which covers this condition directly (FE)."
ped-sec-15,instances-in-text,instructional-design subgroup features (curricular integration / distributed practice / feedback / mastery learning / range of difficulty),p.983-987,"No consistent statistically significant interactions across the 5 planned features; distributed practice >1 day and mastery learning weakly trended toward larger effects; high feedback counterintuitively sometimes associated with SMALLER effect sizes (FAITHFUL-Cook, p.986, 'contrary to expectation')."
ped-sec-15,defines,Hedges g (standardized mean difference) (TERM),p.980,"All continuous outcomes converted to Hedges g effect size for pooling across the 609-study corpus (FE)."
ped-sec-15,defines,I2 (heterogeneity/inconsistency statistic) (TERM),p.980-981,"Used to quantify inconsistency; values >50% (found in all main analyses) triggered random-effects pooling (FE)."
ped-sec-15,defines,MERSQI (Medical Education Research Study Quality Instrument) (TERM),p.980,"One of two quality instruments used to grade included studies; mean score 11.6/18 across the corpus (FE)."
ped-sec-15,defines,modified Newcastle-Ottawa Scale (NOS) (TERM),p.980,"Second quality instrument, adapted for cohort studies; mean score 2.1/6, used as a high/low quality threshold (>=4) for subgroup analysis (FE)."
ped-sec-15,defines,PRISMA (reporting standard) (TERM),p.979,"Review was planned, conducted, and reported in adherence to PRISMA standards for meta-analysis quality (FE, citing Moher et al. 2009)."
ped-sec-15,defines,Kirkpatrick classification (knowledge/skills, behaviors, results) (TERM),p.980,"Outcomes distinguished and abstracted using Kirkpatrick's four-level model: learning (knowledge/skills), behaviors with patients, and patient/results effects (FE, citing Kirkpatrick 1996)."
ped-sec-15,qualifies,learning outcomes: retention & transfer,p.986,"High heterogeneity (I2 mostly >=50% across all outcomes) qualifies the interpretive strength of the pooled estimates; authors attribute it to genuine variation in modes/topics/designs rather than a single moderator (FAITHFUL-Cook)."
ped-sec-15,qualifies,learning outcomes: procedural / skills,p.986-987,"Lower-quality, single-group pretest-posttest studies (two-thirds of the corpus) showed inflated effect sizes relative to two-group/randomized designs, qualifying how the aggregate should be weighted (FAITHFUL-Cook)."
ped-sec-15,cites,"Kirkpatrick, Donald (INTERLOCUTOR)",p.980,"Source of the four-level outcome classification (knowledge/skills, behaviors, results) used to code all 910 abstracted outcomes (FE)."
ped-sec-15,cites,"Issenberg, S. Barry et al. (INTERLOCUTOR)",p.987,"Prior 2005 BEME systematic review (109 studies) of high-fidelity simulation; this meta-analysis explicitly frames itself as adding and synthesizing 500 additional studies beyond it (FAITHFUL-Cook)."
ped-sec-15,cites,"McGaghie, William C. et al. (INTERLOCUTOR)",p.987,"Prior narrower meta-analysis of simulation-based medical education with deliberate practice (2011), cited as consistent with this review's overall conclusion (FE)."
ped-sec-15,cites,"Gurusamy, K. et al. (INTERLOCUTOR)",p.987,"Prior systematic review/meta-analysis (23 studies) of VR training for laparoscopic surgery, cited as a consistent narrower precedent (FE)."
ped-sec-15,cites,"Sturm, L. P. and Sutherland, L. M. et al. (INTERLOCUTOR)",p.987,"Prior systematic reviews of surgical simulation in general, both concluding simulation is beneficial, cited as consistent with this review (FE)."
ped-sec-15,cites,"Cohen, Jacob (INTERLOCUTOR)",p.980,"Source of the effect-size interpretation benchmarks (>=0.8 large; 0.5-0.8 moderate) applied throughout the results (FE)."
ped-sec-15,cites,"Egger, M. et al. (INTERLOCUTOR)",p.980,"Source of the asymmetry test used alongside funnel plots to explore possible publication bias (FE)."
ped-sec-15,cites,"Moher, D. et al., PRISMA Group (INTERLOCUTOR)",p.979,"Source of the PRISMA statement this review's own planning, conduct, and reporting adhere to (FE)."
ped-sec-15,cites,"Oxman, A. and Guyatt, G. (INTERLOCUTOR)",p.987,"Cited for the methodological caution that subgroup analyses should be interpreted skeptically given the number of comparisons and absence of a priori hypotheses (FAITHFUL-Cook)."
ped-sec-15,cites,"Cook, David A., Erwin, Patricia J. and Triola, Marc M. (self-citation) (INTERLOCUTOR)",p.980,"Authors' own separate 2010 systematic review of computer-based virtual patients, cited as the explicit basis for excluding that literature from this review's scope (FE)."
ped-sec-15,defines,mastery learning (TERM),"p.980, 986","One of five coded instructional-design features; associated with significantly higher process-skill outcomes but lower product-skill outcomes -- an inconsistent pattern across skill subtypes (FAITHFUL-Cook)."
ped-sec-15,defines,distributed practice (>1 day) (TERM),"p.980, 986","Coded as training spread over more than one day vs. a single day; weakly and inconsistently associated with larger effect sizes across outcome categories (FAITHFUL-Cook)."
ped-sec-15,defines,trim-and-fill (publication-bias adjustment) (TERM),p.980-981,"Method applied when funnel plots showed asymmetry (e.g., knowledge outcomes); yielded smaller but still large adjusted pooled estimates (e.g., knowledge 0.86 vs. 1.20 unadjusted) (FAITHFUL-Cook)."
ped-sec-15,bridges-to-part-iii,Part III dissertation (evidentiary base-rate for simulation efficacy),p.978,"(P/anticipatory-application) Supplies a medium-agnostic base-rate ('simulation training works, robustly, versus nothing') that logically precedes and does not itself adjudicate Part III's own IVR/desktop-3D/2D media-comparison questions."
ped-sec-15,bridges-to-part-iii,Part III dissertation (weighting small-sample findings against large aggregate evidence),p.986-987,"(P/anticipatory-application) The finding that single-group/low-quality studies inflate effect sizes relative to two-group/randomized designs is a transferable caution for how strongly Part III should weight any one small-sample desktop-3D-vs-2D contrast."
ped-sec-15,bridges-to-part-iii,Part III dissertation (research-agenda framing: sim-vs-sim over sim-vs-nothing),p.987-988,"(P/anticipatory-application) Cook et al.'s own call to move from simulation-vs-no-intervention toward theory-based, within-study simulation-vs-simulation comparisons describes the kind of comparison Part III's lab/deployment and desktop-3D/2D poles are designed to make, positioning Part III as an instance of the research move this article calls for."
